Date,NIKKEI225
1949-05-01,#N/A
1949-06-01,161.12
1949-07-01,144.14
1949-08-01,161.06
1949-09-01,167.36
1949-10-01,145.79
1949-11-01,132.98
1949-12-01,111.49
1950-01-01,98.25
1950-02-01,106.16
1950-03-01,101.66
1950-04-01,93.70
1950-05-01,97.30
1950-06-01,91.02
1950-07-01,96.15
1950-08-01,107.90
1950-09-01,108.38
1950-10-01,106.16
1950-11-01,110.61
1950-12-01,102.76
1951-01-01,108.54
1951-02-01,119.39
1951-03-01,127.76
1951-04-01,121.62
1951-05-01,124.56
1951-06-01,132.65
1951-07-01,130.29
1951-08-01,139.41
1951-09-01,146.99
1951-10-01,161.90
1951-11-01,159.69
1951-12-01,160.06
1952-01-01,179.05
1952-02-01,188.16
1952-03-01,183.45
1952-04-01,190.94
1952-05-01,210.64
1952-06-01,235.04
1952-07-01,252.56
1952-08-01,257.71
1952-09-01,259.26
1952-10-01,297.00
1952-11-01,336.63
1952-12-01,356.30
1953-01-01,412.02
1953-02-01,435.51
1953-03-01,360.23
1953-04-01,327.88
1953-05-01,351.61
1953-06-01,339.78
1953-07-01,359.41
1953-08-01,402.14
1953-09-01,429.36
1953-10-01,435.05
1953-11-01,425.36
1953-12-01,411.44
1954-01-01,361.80
1954-02-01,360.73
1954-03-01,336.23
1954-04-01,332.16
1954-05-01,328.11
1954-06-01,335.84
1954-07-01,340.70
1954-08-01,339.05
1954-09-01,352.51
1954-10-01,340.57
1954-11-01,324.83
1954-12-01,337.18
1955-01-01,370.78
1955-02-01,374.66
1955-03-01,354.70
1955-04-01,351.41
1955-05-01,349.56
1955-06-01,354.23
1955-07-01,355.17
1955-08-01,377.23
1955-09-01,385.88
1955-10-01,401.57
1955-11-01,401.45
1955-12-01,409.89
1956-01-01,426.32
1956-02-01,429.54
1956-03-01,443.88
1956-04-01,471.47
1956-05-01,480.47
1956-06-01,502.48
1956-07-01,496.43
1956-08-01,501.77
1956-09-01,486.57
1956-10-01,496.19
1956-11-01,532.35
1956-12-01,554.35
1957-01-01,573.07
1957-02-01,574.35
1957-03-01,567.22
1957-04-01,587.38
1957-05-01,546.61
1957-06-01,524.57
1957-07-01,496.26
1957-08-01,511.61
1957-09-01,532.22
1957-10-01,517.91
1957-11-01,503.37
1957-12-01,490.96
1958-01-01,507.34
1958-02-01,528.89
1958-03-01,528.51
1958-04-01,545.40
1958-05-01,560.10
1958-06-01,574.10
1958-07-01,571.32
1958-08-01,584.91
1958-09-01,588.42
1958-10-01,604.09
1958-11-01,622.00
1958-12-01,648.10
1959-01-01,675.76
1959-02-01,703.37
1959-03-01,742.02
1959-04-01,754.77
1959-05-01,776.61
1959-06-01,807.05
1959-07-01,832.55
1959-08-01,862.53
1959-09-01,893.85
1959-10-01,934.23
1959-11-01,948.43
1959-12-01,925.26
1960-01-01,930.44
1960-02-01,985.03
1960-03-01,1028.59
1960-04-01,1077.41
1960-05-01,1052.48
1960-06-01,1040.92
1960-07-01,1102.24
1960-08-01,1135.64
1960-09-01,1197.70
1960-10-01,1244.55
1960-11-01,1294.45
1960-12-01,1306.62
1961-01-01,1435.97
1961-02-01,1555.88
1961-03-01,1524.53
1961-04-01,1636.35
1961-05-01,1675.07
1961-06-01,1660.47
1961-07-01,1788.58
1961-08-01,1698.97
1961-09-01,1538.24
1961-10-01,1371.62
1961-11-01,1378.57
1961-12-01,1320.63
1962-01-01,1471.83
1962-02-01,1540.39
1962-03-01,1485.10
1962-04-01,1388.75
1962-05-01,1402.32
1962-06-01,1425.93
1962-07-01,1459.18
1962-08-01,1411.14
1962-09-01,1344.65
1962-10-01,1264.68
1962-11-01,1399.78
1962-12-01,1432.15
1963-01-01,1437.45
1963-02-01,1489.70
1963-03-01,1539.75
1963-04-01,1600.88
1963-05-01,1569.97
1963-06-01,1550.95
1963-07-01,1501.68
1963-08-01,1366.06
1963-09-01,1345.09
1963-10-01,1348.85
1963-11-01,1300.59
1963-12-01,1232.99
1964-01-01,1284.58
1964-02-01,1282.58
1964-03-01,1237.22
1964-04-01,1219.85
1964-05-01,1289.73
1964-06-01,1323.44
1964-07-01,1333.84
1964-08-01,1287.97
1964-09-01,1256.90
1964-10-01,1212.98
1964-11-01,1211.43
1964-12-01,1215.87
1965-01-01,1265.68
1965-02-01,1242.22
1965-03-01,1175.31
1965-04-01,1148.58
1965-05-01,1140.51
1965-06-01,1089.94
1965-07-01,1045.74
1965-08-01,1164.50
1965-09-01,1249.96
1965-10-01,1231.27
