Date,EU.Exports Quantum Index,EU.Imports Quantum Index,EU.Exports Quantum Index Percent Change,EU.Imports Quantum Index Percent Change
2009-01-01,72.8,98.8,-42,-15.3
2009-02-01,74.9,73.1,-45.6,-27.4
2009-03-01,76.6,92.9,-49.6,-27.5
2009-04-01,76.4,80,-42.8,-29.7
2009-05-01,72.9,80.8,-40.2,-28.7
2009-06-01,77.3,86.4,-36.1,-23.7
2009-07-01,78.3,86.2,-36.4,-24.3
2009-08-01,75,93,-39,-15.3
2009-09-01,87.4,91.1,-31.7,-19.1
2009-10-01,96.2,88.1,-26.7,-20.4
2009-11-01,85.1,100.1,-18.5,-4.2
2009-12-01,92.7,96.8,-1.5,-2.3
2010-01-01,84.7,91,16.4,-7.9
2010-02-01,88.5,81.8,18.3,11.9
2010-03-01,101.3,108.4,32.3,16.6
2010-04-01,101.7,90.9,33.1,13.6
2010-05-01,95.3,102.4,30.8,26.8
2010-06-01,98.7,110.3,27.6,27.7
2010-07-01,102.8,107.2,31.3,24.4
2010-08-01,94.9,109.5,26.5,17.7
2010-09-01,110.5,102.2,26.4,12.2
2010-10-01,105,95.4,9.2,8.2
2010-11-01,105.3,102.7,23.7,2.6
2010-12-01,112.6,100.1,21.4,3.5
2011-01-01,91.8,104.5,8.4,14.9
2011-02-01,106.1,93.7,19.8,14.6
2011-03-01,106.1,106.9,4.8,-1.3
2011-04-01,91.3,110.8,-10.2,21.9
2011-05-01,84.3,108.8,-11.6,6.2
2011-06-01,99.8,105.8,1.1,-4
2011-07-01,102.5,107.6,-0.3,0.3
2011-08-01,96.8,112.3,2.1,2.6
2011-09-01,113.7,113.7,2.9,11.2
2011-10-01,103.2,109.9,-1.8,15.3
2011-11-01,98.1,125.9,-6.8,22.7
2011-12-01,98.3,104.9,-12.7,4.7
2012-01-01,86.3,110,-6.1,5.2
2012-02-01,94.5,103.7,-11,10.6
2012-03-01,94.3,117,-11.1,9.4
2012-04-01,88.7,109,-2.9,-1.6
2012-05-01,88,117.8,4.4,8.3
2012-06-01,82.7,114.7,-17.1,8.4
2012-07-01,81.5,125,-20.5,16.2
2012-08-01,79.1,122.9,-18.3,9.4
2012-09-01,90.8,110.5,-20.2,-2.9
2012-10-01,80,116.6,-22.4,6
2012-11-01,78.6,129.7,-19.8,3
2012-12-01,82,105.8,-16.6,0.9
2013-01-01,73.5,116.3,-14.7,5.7
2013-02-01,73,107.5,-22.8,3.7
2013-03-01,82.6,119,-12.5,1.7
2013-04-01,78.3,117,-11.8,7.3
2013-05-01,73.6,117.1,-16.4,-0.6
2013-06-01,75,114.9,-9.4,0.2
2013-07-01,81.6,130.3,0.2,4.2
2013-08-01,78.2,122.2,-1.2,-0.6
2013-09-01,88.8,126,-2.2,14.1
2013-10-01,86.4,123.5,8,6
2013-11-01,79,120.7,0.4,-7
2013-12-01,86.4,123.7,5.4,16.9
2014-01-01,77.6,127,5.5,9.2
2014-02-01,78.9,116.7,8.2,8.6
2014-03-01,82.4,134.3,-0.3,12.8
2014-04-01,82.1,117.8,4.8,0.7
2014-05-01,78.3,116.3,6.4,-0.7
2014-06-01,78.3,123.9,4.5,7.9
2014-07-01,84.6,126.6,3.7,-2.8
2014-08-01,79,118.2,1,-3.3
2014-09-01,84.5,131.1,-4.9,4
2014-10-01,89.1,128.1,3.2,3.7
2014-11-01,75.5,120,-4.4,-0.6
2014-12-01,89.5,115.6,3.6,-6.6
2015-01-01,82.6,117.2,6.4,-7.8
2015-02-01,81.6,110.3,3.3,-5.5
2015-03-01,93.6,121.7,13.7,-9.4
2015-04-01,86.4,113.4,5.2,-3.7
2015-05-01,79.4,107.8,1.4,-7.3
2015-06-01,83.4,117.2,6.5,-5.4
2015-07-01,89.3,125.9,5.5,-0.6
2015-08-01,75.1,119.4,-5,1
2015-09-01,86.3,119.6,2.1,-8.7
2015-10-01,92.1,118.3,3.3,-7.6
2015-11-01,82.5,123.2,9.3,2.7
2015-12-01,93.9,109.5,5,-5.3
