Date,Sugar、 U.S. import price、 contract no.14 nearest futures position、 US cents per pound (Footnote： No. 14 revised to No. 16)
1980-01-01,19.66
1980-02-01,24.69
1980-03-01,21.18
1980-04-01,22.67
1980-05-01,31.89
1980-06-01,32.1
1980-07-01,28.75
1980-08-01,33.14
1980-09-01,35.03
1980-10-01,41.7
1980-11-01,39.28
1980-12-01,30.29
1981-01-01,29.57
1981-02-01,26.07
1981-03-01,23.81
1981-04-01,19.91
1981-05-01,17.43
1981-06-01,18.95
1981-07-01,19.1
1981-08-01,17.42
1981-09-01,15.49
1981-10-01,15.66
1981-11-01,16.28
1981-12-01,17.07
1982-01-01,18.16
1982-02-01,17.77
1982-03-01,17.13
1982-04-01,17.89
1982-05-01,19.57
1982-06-01,21.03
1982-07-01,22.15
1982-08-01,22.45
1982-09-01,20.88
1982-10-01,20.44
1982-11-01,20.79
1982-12-01,20.83
1983-01-01,21.23
1983-02-01,21.76
1983-03-01,21.86
1983-04-01,22.43
1983-05-01,22.6
1983-06-01,22.54
1983-07-01,22.09
1983-08-01,22.55
1983-09-01,22.2
1983-10-01,21.94
1983-11-01,21.8
1983-12-01,21.47
1984-01-01,21.51
1984-02-01,21.88
1984-03-01,22.03
1984-04-01,22.04
1984-05-01,22.01
1984-06-01,22.06
1984-07-01,21.89
1984-08-01,21.72
1984-09-01,21.7
1984-10-01,21.55
1984-11-01,21.39
1984-12-01,21.1
1985-01-01,20.72
1985-02-01,20.48
1985-03-01,20.92
1985-04-01,20.97
1985-05-01,21.09
1985-06-01,21.27
1985-07-01,21.23
1985-08-01,20.59
1985-09-01,19.51
1985-10-01,18.68
1985-11-01,18.89
1985-12-01,19.89
1986-01-01,20.67
1986-02-01,21.01
1986-03-01,20.95
1986-04-01,20.85
1986-05-01,20.88
1986-06-01,20.99
1986-07-01,20.97
1986-08-01,20.87
1986-09-01,20.87
1986-10-01,21.08
1986-11-01,21.17
1986-12-01,21.12
1987-01-01,21.5
1987-02-01,21.76
1987-03-01,21.76
1987-04-01,21.86
1987-05-01,22.01
1987-06-01,22.06
1987-07-01,22.07
1987-08-01,21.88
1987-09-01,21.88
1987-10-01,21.69
1987-11-01,21.75
1987-12-01,21.76
1988-01-01,21.83
1988-02-01,22.1
1988-03-01,22.16
1988-04-01,22.16
1988-05-01,22.13
1988-06-01,22.54
1988-07-01,23.43
1988-08-01,21.9
1988-09-01,21.77
1988-10-01,21.74
1988-11-01,21.7
1988-12-01,21.99
1989-01-01,21.88
1989-02-01,22.07
1989-03-01,22.12
1989-04-01,22.3
1989-05-01,22.45
1989-06-01,22.99
1989-07-01,23.56
1989-08-01,23.57
1989-09-01,23.5
1989-10-01,23.14
1989-11-01,23.24
1989-12-01,22.84
1990-01-01,23.05
1990-02-01,22.88
1990-03-01,23.58
1990-04-01,23.79
1990-05-01,23.59
1990-06-01,23.31
1990-07-01,23.42
1990-08-01,23.26
1990-09-01,23.23
1990-10-01,23.29
1990-11-01,23.15
1990-12-01,22.48
1991-01-01,21.8
1991-02-01,21.42
1991-03-01,21.43
1991-04-01,21.22
1991-05-01,21.28
1991-06-01,21.4
1991-07-01,21.25
1991-08-01,21.77
1991-09-01,22.05
1991-10-01,21.78
1991-11-01,21.76
1991-12-01,21.48
1992-01-01,21.38
1992-02-01,21.58
1992-03-01,21.36
1992-04-01,21.36
1992-05-01,21.03
1992-06-01,20.89
1992-07-01,21.09
1992-08-01,21.29
1992-09-01,21.55
1992-10-01,21.63
1992-11-01,21.38
1992-12-01,21.08
1993-01-01,20.76
1993-02-01,21.05
1993-03-01,21.57
1993-04-01,21.69
1993-05-01,21.36
1993-06-01,21.39
1993-07-01,21.89
1993-08-01,21.94
1993-09-01,21.96
1993-10-01,21.87
1993-11-01,21.87
1993-12-01,22
1994-01-01,22
1994-02-01,21.94
1994-03-01,21.95
1994-04-01,22.04
1994-05-01,22.18
1994-06-01,22.45
1994-07-01,22.73
1994-08-01,21.89
1994-09-01,21.78
1994-10-01,21.52
1994-11-01,21.57
1994-12-01,22.31
1995-01-01,22.66
1995-02-01,22.67
1995-03-01,22.46
1995-04-01,22.78
1995-05-01,23.1
1995-06-01,23.53
1995-07-01,24.47
1995-08-01,23.49
1995-09-01,23.23
1995-10-01,22.97
1995-11-01,22.6
1995-12-01,22.71
1996-01-01,22.39
1996-02-01,22.62
1996-03-01,22.57
1996-04-01,22.58
1996-05-01,22.59
1996-06-01,22.49
1996-07-01,21.8
1996-08-01,22.35
1996-09-01,22.38
1996-10-01,22.37
1996-11-01,22.12
1996-12-01,22.1
1997-01-01,21.88
1997-02-01,21.87
1997-03-01,21.81
1997-04-01,21.73
1997-05-01,21.7
1997-06-01,21.63
1997-07-01,22.03
1997-08-01,22.23
1997-09-01,22.29
1997-10-01,22.25
1997-11-01,21.9
1997-12-01,21.89
1998-01-01,21.85
1998-02-01,21.79
1998-03-01,21.74
1998-04-01,22.14
1998-05-01,22.31
1998-06-01,22.43
1998-07-01,22.67
1998-08-01,22.22
1998-09-01,21.93
1998-10-01,21.66
1998-11-01,21.83
1998-12-01,22.19
1999-01-01,22.41
1999-02-01,22.33
1999-03-01,22.54
1999-04-01,22.6
1999-05-01,22.65
1999-06-01,22.63
1999-07-01,22.6
1999-08-01,21.28
1999-09-01,20.12
1999-10-01,19.43
1999-11-01,17.4
1999-12-01,17.67
2000-01-01,17.69
2000-02-01,17.08
2000-03-01,18.39
2000-04-01,19.41
2000-05-01,19.12
2000-06-01,19.06
2000-07-01,18.83
2000-08-01,18.88
2000-09-01,19.57
2000-10-01,21.59
2000-11-01,21.77
2000-12-01,21.36
2001-01-01,21.46
2001-02-01,21.54
2001-03-01,21.55
2001-04-01,21.52
2001-05-01,21.35
2001-06-01,21.04
2001-07-01,21.01
2001-08-01,21.29
2001-09-01,21.37
2001-10-01,21.15
2001-11-01,21.32
2001-12-01,21.44
2002-01-01,21.24
2002-02-01,20.91
2002-03-01,20.21
2002-04-01,19.74
2002-05-01,19.82
2002-06-01,19.99
2002-07-01,20.73
2002-08-01,20.95
2002-09-01,21.52
2002-10-01,21.83
2002-11-01,22.31
2002-12-01,22.04
2003-01-01,22.04
2003-02-01,22.18
2003-03-01,22.26
2003-04-01,22
2003-05-01,21.85
2003-06-01,21.63
2003-07-01,21.35
2003-08-01,21.25
2003-09-01,21.17
2003-10-01,21.02
2003-11-01,20.85
2003-12-01,20.4
2004-01-01,20.58
2004-02-01,20.65
2004-03-01,21.13
2004-04-01,21.05
2004-05-01,20.75
2004-06-01,20.03
2004-07-01,20.36
2004-08-01,20.1
2004-09-01,20.78
2004-10-01,20.43
2004-11-01,20.45
2004-12-01,20.55
2005-01-01,20.62
2005-02-01,20.36
2005-03-01,20.6
2005-04-01,21.21
2005-05-01,21.89
2005-06-01,21.04
2005-07-01,20.69
2005-08-01,20.49
2005-09-01,20.81
2005-10-01,21.72
2005-11-01,21.64
2005-12-01,21.74
2006-01-01,23.38
2006-02-01,24.13
2006-03-01,23.06
2006-04-01,23.59
2006-05-01,23.43
2006-06-01,23.32
2006-07-01,22.3
2006-08-01,21.39
2006-09-01,21.16
2006-10-01,20.32
2006-11-01,19.76
2006-12-01,19.58
2007-01-01,19.91
2007-02-01,20.73
2007-03-01,20.83
2007-04-01,20.9
2007-05-01,21.01
2007-06-01,21.32
2007-07-01,21.12
2007-08-01,21.8
2007-09-01,21
2007-10-01,20.28
2007-11-01,20.04
2007-12-01,20.21
2008-01-01,20.26
2008-02-01,20.21
2008-03-01,20.64
2008-04-01,20.54
2008-05-01,20.83
2008-06-01,21.9
2008-07-01,23.18
2008-08-01,23.15
2008-09-01,22.94
2008-10-01,21.62
2008-11-01,20.62
2008-12-01,20
2009-01-01,20.57
2009-02-01,19.94
2009-03-01,20.46
2009-04-01,21.77
2009-05-01,22.07
2009-06-01,22.47
2009-07-01,23.02
2009-08-01,25.04
2009-09-01,27.34
2009-10-01,28.37
2009-11-01,29.46
2009-12-01,31.53
2010-01-01,29.91
2010-02-01,29.62
2010-03-01,27.73
2010-04-01,26.15
2010-05-01,25.32
2010-06-01,27.61
2010-07-01,29.21
2010-08-01,31
2010-09-01,35.22
2010-10-01,34.74
2010-11-01,38.09
2010-12-01,38
2011-01-01,39.67
2011-02-01,40.37
2011-03-01,36.11
2011-04-01,35.76
2011-05-01,34.2
2011-06-01,35.12
2011-07-01,37.89
2011-08-01,39.61
2011-09-01,39.28
2011-10-01,38.2
2011-11-01,38.11
2011-12-01,36.56
2012-01-01,35.36
2012-02-01,33.98
2012-03-01,33.48
2012-04-01,31.93
2012-05-01,30.37
2012-06-01,28.89
2012-07-01,28.71
2012-08-01,28.83
2012-09-01,25.76
2012-10-01,24.15
2012-11-01,22.71
2012-12-01,22.56
2013-01-01,22.59
2013-02-01,21.85
2013-03-01,21.54
2013-04-01,20.73
2013-05-01,20.31
2013-06-01,19.61
2013-07-01,20.46
2013-08-01,21.36
2013-09-01,21.58
2013-10-01,22.19
2013-11-01,21.61
2013-12-01,20.75
2014-01-01,21.58
2014-02-01,22.6
2014-03-01,23.01
2014-04-01,24.65
2014-05-01,25.16
2014-06-01,25.96
2014-07-01,26.15
2014-08-01,26.57
2014-09-01,26.69
2014-10-01,26.61
2014-11-01,24.6
2014-12-01,24.81
2015-01-01,25.24
2015-02-01,24.62
2015-03-01,24.4
2015-04-01,24.39
2015-05-01,24.72
2015-06-01,24.76
2015-07-01,24.67
2015-08-01,24.5
2015-09-01,24.43
