Date,対個人サービス業（調査９業種）総合 教養・生活関連(調査４業種)
2005-01-01,1.33
2005-02-01,-2.37
2005-03-01,4.3
2005-04-01,1.02
2005-05-01,-2.38
2005-06-01,-5.94
2005-07-01,5.34
2005-08-01,1.96
2005-09-01,2.42
2005-10-01,0.61
2005-11-01,-0.92
2005-12-01,4.74
2006-01-01,8.08
2006-02-01,20.26
2006-03-01,-7.06
2006-04-01,3.12
2006-05-01,2.13
2006-06-01,4.45
2006-07-01,0.71
2006-08-01,2.93
2006-09-01,0.85
2006-10-01,0.6
2006-11-01,13.04
2006-12-01,5.14
2007-01-01,-6.17
2007-02-01,-13.65
2007-03-01,1.97
2007-04-01,-7.14
2007-05-01,-4.77
2007-06-01,-5.45
2007-07-01,-3.02
2007-08-01,-5.6
2007-09-01,-13.87
2007-10-01,-5.11
2007-11-01,-12.18
2007-12-01,-7.82
2008-01-01,-5.08
2008-02-01,-6.54
2008-03-01,-12.48
2008-04-01,-0.53
2008-05-01,-0.63
2008-06-01,0.1
2008-07-01,0
2008-08-01,-1.04
2008-09-01,1.31
2008-10-01,2.53
2008-11-01,0.31
2008-12-01,0.42
2009-01-01,0.31
2009-02-01,-3.65
2009-03-01,-2.43
2009-04-01,-1.59
2009-05-01,-3.26
2009-06-01,-1.26
2009-07-01,-4.05
2009-08-01,-2.1
2009-09-01,-3.22
2009-10-01,-3.6
2009-11-01,-2.49
2009-12-01,-0.84
2010-01-01,-1.88
2010-02-01,-0.65
2010-03-01,0.23
2010-04-01,-0.32
2010-05-01,0.65
2010-06-01,-1.7
2010-07-01,1.95
2010-08-01,-0.32
2010-09-01,2.55
2010-10-01,-1.07
2010-11-01,0.96
2010-12-01,0.53
2011-01-01,0
2011-02-01,4.69
2011-03-01,-1.02
2011-04-01,2.05
2011-05-01,2.7
2011-06-01,2.27
2011-07-01,1.06
2011-08-01,3.45
2011-09-01,2.49
2011-10-01,3.02
2011-11-01,0.53
2011-12-01,1.48
2012-01-01,1.39
2012-02-01,0.83
2012-03-01,9.36
2012-04-01,1.9
2012-05-01,1.47
2012-06-01,0.95
2012-07-01,1.15
2012-08-01,0.62
2012-09-01,2.43
2012-10-01,2.1
2012-11-01,2.1
2012-12-01,0.73
2013-01-01,1.68
2013-02-01,-0.1
2013-03-01,1.46
2013-04-01,1.24
2013-05-01,0.72
2013-06-01,0.63
2013-07-01,0.21
2013-08-01,0.93
2013-09-01,0.52
2013-10-01,-0.1
2013-11-01,0.21
2013-12-01,-0.52
2014-01-01,-0.21
2014-02-01,-1.65
2014-03-01,1.95
2014-04-01,-0.51
2014-05-01,-0.51
2014-06-01,0.73
2014-07-01,1.45
2014-08-01,0.21
2014-09-01,0.72
2014-10-01,1.34
2014-11-01,0.41
2014-12-01,2.19
2015-01-01,3.01
2015-02-01,2.63
2015-03-01,2.83
2015-04-01,3.3
2015-05-01,1.55
2015-06-01,1.13
2015-07-01,0.1
2015-08-01,0.72
