Date,Cotton、 Cotton Outlook 'A Index'、 Middling 1-3／32 inch staple、 CIF Liverpool、 US cents per pound
1980-01-01,88.72
1980-02-01,97.21
1980-03-01,93.53
1980-04-01,90.56
1980-05-01,88.4
1980-06-01,84.14
1980-07-01,88.87
1980-08-01,96.37
1980-09-01,101.12
1980-10-01,98.69
1980-11-01,98.03
1980-12-01,99.16
1981-01-01,99.51
1981-02-01,95.85
1981-03-01,91.72
1981-04-01,88.65
1981-05-01,87.51
1981-06-01,86.36
1981-07-01,85.27
1981-08-01,80.72
1981-09-01,77.24
1981-10-01,75
1981-11-01,72.01
1981-12-01,67.75
1982-01-01,69.97
1982-02-01,69.98
1982-03-01,70.44
1982-04-01,71.15
1982-05-01,76.69
1982-06-01,75.64
1982-07-01,78.47
1982-08-01,76.4
1982-09-01,72.82
1982-10-01,70.21
1982-11-01,69.04
1982-12-01,69.26
1983-01-01,71.88
1983-02-01,74.32
1983-03-01,79.11
1983-04-01,80.22
1983-05-01,81.96
1983-06-01,86.01
1983-07-01,88.44
1983-08-01,90.8
1983-09-01,89.85
1983-10-01,88.11
1983-11-01,89.12
1983-12-01,89.36
1984-01-01,87.8
1984-02-01,87.44
1984-03-01,88.43
1984-04-01,88.99
1984-05-01,88.88
1984-06-01,83.73
1984-07-01,78.99
1984-08-01,75.52
1984-09-01,73.16
1984-10-01,73.62
1984-11-01,72.67
1984-12-01,71.99
1985-01-01,71.4
1985-02-01,68.67
1985-03-01,67.21
1985-04-01,66.26
1985-05-01,65.07
1985-06-01,63
1985-07-01,61.1
1985-08-01,57
1985-09-01,54.2
1985-10-01,48.84
1985-11-01,48.12
1985-12-01,48.19
1986-01-01,51.82
1986-02-01,54.51
1986-03-01,52.24
1986-04-01,48.5
1986-05-01,45.42
1986-06-01,41.03
1986-07-01,37.44
1986-08-01,37.03
1986-09-01,43.5
1986-10-01,51.23
1986-11-01,52.81
1986-12-01,59.71
1987-01-01,65.68
1987-02-01,65.85
1987-03-01,63.09
1987-04-01,65.85
1987-05-01,76.9
1987-06-01,79.3
1987-07-01,83.24
1987-08-01,86.6
1987-09-01,83.61
1987-10-01,76.19
1987-11-01,75.83
1987-12-01,75.08
1988-01-01,72.19
1988-02-01,67.49
1988-03-01,66.34
1988-04-01,65.75
1988-05-01,65.58
1988-06-01,68.78
1988-07-01,63.43
1988-08-01,58.41
1988-09-01,56.74
1988-10-01,57.64
1988-11-01,58.61
1988-12-01,61.26
1989-01-01,63.13
1989-02-01,62.96
1989-03-01,66.02
1989-04-01,73.75
