Date,Fuel (Energy) Index、 2005 = 100、 includes Crude oil (petroleum)、 Natural Gas、 and Coal Price Indices
1992-01-01,35.06
1992-02-01,35.07
1992-03-01,34.61
1992-04-01,36.68
1992-05-01,38.19
1992-06-01,40.38
1992-07-01,39.41
1992-08-01,38.59
1992-09-01,39.57
1992-10-01,39.2
1992-11-01,37.19
1992-12-01,35.6
1993-01-01,34.61
1993-02-01,35.88
1993-03-01,36.43
1993-04-01,36.41
1993-05-01,35.89
1993-06-01,34.56
1993-07-01,32.95
1993-08-01,33.08
1993-09-01,31.99
1993-10-01,32.87
1993-11-01,30.83
1993-12-01,27.96
1994-01-01,29.03
1994-02-01,28.52
1994-03-01,28.11
1994-04-01,30.4
1994-05-01,32.53
1994-06-01,34.06
1994-07-01,35.45
1994-08-01,33.72
1994-09-01,32.35
1994-10-01,32.95
1994-11-01,34.07
1994-12-01,32.62
1995-01-01,34.04
1995-02-01,35.06
1995-03-01,35.07
1995-04-01,37.37
1995-05-01,36.89
1995-06-01,35.34
1995-07-01,33.24
1995-08-01,33.8
1995-09-01,34.3
1995-10-01,33.49
1995-11-01,34.37
1995-12-01,36.38
1996-01-01,36.27
1996-02-01,36.45
1996-03-01,38.88
1996-04-01,40.77
1996-05-01,38.1
1996-06-01,37.3
1996-07-01,38.92
1996-08-01,39.8
1996-09-01,42.8
1996-10-01,45.32
1996-11-01,43.75
1996-12-01,45.92
1997-01-01,45.41
1997-02-01,40.58
1997-03-01,38.46
1997-04-01,36.07
1997-05-01,38.55
1997-06-01,36.14
1997-07-01,36.62
1997-08-01,37.36
1997-09-01,37.43
1997-10-01,39.56
1997-11-01,37.81
1997-12-01,34.39
1998-01-01,30.75
1998-02-01,29.28
1998-03-01,27.61
1998-04-01,27.7
1998-05-01,28.55
1998-06-01,26.16
1998-07-01,26.37
1998-08-01,25.66
1998-09-01,27.87
1998-10-01,26.79
1998-11-01,24.57
1998-12-01,22.08
1999-01-01,23.44
1999-02-01,22.47
1999-03-01,25.81
1999-04-01,30.44
1999-05-01,31.26
1999-06-01,31.54
1999-07-01,35.58
1999-08-01,38.19
1999-09-01,41.7
1999-10-01,41.81
1999-11-01,44.95
1999-12-01,46.25
2000-01-01,47.46
2000-02-01,50.64
2000-03-01,51.39
2000-04-01,45.3
2000-05-01,51.36
2000-06-01,55.62
2000-07-01,53.61
2000-08-01,55.8
2000-09-01,60.39
2000-10-01,59.81
2000-11-01,61.34
2000-12-01,51.48
2001-01-01,52.31
2001-02-01,53.42
2001-03-01,49.94
2001-04-01,51.03
2001-05-01,53.78
2001-06-01,52.81
2001-07-01,48.7
2001-08-01,50.1
2001-09-01,48.52
2001-10-01,41.25
2001-11-01,37.44
2001-12-01,36.92
2002-01-01,37.58
2002-02-01,38.96
2002-03-01,45.06
2002-04-01,47.93
2002-05-01,48.46
2002-06-01,46.38
2002-07-01,48.62
2002-08-01,49.65
2002-09-01,52.34
2002-10-01,51.79
2002-11-01,47.4
2002-12-01,52.53
2003-01-01,57.77
2003-02-01,62.02
2003-03-01,57.35
2003-04-01,49.59
2003-05-01,50.55
2003-06-01,53.51
2003-07-01,54.44
2003-08-01,56.27
2003-09-01,51.97
2003-10-01,55.4
2003-11-01,55.84
2003-12-01,57.96
2004-01-01,60.35
2004-02-01,60.34
2004-03-01,64.6
2004-04-01,65.38
2004-05-01,72.01
2004-06-01,69.39
2004-07-01,73.4
2004-08-01,79.73
2004-09-01,78.63
2004-10-01,87.84
2004-11-01,80.19
2004-12-01,75.26
2005-01-01,81.68
2005-02-01,83.88
2005-03-01,94.58
2005-04-01,95.06
2005-05-01,90.45
2005-06-01,100.11
2005-07-01,104.96
2005-08-01,114.21
2005-09-01,114.72
2005-10-01,110.14
2005-11-01,103.71
2005-12-01,106.51
2006-01-01,115.73
2006-02-01,111.73
2006-03-01,113.64
2006-04-01,125.61
2006-05-01,126.57
2006-06-01,126.02
2006-07-01,132.83
2006-08-01,132.01
