Date,民間 前年比
2011-04-01,0.8
2011-05-01,-3.6
2011-06-01,-2.4
2011-07-01,-3.2
2011-08-01,0.1
2011-09-01,2.9
2011-10-01,-1.5
2011-11-01,-3.7
2011-12-01,-7.5
2012-01-01,-5.8
2012-02-01,-6.9
2012-03-01,-3.6
2012-04-01,0.9
2012-05-01,2.1
2012-06-01,2.4
2012-07-01,0.7
2012-08-01,-2.6
2012-09-01,-0.3
2012-10-01,-1.7
2012-11-01,1.6
2012-12-01,2.9
2013-01-01,3.3
2013-02-01,4
2013-03-01,4.7
2013-04-01,6
2013-05-01,8.9
2013-06-01,11.5
2013-07-01,11.5
2013-08-01,11.4
2013-09-01,9.6
2013-10-01,12.9
2013-11-01,13.1
2013-12-01,13.7
2014-01-01,13.1
2014-02-01,10
2014-03-01,8.4
2014-04-01,4.7
2014-05-01,0.5
2014-06-01,-1
2014-07-01,-3.1
2014-08-01,-3.6
2014-09-01,-4.3
2014-10-01,-5
2014-11-01,-5.4
2014-12-01,-6.4
2015-01-01,-5.4
2015-02-01,-4
2015-03-01,-2
2015-04-01,2.5
2015-05-01,1.5
2015-06-01,2.2
2015-07-01,5.8
2015-08-01,6.5
2015-09-01,5.7
2015-10-01,6.2
2015-11-01,4.6
