Date,資金循環統計 - 負債・貸出／家計／ストック(兆円)
1997-12-01,353.6683
1998-03-01,349.5428
1998-06-01,351.4305
1998-09-01,350.0973
1998-12-01,351.3314
1999-03-01,348.3087
1999-06-01,349.3477
1999-09-01,351.3628
1999-12-01,353.3074
2000-03-01,354.3887
2000-06-01,351.2528
2000-09-01,352.5487
2000-12-01,351.1842
2001-03-01,352.2788
2001-06-01,350.1359
2001-09-01,350.8553
2001-12-01,348.033
2002-03-01,345.0803
2002-06-01,341.9737
2002-09-01,339.9219
2002-12-01,338.2497
2003-03-01,336.561
2003-06-01,333.8023
2003-09-01,334.3364
2003-12-01,333.6059
2004-03-01,332.8428
2004-06-01,330.2329
2004-09-01,329.7876
2004-12-01,328.8671
2005-03-01,328.2023
2005-06-01,325.7702
2005-09-01,327.0143
2005-12-01,330.5154
2006-03-01,330.0568
2006-06-01,327.9523
2006-09-01,327.7976
2006-12-01,326.9976
2007-03-01,326.5847
2007-06-01,326.499
2007-09-01,323.9575
2007-12-01,323.8377
2008-03-01,320.7485
2008-06-01,318.5173
2008-09-01,317.2182
2008-12-01,316.0475
2009-03-01,314.9109
2009-06-01,313.1354
2009-09-01,311.0041
2009-12-01,308.7844
2010-03-01,305.9942
2010-06-01,303.768
2010-09-01,302.38
2010-12-01,301.5224
2011-03-01,302.8467
2011-06-01,301.2766
2011-09-01,300.9868
2011-12-01,300.0365
2012-03-01,299.6122
2012-06-01,298.7184
2012-09-01,298.5339
2012-12-01,299.1826
2013-03-01,300.7334
2013-06-01,301.4335
2013-09-01,302.5737
2013-12-01,304.016
2014-03-01,305.8315
2014-06-01,304.6557
2014-09-01,305.8671
2014-12-01,307.6158
2015-03-01,310.0564
2015-06-01,310.7189
