Date,金融調節／国債買入
2010-01-01,18050
2010-02-01,18743
2010-03-01,17962
2010-04-01,18767
2010-05-01,17917
2010-06-01,18739
2010-07-01,18078
2010-08-01,18808
2010-09-01,17913
2010-10-01,18845
2010-11-01,17954
2010-12-01,18748
2011-01-01,17912
2011-02-01,18632
2011-03-01,17870
2011-04-01,18589
2011-05-01,17936
2011-06-01,18681
2011-07-01,17958
2011-08-01,18771
2011-09-01,17874
2011-10-01,18901
2011-11-01,18042
2011-12-01,18613
2012-01-01,18004
2012-02-01,18943
2012-03-01,18000
2012-04-01,18921
2012-05-01,16541
2012-06-01,19272
2012-07-01,16706
2012-08-01,19150
2012-09-01,17714
2012-10-01,19219
2012-11-01,17908
2012-12-01,19144
2013-01-01,15139
2013-02-01,17837
2013-03-01,21691
2013-04-01,71263
2013-05-01,87172
2013-06-01,77320
2013-07-01,78920
2013-08-01,67692
2013-09-01,73162
2013-10-01,75653
2013-11-01,83825
2013-12-01,56842
2014-01-01,70973
2014-02-01,70961
2014-03-01,66473
2014-04-01,65395
2014-05-01,66019
2014-06-01,69206
2014-07-01,64594
2014-08-01,65388
2014-09-01,61424
2014-10-01,78582
2014-11-01,106596
2014-12-01,100918
2015-01-01,97027
2015-02-01,95907
2015-03-01,95159
2015-04-01,97998
2015-05-01,80468
2015-06-01,99903
2015-07-01,88043
2015-08-01,90432
2015-09-01,99853
2015-10-01,95685
2015-11-01,93500
