Date,資金循環統計 - 資産・その他／家計／ストック(兆円)
1997-12-01,2.1906
1998-03-01,1.5439
1998-06-01,1.718
1998-09-01,2.2075
1998-12-01,2.1307
1999-03-01,1.5638
1999-06-01,1.4003
1999-09-01,1.3488
1999-12-01,1.5538
2000-03-01,1.4034
2000-06-01,1.1047
2000-09-01,6.6428
2000-12-01,6.3798
2001-03-01,7.5669
2001-06-01,6.4158
2001-09-01,4.9958
2001-12-01,6.1342
2002-03-01,5.0049
2002-06-01,5.813
2002-09-01,5.1038
2002-12-01,6.2972
2003-03-01,6.7505
2003-06-01,7.7814
2003-09-01,9.0631
2003-12-01,9.5903
2004-03-01,10.3789
2004-06-01,10.4972
2004-09-01,9.7307
2004-12-01,10.1351
2005-03-01,9.9858
2005-06-01,10.4063
2005-09-01,11.9974
2005-12-01,13.2563
2006-03-01,13.7147
2006-06-01,13.1021
2006-09-01,13.1229
2006-12-01,14.3492
2007-03-01,12.9385
2007-06-01,13.7254
2007-09-01,13.0135
2007-12-01,12.2003
2008-03-01,9.7914
2008-06-01,10.6815
2008-09-01,9.5089
2008-12-01,8.0944
2009-03-01,7.4057
2009-06-01,8.433
2009-09-01,8.771
2009-12-01,8.6303
2010-03-01,9.1151
2010-06-01,9.0383
2010-09-01,8.8528
2010-12-01,8.6866
2011-03-01,8.5946
2011-06-01,8.3619
2011-09-01,8.8885
2011-12-01,7.7238
2012-03-01,8.2507
2012-06-01,8.8844
2012-09-01,8.354
2012-12-01,8.7424
2013-03-01,9.544
2013-06-01,9.7029
2013-09-01,10.1798
2013-12-01,11.2002
2014-03-01,10.5684
2014-06-01,10.8525
2014-09-01,11.4151
2014-12-01,12.135
2015-03-01,13.2383
2015-06-01,13.7155
