Date,Oranges、 miscellaneous oranges CIF French import price、 US＄ per metric ton
1980-01-01,347
1980-02-01,350
1980-03-01,338
1980-04-01,377
1980-05-01,442.2
1980-06-01,480
1980-07-01,415
1980-08-01,404.3
1980-09-01,505.5
1980-10-01,505
1980-11-01,316.5
1980-12-01,321.6
1981-01-01,348.8
1981-02-01,325.2
1981-03-01,386.5
1981-04-01,403
1981-05-01,373
1981-06-01,378.8
1981-07-01,381.78
1981-08-01,444.25
1981-09-01,521.27
1981-10-01,505.63
1981-11-01,458.9
1981-12-01,341.6
1982-01-01,315.2
1982-02-01,302
1982-03-01,324.4
1982-04-01,346.5
1982-05-01,372.5
1982-06-01,409
1982-07-01,432.2
1982-08-01,526.9
1982-09-01,472.8
1982-10-01,430.4
1982-11-01,391.6
1982-12-01,291.3
1983-01-01,289.45
1983-02-01,288.9
1983-03-01,327.9
1983-04-01,405.7
1983-05-01,450.6
1983-06-01,387.7
1983-07-01,337.5
1983-08-01,349.85
1983-09-01,437
1983-10-01,458.7
1983-11-01,406
1983-12-01,339.1
1984-01-01,267.95
1984-02-01,245.63
1984-03-01,257.84
1984-04-01,241.79
1984-05-01,240.58
1984-06-01,317.7
1984-07-01,408.8
1984-08-01,507.9
1984-09-01,561.5
1984-10-01,499.92
1984-11-01,361.81
1984-12-01,317.3
1985-01-01,237.16
1985-02-01,280.1
1985-03-01,364.4
1985-04-01,433.7
1985-05-01,435.4
1985-06-01,436.3
1985-07-01,449.2
1985-08-01,508.7
1985-09-01,508.64
1985-10-01,451.6
1985-11-01,357.7
1985-12-01,318
1986-01-01,318.75
1986-02-01,322.22
1986-03-01,338.09
1986-04-01,364.29
1986-05-01,373.55
1986-06-01,399.37
1986-07-01,426.08
1986-08-01,497.19
1986-09-01,497.19
1986-10-01,443.05
1986-11-01,380.93
1986-12-01,364.06
1987-01-01,365.01
1987-02-01,361.34
1987-03-01,349.65
1987-04-01,397.68
1987-05-01,500.46
1987-06-01,570.93
1987-07-01,514.81
1987-08-01,520.98
1987-09-01,509.93
1987-10-01,472.94
1987-11-01,464.51
1987-12-01,443.57
1988-01-01,392.7
1988-02-01,385.27
1988-03-01,414.03
1988-04-01,468.26
1988-05-01,448.9
1988-06-01,439.55
1988-07-01,395.63
1988-08-01,403.34
1988-09-01,532.97
1988-10-01,585.45
1988-11-01,533.47
1988-12-01,441.31
1989-01-01,423.39
1989-02-01,372.61
1989-03-01,416.98
1989-04-01,448.22
1989-05-01,454.27
1989-06-01,454.1
1989-07-01,430.3
1989-08-01,491.1
1989-09-01,502.31
1989-10-01,474
1989-11-01,436.34
1989-12-01,441.49
1990-01-01,456.54
1990-02-01,409.71
1990-03-01,443.7
1990-04-01,495.05
1990-05-01,584.76
1990-06-01,599.86
1990-07-01,567.27
1990-08-01,591.42
1990-09-01,626.23
1990-10-01,644.07
1990-11-01,520.01
1990-12-01,434.11
1991-01-01,511.21
1991-02-01,501.48
1991-03-01,522.1
1991-04-01,500.87
1991-05-01,488.45
1991-06-01,396.48
1991-07-01,517.36
1991-08-01,572.02
1991-09-01,559.21
1991-10-01,493.05
1991-11-01,599.72
1991-12-01,589.46
1992-01-01,504.74
1992-02-01,439.12
1992-03-01,432.59
1992-04-01,509.86
1992-05-01,486.47
1992-06-01,472.24
1992-07-01,552.16
1992-08-01,572.61
1992-09-01,560.26
1992-10-01,497.76
1992-11-01,418.69
1992-12-01,424.39
1993-01-01,426.06
1993-02-01,412.41
1993-03-01,364.46
1993-04-01,380.62
1993-05-01,393.62
1993-06-01,376.71
1993-07-01,404.36
1993-08-01,443.43
1993-09-01,604.89
1993-10-01,621.42
1993-11-01,440.79
1993-12-01,321.16
1994-01-01,304.01
1994-02-01,340.1
1994-03-01,464.44
1994-04-01,358.15
1994-05-01,415.79
1994-06-01,436.65
1994-07-01,537.29
1994-08-01,543.97
1994-09-01,539.22
1994-10-01,434.87
1994-11-01,329.21
1994-12-01,232.38
1995-01-01,351.1
1995-02-01,418.38
1995-03-01,448.61
1995-04-01,556.42
1995-05-01,561.9
1995-06-01,654.87
1995-07-01,686.7
1995-08-01,608.39
1995-09-01,537.55
1995-10-01,546.21
1995-11-01,564.24
1995-12-01,443.23
1996-01-01,417.53
1996-02-01,434.47
1996-03-01,474.39
1996-04-01,528.79
1996-05-01,520.09
1996-06-01,559.05
1996-07-01,527.45
1996-08-01,527.25
1996-09-01,528.42
1996-10-01,473.7
1996-11-01,474.99
1996-12-01,433.88
1997-01-01,424.6
1997-02-01,406.73
1997-03-01,419.62
1997-04-01,451.19
1997-05-01,470.14
1997-06-01,439.75
1997-07-01,515.5
1997-08-01,571.51
1997-09-01,547.13
1997-10-01,493.47
1997-11-01,414.98
1997-12-01,352.94
1998-01-01,361.63
1998-02-01,394.7
1998-03-01,408.36
1998-04-01,443.83
1998-05-01,448.75
1998-06-01,457.59
1998-07-01,542.93
1998-08-01,506.8
1998-09-01,499.06
1998-10-01,433
1998-11-01,428.24
1998-12-01,383.92
1999-01-01,417.37
1999-02-01,403.97
1999-03-01,439.64
1999-04-01,447.14
1999-05-01,444.25
1999-06-01,484.44
1999-07-01,460.27
1999-08-01,492.36
1999-09-01,471.85
1999-10-01,517.99
1999-11-01,340.37
1999-12-01,339.07
2000-01-01,348.9
2000-02-01,323.59
2000-03-01,299.18
2000-04-01,337.49
2000-05-01,411.02
2000-06-01,426.49
2000-07-01,401.78
2000-08-01,392.32
2000-09-01,364.71
2000-10-01,379.84
2000-11-01,364.21
2000-12-01,309.02
2001-01-01,348.93
2001-02-01,407.17
2001-03-01,554.81
2001-04-01,629.72
2001-05-01,734.34
2001-06-01,830.56
2001-07-01,962.94
2001-08-01,784.58
2001-09-01,577.54
2001-10-01,423.63
2001-11-01,466
2001-12-01,425.76
2002-01-01,443.71
2002-02-01,454.62
2002-03-01,590.33
2002-04-01,579.16
2002-05-01,635.51
2002-06-01,635.47
2002-07-01,653.47
2002-08-01,637.6
2002-09-01,626.68
2002-10-01,614.28
2002-11-01,476.8
2002-12-01,426.76
