Date,医療、福祉業
2008-03-01,28679
2008-06-01,23137
2008-09-01,15626
2008-12-01,12709
2009-03-01,30097
2009-06-01,28735
2009-09-01,55318
2009-12-01,49269
2010-03-01,30304
2010-06-01,118238
2010-09-01,52492
2010-12-01,35651
2011-03-01,33238
2011-06-01,26107
2011-09-01,28404
2011-12-01,102677
2012-03-01,104277
2012-06-01,53746
2012-09-01,58442
2012-12-01,64561
2013-03-01,78148
2013-06-01,29069
2013-09-01,24077
2013-12-01,50910
2014-03-01,31297
2014-06-01,45308
2014-09-01,31169
2014-12-01,31998
2015-03-01,33060
2015-06-01,69942
