Date,対個人サービス業（調査９業種）総合 葬儀業
2005-01-01,3.07
2005-02-01,1.52
2005-03-01,16.49
2005-04-01,9.36
2005-05-01,4.36
2005-06-01,0.21
2005-07-01,2.73
2005-08-01,0.93
2005-09-01,4.52
2005-10-01,4.07
2005-11-01,0.52
2005-12-01,8.71
2006-01-01,3.9
2006-02-01,1.5
2006-03-01,-8.35
2006-04-01,2.72
2006-05-01,5.2
2006-06-01,9.81
2006-07-01,5.63
2006-08-01,1.74
2006-09-01,4.32
2006-10-01,2.21
2006-11-01,6.48
2006-12-01,-0.38
2007-01-01,1.09
2007-02-01,1.48
2007-03-01,5.05
2007-04-01,4.12
2007-05-01,2.62
2007-06-01,-1.69
2007-07-01,3.1
2007-08-01,6.85
2007-09-01,-0.1
2007-10-01,4.71
2007-11-01,0.97
2007-12-01,1.72
2008-01-01,3.81
2008-02-01,9.13
2008-03-01,1.98
2008-04-01,-0.66
2008-05-01,1.89
2008-06-01,3.64
2008-07-01,1.79
2008-08-01,0.38
2008-09-01,6.27
2008-10-01,2.53
2008-11-01,3.25
2008-12-01,0.94
2009-01-01,1.22
2009-02-01,-6.85
2009-03-01,-3.51
2009-04-01,-1.52
2009-05-01,0.19
2009-06-01,-3.32
2009-07-01,-4.43
2009-08-01,0.47
2009-09-01,-3.99
2009-10-01,-3.38
2009-11-01,-0.93
2009-12-01,-3.17
2010-01-01,-1.39
2010-02-01,1.34
2010-03-01,2.59
2010-04-01,3.37
2010-05-01,-1.85
2010-06-01,3.44
2010-07-01,5.89
2010-08-01,1.5
2010-09-01,2.93
2010-10-01,-0.57
2010-11-01,4.68
2010-12-01,6.26
2011-01-01,4.81
2011-02-01,4.71
2011-03-01,2.33
2011-04-01,5.03
2011-05-01,6.03
2011-06-01,6.74
2011-07-01,2.74
2011-08-01,3.31
2011-09-01,2.39
2011-10-01,5.9
2011-11-01,-1.43
2011-12-01,3.08
2012-01-01,-0.9
2012-02-01,9
2012-03-01,3.65
2012-04-01,-1.24
2012-05-01,-1.96
2012-06-01,-3.63
2012-07-01,-0.53
2012-08-01,-0.36
2012-09-01,2.06
2012-10-01,3.59
2012-11-01,2.81
2012-12-01,3.52
2013-01-01,6.26
2013-02-01,-3.39
2013-03-01,0.26
2013-04-01,1.89
2013-05-01,4.26
2013-06-01,-1.53
2013-07-01,2.95
2013-08-01,3.49
2013-09-01,1.14
2013-10-01,-1.04
2013-11-01,2.2
2013-12-01,-3.57
2014-01-01,-2.65
2014-02-01,-2.99
2014-03-01,0.97
2014-04-01,0.53
2014-05-01,-1.13
2014-06-01,2.19
2014-07-01,-1.65
2014-08-01,-2.77
2014-09-01,1.3
2014-10-01,1.93
2014-11-01,-0.26
2014-12-01,1.67
2015-01-01,7.28
2015-02-01,3.08
2015-03-01,1.22
2015-04-01,0.35
2015-05-01,2.55
2015-06-01,3.12
2015-07-01,0.88
2015-08-01,5.42
