Date,WORLD.Exports Quantum Index,WORLD.Imports Quantum Index,WORLD.Exports Quantum Index Percent Change,WORLD.Imports Quantum Index Percent Change
2009-01-01,60.8,93.2,-40.9,-11.8
2009-02-01,62.4,71.7,-45.3,-25.2
2009-03-01,73.8,84.9,-41.2,-20.4
2009-04-01,74.3,84.3,-35.8,-20.2
2009-05-01,70.9,76.6,-36.2,-23.9
2009-06-01,81.6,84.5,-27.7,-18.1
2009-07-01,86,90.2,-27.6,-14.9
2009-08-01,81.9,87.1,-25.3,-12.8
2009-09-01,90.7,92.7,-21.8,-10.1
2009-10-01,97.8,94.6,-12.9,-11.7
2009-11-01,89,94.7,-1.5,-2
2009-12-01,97.9,98.7,14.7,-0.8
2010-01-01,85.8,95.7,41,2.6
2010-02-01,90.2,89.3,44.5,24.5
2010-03-01,106.5,100.1,44.5,17.9
2010-04-01,102.4,100.5,37.8,19.2
2010-05-01,92,93.9,29.8,22.6
2010-06-01,103.9,99.8,27.3,18.2
2010-07-01,107.3,102.1,24.8,13.1
2010-08-01,92.3,103.5,12.7,18.8
2010-09-01,106.8,102.4,17.7,10.4
2010-10-01,104.2,99.2,6.6,4.8
2010-11-01,99.2,107.9,11.4,13.8
2010-12-01,110,105.9,12.4,7.3
2011-01-01,87.7,104.4,2.2,9.1
2011-02-01,99.7,91.7,10.6,2.7
2011-03-01,102.9,104.3,-3.4,4.2
2011-04-01,89.9,100.1,-12.2,-0.4
2011-05-01,82.9,98.8,-9.9,5.2
2011-06-01,100.1,100.8,-3.7,0.9
2011-07-01,100.1,99.7,-6.7,-2.3
2011-08-01,93.9,109.5,1.8,5.8
2011-09-01,105.6,103,-1.1,0.6
2011-10-01,97.8,104.9,-6.2,5.8
2011-11-01,92.6,107.5,-6.7,-0.3
2011-12-01,101.2,106,-8,0.1
2012-01-01,79,108.4,-9.9,3.8
2012-02-01,95.2,95.7,-4.5,4.4
2012-03-01,105.8,107.6,2.9,3.2
2012-04-01,93.9,102.2,4.5,2.1
2012-05-01,90.1,106.7,8.7,8
2012-06-01,97.5,100.6,-2.6,-0.2
2012-07-01,91.8,106.6,-8.2,7
2012-08-01,87.5,107.6,-6.8,-1.8
2012-09-01,93.4,107.8,-11.6,4.7
2012-10-01,89.5,104.4,-8.5,-0.5
2012-11-01,85.4,106.9,-7.7,-0.5
2012-12-01,89.3,105.4,-11.8,-0.6
2013-01-01,77.9,107.7,-1.5,-0.6
2013-02-01,83.1,96,-12.8,0.3
2013-03-01,98.3,102.8,-7.1,-4.5
2013-04-01,91.1,104.8,-3,2.5
2013-05-01,89,104.4,-1.2,-2.2
2013-06-01,92.6,95.6,-5.1,-5
2013-07-01,93.5,109.2,1.8,2.4
2013-08-01,89.2,105.6,1.9,-1.9
2013-09-01,91.7,105.6,-1.8,-2.1
2013-10-01,93.4,111.1,4.4,6.4
2013-11-01,90.7,110.5,6.2,3.4
2013-12-01,91.6,110.4,2.5,4.7
2014-01-01,77.7,116.3,-0.2,8
2014-02-01,87.5,95.5,5.4,-0.5
2014-03-01,95.9,114.7,-2.5,11.6
2014-04-01,92.9,103.5,2,-1.3
2014-05-01,86,100.2,-3.4,-4
2014-06-01,91.1,102.5,-1.6,7.2
2014-07-01,94.4,108.8,1,-0.3
2014-08-01,86.6,100.8,-2.9,-4.5
2014-09-01,94.3,108.7,2.8,3
2014-10-01,97.9,109.2,4.8,-1.7
2014-11-01,89.2,102.8,-1.7,-7
2014-12-01,95.1,108.4,3.9,-1.8
2015-01-01,86.2,109,11,-6.3
2015-02-01,85.7,99.7,-2.1,4.4
2015-03-01,98.9,102.9,3.2,-10.4
2015-04-01,94.6,103.5,1.8,0.1
2015-05-01,82.6,94.9,-4,-5.3
2015-06-01,91.1,101.1,0,-1.4
2015-07-01,93.8,105.6,-0.7,-2.9
2015-08-01,82.9,100.1,-4.1,-0.7
2015-09-01,90.6,106.6,-3.9,-1.9
2015-10-01,93.4,104.9,-4.6,-3.8
2015-11-01,86.4,104.6,-3.1,1.7
2015-12-01,90.9,103,-4.4,-5
2016-01-01,78.4,103.5,-9.1,-5
2016-02-01,85.8,97.4,0.2,-2.3
