Date,新設住宅着工.総計.戸数前年同月比(%)
1966-01-01,-0.935
1966-02-01,0.469
1966-03-01,4.465
1966-04-01,-4.83
1966-05-01,5.224
1966-06-01,8.915
1966-07-01,13.656
1966-08-01,7.03
1966-09-01,1.082
1966-10-01,-7.981
1966-11-01,-1.58
1966-12-01,-3.905
1967-01-01,20.098
1967-02-01,3.503
1967-03-01,18.394
1967-04-01,28.505
1967-05-01,13.21
1967-06-01,0.72
1967-07-01,1.531
1967-08-01,26.525
1967-09-01,19.228
1967-10-01,14.167
1967-11-01,16.091
1967-12-01,31.497
1968-01-01,25.956
1968-02-01,31.88
1968-03-01,17.483
1968-04-01,16.776
1968-05-01,30.148
1968-06-01,25.89
1968-07-01,13.182
1968-08-01,8.52
1968-09-01,29.037
1968-10-01,21.854
1968-11-01,19.789
1968-12-01,20.348
1969-01-01,4.787
1969-02-01,4.907
1969-03-01,4.194
1969-04-01,6.803
1969-05-01,7.067
1969-06-01,28.01
1969-07-01,32.345
1969-08-01,24.675
1969-09-01,13.691
1969-10-01,4.53
1969-11-01,2.837
1969-12-01,9.771
1970-01-01,16.491
1970-02-01,21.037
1970-03-01,30.38
1970-04-01,16.175
1970-05-01,10.165
1970-06-01,7.458
1970-07-01,8.307
1970-08-01,6.709
1970-09-01,-3.726
1970-10-01,6.167
1970-11-01,6.442
1970-12-01,8.059
1971-01-01,27.946
1971-02-01,-16.049
1971-03-01,-3.585
1971-04-01,-11.011
1971-05-01,-5.035
1971-06-01,-13.009
1971-07-01,-1.001
1971-08-01,-3.53
1971-09-01,4.257
1971-10-01,10.11
1971-11-01,0.312
1971-12-01,-0.341
1972-01-01,-20.156
1972-02-01,17.393
1972-03-01,67.632
1972-04-01,21.519
1972-05-01,24.39
1972-06-01,28.515
1972-07-01,15.474
1972-08-01,16.856
1972-09-01,23.863
1972-10-01,23.527
1972-11-01,32.868
1972-12-01,33.649
1973-01-01,39.1
1973-02-01,32.823
1973-03-01,-10.053
1973-04-01,21.924
1973-05-01,9.179
1973-06-01,0.644
1973-07-01,3.553
1973-08-01,3.645
1973-09-01,8.19
1973-10-01,-1.153
1973-11-01,-7.587
1973-12-01,-7.209
1974-01-01,-24.624
1974-02-01,-27.098
1974-03-01,-39.011
1974-04-01,-41.842
1974-05-01,-34.241
1974-06-01,-32.132
1974-07-01,-15.957
1974-08-01,-15.554
1974-09-01,-29.877
1974-10-01,-33.438
1974-11-01,-38.021
1974-12-01,-37.703
1975-01-01,-34.284
1975-02-01,-19.935
1975-03-01,2.385
1975-04-01,15.879
1975-05-01,5.356
1975-06-01,7.94
1975-07-01,1.981
1975-08-01,-3.994
1975-09-01,-6.25
1975-10-01,12.689
1975-11-01,14.618
1975-12-01,49.876
1976-01-01,51.658
1976-02-01,30.09
1976-03-01,9.25
1976-04-01,14.225
1976-05-01,15.928
1976-06-01,19.46
1976-07-01,11.722
1976-08-01,7.556
1976-09-01,7.001
1976-10-01,2.954
1976-11-01,7.46
1976-12-01,-3.649
1977-01-01,8.914
1977-02-01,-1.368
1977-03-01,-1.196
1977-04-01,9.633
1977-05-01,-4.428
1977-06-01,-13.274
1977-07-01,-11.645
1977-08-01,5.088
1977-09-01,-0.898
1977-10-01,-2.127
1977-11-01,8.93
1977-12-01,-4.796
1978-01-01,-5.976
1978-02-01,11.186
1978-03-01,15.883
1978-04-01,-2.775
1978-05-01,-1.264
1978-06-01,31.024
1978-07-01,8.667
1978-08-01,-20.206
1978-09-01,-9.458
1978-10-01,2.017
1978-11-01,9.281
1978-12-01,0.309
1979-01-01,-21.859
1979-02-01,-17.426
1979-03-01,-4.699
1979-04-01,11.847
1979-05-01,1.725
1979-06-01,-8.63
1979-07-01,4.432
1979-08-01,15.184
1979-09-01,11.776
1979-10-01,-4.838
1979-11-01,-18.399
1979-12-01,-12.008
1980-01-01,4.573
1980-02-01,-2.895
