Date,非労働力人口.女.季節調整値.万人
2013-02-01,2938
2013-03-01,2940
2013-04-01,2931
2013-05-01,2938
2013-06-01,2953
2013-07-01,2949
2013-08-01,2932
2013-09-01,2927
2013-10-01,2915
2013-11-01,2905
2013-12-01,2909
2014-01-01,2922
2014-02-01,2923
2014-03-01,2921
2014-04-01,2929
2014-05-01,2913
2014-06-01,2896
2014-07-01,2899
2014-08-01,2911
2014-09-01,2901
2014-10-01,2900
2014-11-01,2901
2014-12-01,2887
2015-01-01,2893
2015-02-01,2892
2015-03-01,2896
2015-04-01,2911
2015-05-01,2900
2015-06-01,2875
2015-07-01,2876
