Date,Lamb、 frozen carcass Smithfield London、 US cents per pound
1980-01-01,117.23
1980-02-01,122.01
1980-03-01,119.32
1980-04-01,132.72
1980-05-01,142.07
1980-06-01,141.63
1980-07-01,146.38
1980-08-01,140.96
1980-09-01,132.49
1980-10-01,134.36
1980-11-01,124.2
1980-12-01,120.62
1981-01-01,133.28
1981-02-01,134.12
1981-03-01,124.75
1981-04-01,136.17
1981-05-01,146.3
1981-06-01,135.45
1981-07-01,113.13
1981-08-01,101.22
1981-09-01,112.4
1981-10-01,120.59
1981-11-01,122.25
1981-12-01,120.07
1982-01-01,135.3
1982-02-01,124.7
1982-03-01,121.3
1982-04-01,116.65
1982-05-01,116.39
1982-06-01,110.6
1982-07-01,108.83
1982-08-01,104.03
1982-09-01,100.73
1982-10-01,95.88
1982-11-01,85.84
1982-12-01,83.54
1983-01-01,81.3
1983-02-01,77.5
1983-03-01,84.73
1983-04-01,96.64
1983-05-01,95.87
1983-06-01,89.55
1983-07-01,87.61
1983-08-01,88.08
1983-09-01,88.86
1983-10-01,89.69
1983-11-01,88.72
1983-12-01,86.06
1984-01-01,84.5
1984-02-01,85.28
1984-03-01,88.78
1984-04-01,94.57
1984-05-01,94.99
1984-06-01,94.08
1984-07-01,89.33
1984-08-01,88.82
1984-09-01,84.89
1984-10-01,82.33
1984-11-01,84.37
1984-12-01,80.49
1985-01-01,79.49
1985-02-01,76.97
1985-03-01,78.27
1985-04-01,84.48
1985-05-01,84.05
1985-06-01,85.39
1985-07-01,90.83
1985-08-01,89.62
1985-09-01,83.62
1985-10-01,82.53
1985-11-01,83.53
1985-12-01,83.92
1986-01-01,82.64
1986-02-01,82.93
1986-03-01,89.45
1986-04-01,91.3
1986-05-01,97.44
1986-06-01,108.49
1986-07-01,105.65
1986-08-01,90.67
1986-09-01,94.26
1986-10-01,89.24
1986-11-01,88.27
1986-12-01,90.51
1987-01-01,94.9
1987-02-01,96
1987-03-01,99.4
1987-04-01,99.6
1987-05-01,101.05
1987-06-01,98.63
1987-07-01,95.99
1987-08-01,93
1987-09-01,97.02
1987-10-01,95.11
1987-11-01,101
1987-12-01,109.67
1988-01-01,112.7
1988-02-01,109.93
1988-03-01,115.1
1988-04-01,117.2
1988-05-01,115.62
1988-06-01,110.12
1988-07-01,104.9
1988-08-01,103
1988-09-01,102.2
1988-10-01,104.66
1988-11-01,108.3
1988-12-01,109.74
1989-01-01,105.5
1989-02-01,104.53
1989-03-01,102.9
1989-04-01,108.39
1989-05-01,105.86
1989-06-01,102.1
1989-07-01,106.56
1989-08-01,105
1989-09-01,104.45
1989-10-01,106.79
1989-11-01,103.34
1989-12-01,108.33
1990-01-01,111.9
1990-02-01,116.17
1990-03-01,114.08
1990-04-01,121.11
1990-05-01,122.52
1990-06-01,123.41
1990-07-01,125.57
1990-08-01,125.38
1990-09-01,124.07
1990-10-01,125.46
1990-11-01,123.73
1990-12-01,120.32
1991-01-01,119.23
1991-02-01,120.89
1991-03-01,111
1991-04-01,103.59
1991-05-01,103.98
1991-06-01,100.1
1991-07-01,96.75
1991-08-01,99.28
1991-09-01,99.89
1991-10-01,96.52
1991-11-01,100.22
1991-12-01,107.05
1992-01-01,107.76
1992-02-01,111.27
1992-03-01,108.61
1992-04-01,112.46
1992-05-01,116.84
1992-06-01,119.21
1992-07-01,123.69
1992-08-01,125.8
1992-09-01,124.77
1992-10-01,117.35
1992-11-01,106.64
1992-12-01,110.67
1993-01-01,110.2
1993-02-01,105.26
1993-03-01,112.07
1993-04-01,121.77
1993-05-01,127.25
1993-06-01,131.17
1993-07-01,130.1
1993-08-01,129.77
1993-09-01,132.62
1993-10-01,130.9
1993-11-01,128.8
1993-12-01,129.47
1994-01-01,130.45
1994-02-01,130.23
1994-03-01,131.23
1994-04-01,130
1994-05-01,126.59
1994-06-01,127.03
1994-07-01,126.11
1994-08-01,119.62
1994-09-01,119.79
1994-10-01,123.61
1994-11-01,122.83
1994-12-01,120.51
1995-01-01,120.62
1995-02-01,117.56
1995-03-01,117.12
1995-04-01,115.26
1995-05-01,111.99
1995-06-01,112.19
1995-07-01,107.85
1995-08-01,105.72
1995-09-01,105.07
1995-10-01,113.4
1995-11-01,117.15
1995-12-01,114.98
1996-01-01,116.22
1996-02-01,114.95
1996-03-01,118.49
1996-04-01,134.95
1996-05-01,146.12
1996-06-01,153.45
1996-07-01,151.62
1996-08-01,151.21
1996-09-01,154.71
1996-10-01,159.64
1996-11-01,170.23
1996-12-01,173.95
1997-01-01,174.17
1997-02-01,159.21
1997-03-01,153.98
1997-04-01,150.19
1997-05-01,149.42
1997-06-01,150.74
1997-07-01,151.48
1997-08-01,144.47
1997-09-01,140.36
1997-10-01,143.05
1997-11-01,148
1997-12-01,138.32
1998-01-01,130.02
1998-02-01,126.56
1998-03-01,123.25
1998-04-01,121.12
1998-05-01,115.01
1998-06-01,105.58
1998-07-01,103.51
1998-08-01,103.43
1998-09-01,116.53
1998-10-01,121.3
1998-11-01,114.5
1998-12-01,111.35
1999-01-01,110.05
1999-02-01,108.86
1999-03-01,108.38
1999-04-01,108.8
1999-05-01,112.03
1999-06-01,111.46
1999-07-01,114.66
1999-08-01,123.21
1999-09-01,119.47
1999-10-01,124.57
1999-11-01,123.55
1999-12-01,124.79
2000-01-01,128.24
2000-02-01,122.51
2000-03-01,123.47
2000-04-01,110.47
2000-05-01,105.84
2000-06-01,104.36
2000-07-01,102.31
2000-08-01,104.51
2000-09-01,109.1
2000-10-01,113.14
2000-11-01,112.48
2000-12-01,117.83
2001-01-01,122.87
2001-02-01,123.6
2001-03-01,137.77
2001-04-01,131.91
2001-05-01,130.05
2001-06-01,124.57
2001-07-01,118.64
2001-08-01,129.59
2001-09-01,138.24
2001-10-01,135.1
2001-11-01,134.69
2001-12-01,135.94
2002-01-01,138.15
2002-02-01,137.12
2002-03-01,137.39
2002-04-01,137.77
2002-05-01,141.06
2002-06-01,143.31
2002-07-01,150.81
2002-08-01,148.75
2002-09-01,150.45
2002-10-01,154.82
2002-11-01,154.96
2002-12-01,157.94
2003-01-01,162.69
2003-02-01,159.7
2003-03-01,153.1
2003-04-01,149.04
2003-05-01,157.01
2003-06-01,165.93
2003-07-01,152.41
2003-08-01,157.42
2003-09-01,167.16
2003-10-01,165.75
2003-11-01,160.81
2003-12-01,166.72
2004-01-01,164.66
2004-02-01,163.21
2004-03-01,160.47
2004-04-01,159.11
2004-05-01,158.19
2004-06-01,164.21
2004-07-01,167.86
2004-08-01,164.93
2004-09-01,163.31
2004-10-01,168.81
2004-11-01,172.32
2004-12-01,182.1
2005-01-01,181.61
2005-02-01,174.78
2005-03-01,171.85
2005-04-01,167.5
2005-05-01,164.53
2005-06-01,159.83
2005-07-01,154.42
2005-08-01,154.22
2005-09-01,155.13
2005-10-01,150.35
2005-11-01,148.23
2005-12-01,148.57
2006-01-01,149.23
2006-02-01,146.35
2006-03-01,140.51
2006-04-01,141.22
2006-05-01,148.52
2006-06-01,150.16
2006-07-01,155.95
2006-08-01,169.68
2006-09-01,164.91
2006-10-01,155.78
2006-11-01,158.17
2006-12-01,162.78
2007-01-01,159.32
2007-02-01,155.38
2007-03-01,154.24
2007-04-01,157.18
2007-05-01,157.32
2007-06-01,159.24
2007-07-01,165.72
2007-08-01,164.31
2007-09-01,163.76
2007-10-01,167.72
2007-11-01,170.4
2007-12-01,165.92
2008-01-01,161.18
2008-02-01,173.38
2008-03-01,178.74
2008-04-01,183.69
2008-05-01,186.59
2008-06-01,185.14
2008-07-01,184.13
2008-08-01,177.66
2008-09-01,170.13
2008-10-01,162.1
2008-11-01,145.13
2008-12-01,140.81
2009-01-01,137.4
2009-02-01,133.92
2009-03-01,131.97
2009-04-01,139.44
2009-05-01,143.13
2009-06-01,153.37
2009-07-01,154.13
2009-08-01,155.77
2009-09-01,154.61
2009-10-01,152.03
2009-11-01,155.55
2009-12-01,151.99
2010-01-01,152.32
2010-02-01,147.78
2010-03-01,142.38
2010-04-01,144.95
2010-05-01,138.19
2010-06-01,138.06
2010-07-01,143.14
2010-08-01,147
2010-09-01,147.03
2010-10-01,149.51
2010-11-01,150.75
2010-12-01,147.14
2011-01-01,147.57
2011-02-01,150.32
2011-03-01,152.53
2011-04-01,154.08
2011-05-01,154.33
2011-06-01,153.14
2011-07-01,152.24
2011-08-01,153.8
2011-09-01,147.54
2011-10-01,146.92
2011-11-01,142
2011-12-01,135.97
2012-01-01,132.74
2012-02-01,125.03
2012-03-01,117.18
2012-04-01,109.12
2012-05-01,97.92
2012-06-01,92.33
2012-07-01,91.46
2012-08-01,88.52
2012-09-01,88.52
