Date,Swine (pork)、 51-52% lean Hogs、 U.S. price、 US cents per pound.
1980-01-01,72.42
1980-02-01,65.53
1980-03-01,65
1980-04-01,51.86
1980-05-01,54.9
1980-06-01,62.47
1980-07-01,84.68
1980-08-01,102.72
1980-09-01,101.18
1980-10-01,108.96
1980-11-01,112.69
1980-12-01,102.33
1981-01-01,92.77
1981-02-01,93.33
1981-03-01,76.68
1981-04-01,92.34
1981-05-01,85.2
1981-06-01,105.26
1981-07-01,102.37
1981-08-01,110.38
1981-09-01,113.59
1981-10-01,105.3
1981-11-01,105.35
1981-12-01,95.83
1982-01-01,117.35
1982-02-01,126.94
1982-03-01,124.9
1982-04-01,139.41
1982-05-01,151.54
1982-06-01,143.5
1982-07-01,158.28
1982-08-01,178.24
1982-09-01,172.53
1982-10-01,141.55
1982-11-01,135.52
1982-12-01,138.57
1983-01-01,151.54
1983-02-01,137.57
1983-03-01,122.98
1983-04-01,122.63
1983-05-01,113.63
1983-06-01,114.36
1983-07-01,111.75
1983-08-01,124.82
1983-09-01,105.41
1983-10-01,92.75
1983-11-01,96.85
1983-12-01,101.56
1984-01-01,120.33
1984-02-01,103
1984-03-01,104.38
1984-04-01,112.11
1984-05-01,107.49
1984-06-01,127.21
1984-07-01,120.13
1984-08-01,116.49
1984-09-01,112.6
1984-10-01,99.53
1984-11-01,112.51
1984-12-01,121.72
1985-01-01,126.53
1985-02-01,121.76
1985-03-01,120.84
1985-04-01,110.55
1985-05-01,108.58
1985-06-01,131.84
1985-07-01,119.75
1985-08-01,105.88
1985-09-01,97.73
1985-10-01,98.48
1985-11-01,97.67
1985-12-01,109.35
1986-01-01,115.06
1986-02-01,96.81
1986-03-01,95.17
1986-04-01,91.34
1986-05-01,116.24
1986-06-01,136.71
1986-07-01,170.24
1986-08-01,168.01
1986-09-01,139.07
1986-10-01,114.08
1986-11-01,118.48
1986-12-01,121.37
1987-01-01,124.39
1987-02-01,108.71
1987-03-01,113.44
1987-04-01,123.24
1987-05-01,125.18
1987-06-01,146.25
1987-07-01,156.72
1987-08-01,149.76
1987-09-01,111.19
1987-10-01,94.22
1987-11-01,87.04
1987-12-01,79.8
1988-01-01,96.25
1988-02-01,91.25
1988-03-01,85.71
1988-04-01,81.88
1988-05-01,87.78
1988-06-01,84.53
1988-07-01,75.57
1988-08-01,70.94
1988-09-01,62.81
1988-10-01,65.06
1988-11-01,62.86
1988-12-01,65.87
1989-01-01,68.12
1989-02-01,58.62
1989-03-01,57.06
1989-04-01,47.69
1989-05-01,54.94
1989-06-01,58.21
1989-07-01,57.08
1989-08-01,53.64
1989-09-01,64.98
1989-10-01,70.37
1989-11-01,96.26
1989-12-01,80.19
1990-01-01,93.15
1990-02-01,80
1990-03-01,79.91
1990-04-01,99.64
1990-05-01,115.68
1990-06-01,121.46
1990-07-01,96.19
1990-08-01,93.97
1990-09-01,95.68
1990-10-01,113.63
1990-11-01,110.74
1990-12-01,106.5
1991-01-01,120.18
1991-02-01,106.67
1991-03-01,109.88
1991-04-01,107.66
1991-05-01,106.93
1991-06-01,104.81
