Date,Sunflower oil、 Sunflower Oil、 US export price from Gulf of Mexico、 US＄ per metric ton
1980-01-01,566.93
1980-02-01,573.96
1980-03-01,535.28
1980-04-01,486.06
1980-05-01,502.76
1980-06-01,493.97
1980-07-01,555.5
1980-08-01,577.47
1980-09-01,561.65
1980-10-01,554.62
1980-11-01,631.09
1980-12-01,632.85
1981-01-01,606.48
1981-02-01,571.32
1981-03-01,571.32
1981-04-01,573.08
1981-05-01,588.02
1981-06-01,608.24
1981-07-01,602.09
1981-08-01,565.17
1981-09-01,516.83
1981-10-01,506.28
1981-11-01,518.58
1981-12-01,512.43
1982-01-01,516.83
1982-02-01,497.49
1982-03-01,478.15
1982-04-01,505.4
1982-05-01,504.52
1982-06-01,487.82
1982-07-01,470.24
1982-08-01,442.99
1982-09-01,437.72
1982-10-01,417.5
1982-11-01,413.99
1982-12-01,402.56
1983-01-01,399.05
1983-02-01,377.07
1983-03-01,370.04
1983-04-01,397.29
1983-05-01,407.84
1983-06-01,414.87
1983-07-01,436.84
1983-08-01,575.72
1983-09-01,667.13
1983-10-01,635.49
1983-11-01,602.09
1983-12-01,602.96
1984-01-01,655.7
1984-02-01,605.6
1984-03-01,649.55
1984-04-01,725.14
1984-05-01,839.4
1984-06-01,784.03
1984-07-01,682.07
1984-08-01,643.4
1984-09-01,645.15
1984-10-01,617.03
1984-11-01,638.12
1984-12-01,599.45
1985-01-01,579.23
1985-02-01,588.9
1985-03-01,580.99
1985-04-01,617.91
1985-05-01,598.57
1985-06-01,576.6
1985-07-01,549.35
1985-08-01,558.6
1985-09-01,558.6
1985-10-01,512.34
1985-11-01,633.33
1985-12-01,665
1986-01-01,637.74
1986-02-01,533.11
1986-03-01,473.99
1986-04-01,474.28
1986-05-01,488.24
1986-06-01,472.29
1986-07-01,433.83
1986-08-01,392.82
1986-09-01,390.51
1986-10-01,414.83
1986-11-01,427.02
1986-12-01,424.88
1987-01-01,420.3
1987-02-01,414.67
1987-03-01,404.66
1987-04-01,437.86
1987-05-01,499.43
1987-06-01,498.32
1987-07-01,485.46
1987-08-01,437.45
1987-09-01,422.32
1987-10-01,447.94
1987-11-01,440.17
1987-12-01,492.35
1988-01-01,543.31
1988-02-01,509.08
1988-03-01,485.51
1988-04-01,509.98
1988-05-01,516.6
1988-06-01,616.64
1988-07-01,799.21
1988-08-01,695.57
1988-09-01,666.15
1988-10-01,627.3
1988-11-01,587.85
1988-12-01,584.97
1989-01-01,569.5
1989-02-01,542.69
1989-03-01,585.68
1989-04-01,593.59
1989-05-01,628.51
1989-06-01,622.75
1989-07-01,646.6
1989-08-01,627.55
1989-09-01,612.67
1989-10-01,624.12
1989-11-01,623.26
1989-12-01,597.44
1990-01-01,588.04
1990-02-01,608.48
1990-03-01,618.08
1990-04-01,609.51
1990-05-01,621.77
1990-06-01,612.37
1990-07-01,589.29
1990-08-01,581.15
1990-09-01,580.13
1990-10-01,594.23
1990-11-01,601.67
1990-12-01,638.16
1991-01-01,625.49
1991-02-01,593.75
1991-03-01,571.36
1991-04-01,556.47
1991-05-01,566.7
1991-06-01,588.68
1991-07-01,579.22
1991-08-01,575.61
1991-09-01,600.46
1991-10-01,600.84
1991-11-01,605.13
1991-12-01,581.66
1992-01-01,554.58
1992-02-01,525.67
1992-03-01,566.88
1992-04-01,582.81
1992-05-01,566.23
1992-06-01,581.52
1992-07-01,568.6
1992-08-01,543.49
1992-09-01,554.74
1992-10-01,567.98
1992-11-01,568.19
1992-12-01,565.48
1993-01-01,582.52
1993-02-01,570.79
1993-03-01,574.59
1993-04-01,607.14
1993-05-01,640.15
1993-06-01,649.86
1993-07-01,695.05
1993-08-01,698.11
1993-09-01,713.94
1993-10-01,756.53
1993-11-01,792.56
1993-12-01,904.84
1994-01-01,891.04
1994-02-01,792.11
1994-03-01,770.2
1994-04-01,757.89
1994-05-01,756.99
1994-06-01,722.05
1994-07-01,660.62
1994-08-01,643.35
1994-09-01,667
1994-10-01,647.48
1994-11-01,685.25
1994-12-01,688.39
1995-01-01,669.09
1995-02-01,641.4
1995-03-01,645.48
1995-04-01,620.75
1995-05-01,613.22
1995-06-01,641.14
1995-07-01,671.05
1995-08-01,643
1995-09-01,627.38
1995-10-01,629.64
1995-11-01,600.91
1995-12-01,577.48
1996-01-01,568.74
1996-02-01,567.05
1996-03-01,549.67
1996-04-01,594.95
1996-05-01,617.91
1996-06-01,585.35
1996-07-01,567.83
1996-08-01,565.86
1996-09-01,561.95
1996-10-01,517.57
1996-11-01,515.29
1996-12-01,512.55
1997-01-01,527.39
1997-02-01,522.15
1997-03-01,533.33
1997-04-01,533.27
1997-05-01,551.73
1997-06-01,534.19
1997-07-01,523.61
1997-08-01,532.9
1997-09-01,550.77
1997-10-01,591.3
1997-11-01,652
1997-12-01,630.04
1998-01-01,629.32
1998-02-01,637.45
1998-03-01,661.73
1998-04-01,687.27
1998-05-01,747.71
1998-06-01,717
1998-07-01,701.87
1998-08-01,658.52
1998-09-01,651.5
1998-10-01,643.45
1998-11-01,639.48
1998-12-01,607.43
1999-01-01,570.67
1999-02-01,481.7
1999-03-01,454.26
1999-04-01,475.73
1999-05-01,491.9
1999-06-01,462.64
1999-07-01,436.86
1999-08-01,460.23
1999-09-01,464.32
1999-10-01,437.71
1999-11-01,431.32
1999-12-01,430.22
2000-01-01,428.52
2000-02-01,405.52
2000-03-01,406.87
2000-04-01,436
2000-05-01,412.91
2000-06-01,373.23
2000-07-01,353.86
2000-08-01,352.65
2000-09-01,354.86
2000-10-01,338.91
2000-11-01,332.55
2000-12-01,356.05
2001-01-01,346.91
2001-02-01,349.1
2001-03-01,379.86
2001-04-01,372.29
2001-05-01,379.65
2001-06-01,412.62
2001-07-01,453.09
2001-08-01,465.22
2001-09-01,430.2
2001-10-01,440.48
2001-11-01,576.27
2001-12-01,627.62
2002-01-01,567.43
2002-02-01,563.05
2002-03-01,546.52
2002-04-01,545.68
2002-05-01,525
2002-06-01,556.85
2002-07-01,596.22
2002-08-01,639.77
2002-09-01,631.62
2002-10-01,635.43
2002-11-01,732.38
2002-12-01,729.95
2003-01-01,659.39
2003-02-01,640.6
2003-03-01,647
2003-04-01,667.64
2003-05-01,678.27
2003-06-01,634.05
2003-07-01,577.52
2003-08-01,552.24
2003-09-01,617.5
2003-10-01,705.22
2003-11-01,708.8
2003-12-01,711.74
2004-01-01,720.5
2004-02-01,755.5
2004-03-01,756.04
2004-04-01,706.91
2004-05-01,638.62
2004-06-01,583.77
2004-07-01,688.95
2004-08-01,727.23
2004-09-01,766.09
2004-10-01,752
2004-11-01,824.05
2004-12-01,893.22
2005-01-01,1088.67
2005-02-01,1095.1
2005-03-01,1164.57
2005-04-01,1161.29
2005-05-01,1160.86
2005-06-01,1152
2005-07-01,1152
2005-08-01,1152
2005-09-01,1152
2005-10-01,1152
2005-11-01,1152
2005-12-01,1152
2006-01-01,1090.91
2006-02-01,715.3
2006-03-01,693.87
2006-04-01,673.25
2006-05-01,673
2006-06-01,673
2006-07-01,673
2006-08-01,673
2006-09-01,673
2006-10-01,673
2006-11-01,673
2006-12-01,673
2007-01-01,673
2007-02-01,673
2007-03-01,673
2007-04-01,673
2007-05-01,673
2007-06-01,673
2007-07-01,673
2007-08-01,673
2007-09-01,673
2007-10-01,673
2007-11-01,673
2007-12-01,673
2008-01-01,673
2008-02-01,673
2008-03-01,1303.1
2008-04-01,2177.36
2008-05-01,2214.55
2008-06-01,2300.19
2008-07-01,2267.74
2008-08-01,2060.24
2008-09-01,1948.82
2008-10-01,1724.39
2008-11-01,1624.4
2008-12-01,1357
2009-01-01,1211.36
2009-02-01,1038.1
2009-03-01,831.41
2009-04-01,929.05
2009-05-01,1043.81
2009-06-01,1115.55
2009-07-01,1021.87
2009-08-01,1078.9
2009-09-01,1021.41
2009-10-01,1005.23
2009-11-01,1070.43
2009-12-01,1132.91
2010-01-01,1113.62
2010-02-01,1091.4
2010-03-01,1105.22
2010-04-01,1132.77
2010-05-01,1102.52
2010-06-01,1090.32
2010-07-01,1094.77
2010-08-01,1140.05
2010-09-01,1195.18
2010-10-01,1304.14
2010-11-01,1395.77
2010-12-01,1466.26
2011-01-01,1528.95
2011-02-01,1591.5
2011-03-01,1576.96
2011-04-01,1691.76
2011-05-01,1701.18
2011-06-01,1700.86
2011-07-01,1676.43
2011-08-01,1666.04
2011-09-01,1672.77
2011-10-01,1565.19
2011-11-01,1554.77
2011-12-01,1535.64
2012-01-01,1553.41
2012-02-01,1441
2012-03-01,1441
2012-04-01,1441
2012-05-01,1441
2012-06-01,1441
2012-07-01,1505.54
2012-08-01,1549.86
2012-09-01,1582.85
2012-10-01,1483.16
2012-11-01,1483.03
2012-12-01,1510.91
2013-01-01,1506.78
2013-02-01,1512.6
2013-03-01,1462.01
2013-04-01,1439.23
2013-05-01,1466.97
2013-06-01,1470.57
2013-07-01,1375.48
2013-08-01,1152.39
2013-09-01,1158.38
2013-10-01,1187.13
2013-11-01,1192.4
2013-12-01,1169.18
2014-01-01,1110.12
2014-02-01,1137.04
2014-03-01,1152.09
2014-04-01,1125.1
2014-05-01,1127.28
2014-06-01,1112.06
2014-07-01,1061.82
2014-08-01,992.55
2014-09-01,983.05
2014-10-01,1044.72
2014-11-01,1068.89
2014-12-01,1049.03
2015-01-01,1004.2
2015-02-01,960.52
2015-03-01,957.26
2015-04-01,1002.01
2015-05-01,1081.89
2015-06-01,1102.86
2015-07-01,1069.26
2015-08-01,980.25
2015-09-01,981.68
