Date,建築物着工統計.建築物計床面積前年同月比(%)
2004-08-01,14.074
2004-09-01,9.564
2004-10-01,3.308
2004-11-01,1.33
2004-12-01,-3.87
2005-01-01,10.615
2005-02-01,9.003
2005-03-01,-8.27
2005-04-01,1.841
2005-05-01,6.487
2005-06-01,2.407
2005-07-01,1.767
2005-08-01,0.768
2005-09-01,-8.041
2005-10-01,6.957
2005-11-01,9.37
2005-12-01,0.975
2006-01-01,-5.154
2006-02-01,-1.509
2006-03-01,4.072
2006-04-01,6.858
2006-05-01,4.105
2006-06-01,-2.417
2006-07-01,-3.917
2006-08-01,2.894
2006-09-01,6.429
2006-10-01,-4.573
2006-11-01,2.472
2006-12-01,10.268
2007-01-01,-1.432
2007-02-01,-3.792
2007-03-01,-3.846
2007-04-01,-4.804
2007-05-01,-2.498
2007-06-01,19.311
2007-07-01,-22.718
2007-08-01,-42.082
2007-09-01,-44.678
2007-10-01,-31.525
2007-11-01,-20.309
2007-12-01,-13.835
2008-01-01,-10.332
2008-02-01,-15.019
2008-03-01,-3.092
2008-04-01,-12.488
2008-05-01,-15.953
2008-06-01,-29.035
2008-07-01,16.612
2008-08-01,45.738
2008-09-01,50.15
2008-10-01,16.698
2008-11-01,-6.962
2008-12-01,-10.966
2009-01-01,-10.876
2009-02-01,-13.068
2009-03-01,-24.636
2009-04-01,-32.454
2009-05-01,-34.003
2009-06-01,-28.934
2009-07-01,-30.263
2009-08-01,-37.332
2009-09-01,-35.198
2009-10-01,-24.61
2009-11-01,-19.442
2009-12-01,-21.654
2010-01-01,-14.412
2010-02-01,-11.778
2010-03-01,3.746
2010-04-01,5.034
2010-05-01,4.982
2010-06-01,2.287
2010-07-01,5.894
2010-08-01,19.328
2010-09-01,26.519
2010-10-01,9.203
2010-11-01,6.932
2010-12-01,9.114
2011-01-01,8.507
2011-02-01,3.98
2011-03-01,-2.693
2011-04-01,9.589
2011-05-01,8.168
2011-06-01,7.93
2011-07-01,14.703
2011-08-01,15.317
2011-09-01,-13.633
2011-10-01,-2.247
2011-11-01,3.637
2011-12-01,-1.183
2012-01-01,1.658
2012-02-01,8.934
2012-03-01,-1.791
2012-04-01,0.911
2012-05-01,6.773
2012-06-01,0.886
2012-07-01,-6.971
2012-08-01,-5.108
2012-09-01,19.846
2012-10-01,17.674
2012-11-01,7.77
2012-12-01,13.12
2013-01-01,4.362
2013-02-01,9.445
2013-03-01,15.035
2013-04-01,13.678
2013-05-01,13.642
2013-06-01,11.843
2013-07-01,12.886
2013-08-01,7.665
2013-09-01,15.412
2013-10-01,8.207
2013-11-01,13.889
2013-12-01,9.988
2014-01-01,16.693
2014-02-01,-2.205
2014-03-01,-6.182
2014-04-01,-5.641
2014-05-01,-16.4
2014-06-01,-6.89
2014-07-01,-12.655
2014-08-01,-10.277
2014-09-01,-19.262
2014-10-01,-6.213
2014-11-01,-16.687
2014-12-01,-18.494
2015-01-01,-18.99
2015-02-01,-0.375
2015-03-01,-8.444
2015-04-01,-1.202
2015-05-01,3.695
2015-06-01,2.779
2015-07-01,2.874
2015-08-01,-2.621
