Date,Coffee、 Robusta、 International Coffee Organization New York cash price、 ex-dock New York、 US cents per pound
1980-01-01,162.56
1980-02-01,162
1980-03-01,169.89
1980-04-01,162.9
1980-05-01,174.06
1980-06-01,169.01
1980-07-01,147.94
1980-08-01,132.05
1980-09-01,124.96
1980-10-01,125.49
1980-11-01,116.36
1980-12-01,118.54
1981-01-01,122.13
1981-02-01,115.48
1981-03-01,113.92
1981-04-01,112.93
1981-05-01,108.38
1981-06-01,85.23
1981-07-01,88.25
1981-08-01,90.39
1981-09-01,88.88
1981-10-01,98.51
1981-11-01,106.33
1981-12-01,104.52
1982-01-01,106.01
1982-02-01,115.63
1982-03-01,112.83
1982-04-01,106.67
1982-05-01,102.97
1982-06-01,102.85
1982-07-01,99.57
1982-08-01,103.79
1982-09-01,112
1982-10-01,118.27
1982-11-01,123.15
1982-12-01,128.76
1983-01-01,124.71
1983-02-01,122.15
1983-03-01,119.99
1983-04-01,120.42
1983-05-01,122.64
1983-06-01,120.55
1983-07-01,121.01
1983-08-01,120.9
1983-09-01,122.1
1983-10-01,130.34
1983-11-01,130.38
1983-12-01,134.21
1984-01-01,134.5
1984-02-01,137.19
1984-03-01,138.88
1984-04-01,137.58
1984-05-01,146.28
1984-06-01,143.67
1984-07-01,138.32
1984-08-01,140.11
1984-09-01,142.05
1984-10-01,135.01
1984-11-01,135.47
1984-12-01,129.13
1985-01-01,127.9
1985-02-01,124.67
1985-03-01,124.02
1985-04-01,123.25
1985-05-01,121.41
1985-06-01,120.54
1985-07-01,107.29
1985-08-01,106.81
1985-09-01,105.11
1985-10-01,112.48
1985-11-01,128.03
1985-12-01,153.4
1986-01-01,172.22
1986-02-01,163.32
1986-03-01,169.79
1986-04-01,157.53
1986-05-01,142.56
1986-06-01,125.79
1986-07-01,126.42
1986-08-01,135.17
1986-09-01,163.8
1986-10-01,148.58
1986-11-01,148.67
1986-12-01,126.02
1987-01-01,113.81
1987-02-01,110.45
1987-03-01,98.28
1987-04-01,101.17
1987-05-01,105.69
1987-06-01,98.23
1987-07-01,92.5
1987-08-01,94.8
1987-09-01,99.48
1987-10-01,103.83
1987-11-01,105.76
1987-12-01,104.05
1988-01-01,103.19
1988-02-01,104.09
1988-03-01,99.82
1988-04-01,96.6
1988-05-01,94.94
1988-06-01,94.15
1988-07-01,85.39
1988-08-01,81.58
1988-09-01,89.98
1988-10-01,95.24
1988-11-01,94.13
1988-12-01,102.17
1989-01-01,102.83
1989-02-01,96.55
1989-03-01,95.61
1989-04-01,91.73
1989-05-01,92
1989-06-01,84.55
1989-07-01,65.78
1989-08-01,59.35
1989-09-01,60.66
1989-10-01,53.83
1989-11-01,53.23
1989-12-01,52.15
1990-01-01,50.52
1990-02-01,51.3
1990-03-01,57.68
1990-04-01,57.39
1990-05-01,55.03
1990-06-01,52.38
