Date,Sugar、 European import price、 CIF Europe、 US cents per pound
1991-01-01,32.15
1991-02-01,32.69
1991-03-01,30.45
1991-04-01,29.1
1991-05-01,28.71
1991-06-01,27.4
1991-07-01,27.4
1991-08-01,27.99
1991-09-01,28.66
1991-10-01,28.64
1991-11-01,29.56
1991-12-01,30.36
1992-01-01,30.17
1992-02-01,29.55
1992-03-01,28.68
1992-04-01,29.21
1992-05-01,30.11
1992-06-01,30.81
1992-07-01,31.91
1992-08-01,32.24
1992-09-01,30.88
1992-10-01,27.59
1992-11-01,25.38
1992-12-01,25.8
1993-01-01,25.48
1993-02-01,23.9
1993-03-01,24.28
1993-04-01,25.72
1993-05-01,25.75
1993-06-01,25.14
1993-07-01,24.89
1993-08-01,24.81
1993-09-01,25.35
1993-10-01,25
1993-11-01,24.62
1993-12-01,24.77
1994-01-01,24.82
1994-02-01,24.59
1994-03-01,24.79
1994-04-01,24.65
1994-05-01,24.99
1994-06-01,25.35
1994-07-01,25.69
1994-08-01,25.65
1994-09-01,26
1994-10-01,26.71
1994-11-01,26.43
1994-12-01,25.94
1995-01-01,26.19
1995-02-01,26.14
1995-03-01,26.61
1995-04-01,26.75
1995-05-01,26.4
1995-06-01,26.52
1995-07-01,26.52
1995-08-01,26.1
1995-09-01,25.89
1995-10-01,26.25
1995-11-01,26
1995-12-01,25.59
1996-01-01,25.45
1996-02-01,25.54
1996-03-01,25.39
1996-04-01,25.2
1996-05-01,25.18
1996-06-01,25.64
1996-07-01,25.83
1996-08-01,25.77
1996-09-01,25.93
1996-10-01,26.36
1996-11-01,27.65
1996-12-01,27.68
1997-01-01,27.61
1997-02-01,27.03
1997-03-01,26.69
1997-04-01,27.09
1997-05-01,27.16
1997-06-01,27.34
1997-07-01,27.79
1997-08-01,26.66
1997-09-01,26.6
1997-10-01,27.12
1997-11-01,28.06
1997-12-01,27.63
1998-01-01,27.19
1998-02-01,27.26
1998-03-01,27.62
1998-04-01,27.8
1998-05-01,27.23
1998-06-01,27.43
1998-07-01,27.33
1998-08-01,27.13
1998-09-01,27.94
1998-10-01,28.18
1998-11-01,27.63
1998-12-01,27.78
1999-01-01,27.45
1999-02-01,27.08
1999-03-01,26.94
1999-04-01,26.78
1999-05-01,26.86
1999-06-01,26.53
1999-07-01,26.17
1999-08-01,26.72
1999-09-01,26.99
1999-10-01,27.56
1999-11-01,26.99
1999-12-01,26.83
2000-01-01,27.29
2000-02-01,26.61
2000-03-01,26.27
2000-04-01,26.33
2000-05-01,25.09
2000-06-01,25.08
2000-07-01,25.08
2000-08-01,24.77
2000-09-01,23.85
2000-10-01,24.14
