week,対内.株式投資ファンド持分.ネット
2014年3月第3週,-10923
2014年3月第4週,-1910
2014年3月第5週,-5156
2014年3月第6週,2231
2014年4月第2週,-842
2014年4月第3週,1940
2014年4月第4週,1947
2014年4月第5週,-97
2014年5月第2週,-1537
2014年5月第3週,-972
2014年5月第4週,337
2014年5月第5週,817
2014年6月第1週,3410
2014年6月第2週,2381
2014年6月第3週,2963
2014年6月第4週,-328
2014年6月第5週,3309
2014年7月第2週,-1606
2014年7月第3週,1380
2014年7月第4週,2033
2014年7月第5週,965
2014年8月第2週,-5848
2014年8月第3週,877
2014年8月第4週,1731
2014年8月第5週,-1107
2014年8月第6週,1879
2014年9月第2週,1366
2014年9月第3週,2940
2014年9月第4週,-419
2014年9月第5週,1845
2014年10月第2週,-2546
2014年10月第3週,-4142
2014年10月第4週,1780
2014年10月第5週,9047
2014年11月第2週,10549
2014年11月第3週,9102
2014年11月第4週,7349
2014年11月第5週,-530
2014年11月第6週,4823
2014年12月第2週,1208
2014年12月第3週,-3877
2014年12月第4週,31
2014年12月第5週,-407
2015年1月第2週,-6799
2015年1月第3週,-5771
2015年1月第4週,4648
2015年1月第5週,-1048
2015年2月第1週,-4771
2015年2月第2週,1139
2015年2月第3週,2893
2015年2月第4週,3505
2015年3月第1週,2918
2015年3月第2週,2443
2015年3月第3週,-3524
2015年3月第4週,-344
2015年3月第5週,10361
2015年4月第2週,10411
2015年4月第3週,5990
2015年4月第4週,8210
2015年4月第5週,-2056
2015年5月第2週,714
2015年5月第3週,1872
2015年5月第4週,5641
2015年5月第5週,5742
2015年5月第6週,2552
2015年6月第2週,-4126
2015年6月第3週,-2533
2015年6月第4週,2980
2015年6月第5週,-1854
2015年7月第2週,-8534
2015年7月第3週,6322
2015年7月第4週,-817
2015年7月第5週,-28
2015年8月第2週,3564
2015年8月第3週,-5014
2015年8月第4週,-4628
2015年8月第5週,-6269
2015年8月第6週,-9861
2015年9月第2週,-14206
2015年9月第3週,-4315
2015年9月第4週,-1922
2015年9月第5週,-1776
2015年10月第2週,5235
2015年10月第3週,-236
2015年10月第4週,3250
2015年10月第5週,1871
2015年11月第1週,1707
2015年11月第2週,3266
2015年11月第3週,1990
2015年11月第4週,-546
2015年11月第5週,1048
2015年12月第2週,-4901
2015年12月第3週,-2258
2015年12月第4週,-884
2015年12月第5週,1357
2016年1月第2週,-7464
2016年1月第3週,-3586
2016年1月第4週,-1904
2016年1月第5週,-3650
2016年1月第6週,-6104
