Date,Sugar、 Free Market、 Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position、 US cents per pound
1980-01-01,17.3
1980-02-01,22.75
1980-03-01,19.63
1980-04-01,21.25
1980-05-01,30.94
1980-06-01,30.8
1980-07-01,27.7
1980-08-01,31.77
1980-09-01,34.74
1980-10-01,40.55
1980-11-01,37.81
1980-12-01,28.79
1981-01-01,27.78
1981-02-01,24.09
1981-03-01,21.81
1981-04-01,17.83
1981-05-01,15.08
1981-06-01,16.38
1981-07-01,16.34
1981-08-01,14.76
1981-09-01,11.65
1981-10-01,12.04
1981-11-01,11.97
1981-12-01,12.98
1982-01-01,12.9
1982-02-01,13.08
1982-03-01,11.26
1982-04-01,9.58
1982-05-01,8.11
1982-06-01,6.84
1982-07-01,7.8
1982-08-01,6.77
1982-09-01,5.77
1982-10-01,5.93
1982-11-01,6.52
1982-12-01,6.31
1983-01-01,6.03
1983-02-01,6.43
1983-03-01,6.2
1983-04-01,6.71
1983-05-01,9.24
1983-06-01,10.74
1983-07-01,10.53
1983-08-01,10.56
1983-09-01,9.43
1983-10-01,9.69
1983-11-01,8.33
1983-12-01,7.69
1984-01-01,6.97
1984-02-01,6.63
1984-03-01,6.43
1984-04-01,6
1984-05-01,5.61
1984-06-01,5.52
1984-07-01,4.54
1984-08-01,4.05
1984-09-01,4.1
1984-10-01,4.65
1984-11-01,4.38
1984-12-01,3.55
1985-01-01,3.61
1985-02-01,3.69
1985-03-01,3.83
1985-04-01,3.42
1985-05-01,2.82
1985-06-01,2.78
1985-07-01,3.18
1985-08-01,4.39
1985-09-01,5.12
1985-10-01,5.01
1985-11-01,5.48
1985-12-01,5.32
1986-01-01,4.84
1986-02-01,5.56
1986-03-01,7.04
1986-04-01,8.33
1986-05-01,7.67
1986-06-01,6.34
1986-07-01,5.55
1986-08-01,5.57
1986-09-01,4.68
1986-10-01,5.39
1986-11-01,5.95
1986-12-01,5.7
1987-01-01,6.48
1987-02-01,7.39
1987-03-01,7.56
1987-04-01,6.68
1987-05-01,6.71
1987-06-01,6.44
1987-07-01,6.1
1987-08-01,5.62
1987-09-01,5.82
1987-10-01,6.65
1987-11-01,7.33
1987-12-01,8.3
1988-01-01,9.67
1988-02-01,8.43
1988-03-01,8.52
1988-04-01,8.54
1988-05-01,8.9
1988-06-01,10.57
1988-07-01,14.02
1988-08-01,11.18
1988-09-01,10.16
1988-10-01,10.28
1988-11-01,10.84
1988-12-01,11.22
1989-01-01,9.8
1989-02-01,10.54
1989-03-01,11.5
1989-04-01,12.16
1989-05-01,11.98
1989-06-01,12.61
1989-07-01,14.01
1989-08-01,14.05
1989-09-01,14.13
1989-10-01,14.44
1989-11-01,15.02
1989-12-01,13.43
1990-01-01,14.2
1990-02-01,14.65
1990-03-01,15.31
1990-04-01,15.24
1990-05-01,14.62
1990-06-01,12.97
1990-07-01,12
1990-08-01,10.93
1990-09-01,11.02
1990-10-01,9.39
1990-11-01,10.06
1990-12-01,9.74
1991-01-01,8.8
1991-02-01,8.51
1991-03-01,9.14
1991-04-01,8.51
1991-05-01,7.59
1991-06-01,9.2
1991-07-01,10.32
1991-08-01,9.59
1991-09-01,9.3
1991-10-01,9.13
1991-11-01,8.63
1991-12-01,9
1992-01-01,8.42
1992-02-01,7.84
1992-03-01,8.25
1992-04-01,9.46
1992-05-01,9.61
1992-06-01,10.35
1992-07-01,10.31
1992-08-01,9.86
1992-09-01,9.31
1992-10-01,8.71
1992-11-01,8.56
1992-12-01,8.15
1993-01-01,8.24
1993-02-01,8.56
1993-03-01,10.62
1993-04-01,11.15
1993-05-01,11.83
1993-06-01,10.4
1993-07-01,9.68
1993-08-01,9.34
1993-09-01,9.54
1993-10-01,10.29
1993-11-01,10.07
1993-12-01,10.52
1994-01-01,10.3
1994-02-01,10.82
1994-03-01,11.73
1994-04-01,11.01
1994-05-01,11.58
1994-06-01,12.05
1994-07-01,11.77
1994-08-01,12.09
1994-09-01,12.59
1994-10-01,12.76
1994-11-01,13.93
1994-12-01,14.67
1995-01-01,14.8
1995-02-01,14.41
1995-03-01,14.59
1995-04-01,13.61
1995-05-01,13.52
1995-06-01,14.02
1995-07-01,13.59
1995-08-01,12.98
1995-09-01,11.69
1995-10-01,11.84
1995-11-01,11.98
1995-12-01,12.31
1996-01-01,12.53
1996-02-01,12.82
1996-03-01,12.9
1996-04-01,11.98
1996-05-01,11.38
1996-06-01,12.17
1996-07-01,12.81
1996-08-01,12.37
1996-09-01,11.92
1996-10-01,11.12
1996-11-01,10.72
1996-12-01,10.74
1997-01-01,10.69
1997-02-01,10.81
1997-03-01,11.14
1997-04-01,11.3
1997-05-01,11.13
1997-06-01,11.43
1997-07-01,11.57
1997-08-01,11.7
1997-09-01,11.33
1997-10-01,11.38
1997-11-01,12.01
1997-12-01,12.33
1998-01-01,11.52
1998-02-01,10.72
1998-03-01,9.84
1998-04-01,9.68
1998-05-01,9.23
1998-06-01,8.1
1998-07-01,8.62
1998-08-01,8.48
1998-09-01,7.23
1998-10-01,7.46
1998-11-01,8.06
1998-12-01,8.08
1999-01-01,8.11
1999-02-01,6.82
1999-03-01,6.03
1999-04-01,5.42
1999-05-01,5.75
1999-06-01,6.04
1999-07-01,5.38
1999-08-01,5.72
1999-09-01,6.67
1999-10-01,6.75
1999-11-01,6.5
1999-12-01,5.98
2000-01-01,5.63
2000-02-01,5.35
2000-03-01,5.11
2000-04-01,6.01
2000-05-01,6.78
2000-06-01,8.33
2000-07-01,9.64
2000-08-01,10.6
2000-09-01,9.86
2000-10-01,10.41
