Date,資金循環統計 - 資産・株式・出資金／家計／ストック(兆円)
1997-12-01,85.8335
1998-03-01,90.2574
1998-06-01,89.2512
1998-09-01,73.7978
1998-12-01,81.125
1999-03-01,96.2709
1999-06-01,110.336
1999-09-01,119.6861
1999-12-01,138.095
2000-03-01,138.3429
2000-06-01,131.845
2000-09-01,128.2851
2000-12-01,121.1516
2001-03-01,112.9309
2001-06-01,118.0731
2001-09-01,89.0684
2001-12-01,90.5837
2002-03-01,92.5699
2002-06-01,92.9804
2002-09-01,88.8142
2002-12-01,85.6965
2003-03-01,77.997
2003-06-01,92.2064
2003-09-01,106.1381
2003-12-01,107.5438
2004-03-01,123.744
2004-06-01,127.2802
2004-09-01,118.7767
2004-12-01,120.7504
2005-03-01,134.6006
2005-06-01,136.0648
2005-09-01,155.5937
2005-12-01,195.8878
2006-03-01,199.5518
2006-06-01,183.1288
2006-09-01,181.6645
2006-12-01,198.6347
2007-03-01,200.2677
2007-06-01,204.3572
2007-09-01,187.2825
2007-12-01,139.6261
2008-03-01,115.318
2008-06-01,123.0654
2008-09-01,103.366
2008-12-01,87.6904
2009-03-01,84.9581
2009-06-01,101.1438
2009-09-01,99.3925
2009-12-01,94.6963
2010-03-01,101.748
2010-06-01,92.4546
2010-09-01,90.3993
2010-12-01,101.4543
2011-03-01,106.1818
2011-06-01,104.6107
2011-09-01,96.0516
2011-12-01,97.1447
2012-03-01,109.7165
2012-06-01,101.0567
2012-09-01,96.9715
2012-12-01,111.9284
2013-03-01,133.2432
2013-06-01,141.8849
2013-09-01,147.9358
2013-12-01,160.8904
2014-03-01,151.4052
2014-06-01,157.0582
2014-09-01,163.2407
2014-12-01,170.6334
2015-03-01,177.8881
2015-06-01,182.3037
