Date,Poultry (chicken)、 Whole bird spot price、 Ready-to-cook、 whole、 iced、 Georgia docks、 US cents per pound
1980-01-01,33.9
1980-02-01,32.55
1980-03-01,31.83
1980-04-01,30.99
1980-05-01,30.66
1980-06-01,31.28
1980-07-01,34.34
1980-08-01,36.41
1980-09-01,37.97
1980-10-01,38.45
1980-11-01,37.03
1980-12-01,36.7
1981-01-01,35.9
1981-02-01,36.7
1981-03-01,36.01
1981-04-01,35.14
1981-05-01,33.75
1981-06-01,34.37
1981-07-01,36.7
1981-08-01,35.72
1981-09-01,34.99
1981-10-01,34.41
1981-11-01,33.86
1981-12-01,33.72
1982-01-01,34.26
1982-02-01,34.81
1982-03-01,34.59
1982-04-01,34.45
1982-05-01,34.92
1982-06-01,35.32
1982-07-01,35.68
1982-08-01,34.37
1982-09-01,34.56
1982-10-01,34.15
1982-11-01,33.57
1982-12-01,32.88
1983-01-01,33.14
1983-02-01,33.79
1983-03-01,33.83
1983-04-01,32.74
1983-05-01,33.28
1983-06-01,34.08
1983-07-01,35.25
1983-08-01,35.86
1983-09-01,37.17
1983-10-01,35.32
1983-11-01,36.81
1983-12-01,38.92
1984-01-01,40.56
1984-02-01,41.83
1984-03-01,41.25
1984-04-01,40.99
1984-05-01,39.57
1984-06-01,39.68
1984-07-01,40.45
1984-08-01,38.77
1984-09-01,39.07
1984-10-01,37.94
1984-11-01,38.19
1984-12-01,37.32
1985-01-01,38.01
1985-02-01,38.41
1985-03-01,38.27
1985-04-01,38.12
1985-05-01,37.1
1985-06-01,37.9
1985-07-01,37.57
1985-08-01,37.76
1985-09-01,38.01
1985-10-01,37.32
1985-11-01,38.41
1985-12-01,39.25
1986-01-01,38.19
1986-02-01,38.41
1986-03-01,38.56
1986-04-01,37.79
1986-05-01,38.59
1986-06-01,39.94
1986-07-01,44.34
1986-08-01,48.12
1986-09-01,45.65
1986-10-01,45.43
1986-11-01,44.74
1986-12-01,44.01
1987-01-01,43.47
1987-02-01,43.18
1987-03-01,41.9
1987-04-01,41.14
1987-05-01,41.07
1987-06-01,40.59
