Date,貿易収支／ネット(兆円)
1996-01-01,0.2647
1996-02-01,0.8521
1996-03-01,1.3175
1996-04-01,0.5276
1996-05-01,0.4061
1996-06-01,0.9006
1996-07-01,0.6821
1996-08-01,0.5445
1996-09-01,0.995
1996-10-01,0.6795
1996-11-01,0.847
1996-12-01,1.0177
1997-01-01,0.2464
1997-02-01,0.8703
1997-03-01,1.0432
1997-04-01,1.0107
1997-05-01,0.9139
1997-06-01,1.0746
1997-07-01,1.0458
1997-08-01,0.9247
1997-09-01,1.2877
1997-10-01,1.2969
1997-11-01,1.2498
1997-12-01,1.407
1998-01-01,0.572
1998-02-01,1.4739
1998-03-01,1.4351
1998-04-01,1.37
1998-05-01,1.4117
1998-06-01,1.3469
1998-07-01,1.4895
1998-08-01,1.1228
1998-09-01,1.7201
1998-10-01,1.5242
1998-11-01,1.0539
1998-12-01,1.5581
1999-01-01,0.9394
1999-02-01,1.0981
1999-03-01,1.4618
1999-04-01,1.1808
1999-05-01,0.9549
1999-06-01,1.3081
1999-07-01,1.3914
1999-08-01,0.8662
1999-09-01,1.5436
1999-10-01,1.3273
1999-11-01,0.8077
1999-12-01,1.2577
2000-01-01,0.6621
2000-02-01,1.2957
2000-03-01,1.2937
2000-04-01,1.3086
2000-05-01,0.7259
2000-06-01,1.3196
2000-07-01,1.169
2000-08-01,0.7988
2000-09-01,1.4831
2000-10-01,0.8753
2000-11-01,0.7846
2000-12-01,0.982
2001-01-01,0.0989
2001-02-01,1.0485
2001-03-01,1.1284
2001-04-01,0.888
2001-05-01,0.2786
2001-06-01,0.9211
2001-07-01,0.59
2001-08-01,0.5237
2001-09-01,1.2275
2001-10-01,0.6551
2001-11-01,0.6714
2001-12-01,0.8155
2002-01-01,0.3725
2002-02-01,0.9452
2002-03-01,1.467
2002-04-01,1.032
2002-05-01,0.7846
2002-06-01,1.3755
2002-07-01,0.9216
2002-08-01,0.8268
2002-09-01,1.2382
2002-10-01,1.0984
2002-11-01,1.0744
2002-12-01,0.9848
2003-01-01,0.3157
2003-02-01,1.1016
2003-03-01,1.1706
2003-04-01,1.021
2003-05-01,0.8356
2003-06-01,0.9892
2003-07-01,0.9928
2003-08-01,0.9816
2003-09-01,1.3173
2003-10-01,1.278
2003-11-01,1.1658
2003-12-01,1.294
2004-01-01,0.6921
2004-02-01,1.567
2004-03-01,1.3711
2004-04-01,1.2913
2004-05-01,1.1434
2004-06-01,1.3221
2004-07-01,1.3536
2004-08-01,0.8022
2004-09-01,1.4687
2004-10-01,1.3764
2004-11-01,0.7449
2004-12-01,1.291
2005-01-01,0.4494
2005-02-01,1.3176
2005-03-01,1.3035
2005-04-01,1.2325
2005-05-01,0.5322
2005-06-01,1.0774
2005-07-01,1.1361
2005-08-01,0.3763
2005-09-01,1.2591
2005-10-01,1.0754
2005-11-01,0.8309
2005-12-01,1.181
2006-01-01,-0.0616
2006-02-01,1.1934
2006-03-01,1.2351
2006-04-01,0.8957
2006-05-01,0.6055
2006-06-01,0.982
2006-07-01,1.0592
2006-08-01,0.4658
2006-09-01,1.2801
2006-10-01,0.9021
2006-11-01,1.1723
2006-12-01,1.3405
2007-01-01,0.2609
2007-02-01,1.2493
2007-03-01,1.9043
2007-04-01,1.1765
2007-05-01,0.6763
2007-06-01,1.4815
2007-07-01,0.9464
2007-08-01,1.0479
2007-09-01,1.9445
2007-10-01,1.3099
2007-11-01,1.0587
2007-12-01,1.1313
2008-01-01,0.2391
2008-02-01,1.2771
2008-03-01,1.3973
2008-04-01,0.7348
2008-05-01,0.6013
2008-06-01,0.3725
2008-07-01,0.4518
2008-08-01,0.0073
2008-09-01,0.4874
2008-10-01,0.2784
2008-11-01,0.0467
2008-12-01,-0.0906
2009-01-01,-0.7187
2009-02-01,0.2749
2009-03-01,0.2225
2009-04-01,0.2688
2009-05-01,0.5087
2009-06-01,0.7046
2009-07-01,0.5342
2009-08-01,0.4286
2009-09-01,0.7457
2009-10-01,1.0576
2009-11-01,0.6093
2009-12-01,0.7514
2010-01-01,0.2994
2010-02-01,0.902
2010-03-01,1.2147
2010-04-01,0.9927
2010-05-01,0.5255
2010-06-01,0.9012
2010-07-01,1.0115
2010-08-01,0.3102
2010-09-01,1.0483
2010-10-01,1.0235
2010-11-01,0.3924
2010-12-01,0.8946
2011-01-01,-0.2537
2011-02-01,0.8277
2011-03-01,0.3594
2011-04-01,-0.3065
2011-05-01,-0.6753
2011-06-01,0.2153
2011-07-01,0.2361
2011-08-01,-0.5713
2011-09-01,0.4986
2011-10-01,-0.1039
2011-11-01,-0.5007
2011-12-01,-0.0559
2012-01-01,-1.2663
2012-02-01,0.1874
2012-03-01,0.1328
2012-04-01,-0.3152
2012-05-01,-0.6806
2012-06-01,0.2128
2012-07-01,-0.2584
2012-08-01,-0.5144
2012-09-01,-0.3281
2012-10-01,-0.2966
2012-11-01,-0.7128
2012-12-01,-0.4325
2013-01-01,-1.307
2013-02-01,-0.5407
2013-03-01,-0.0738
2013-04-01,-0.7082
2013-05-01,-0.8138
2013-06-01,0.0165
2013-07-01,-0.7902
2013-08-01,-0.7426
2013-09-01,-0.7135
2013-10-01,-0.9221
2013-11-01,-1.1048
2013-12-01,-1.0733
2014-01-01,-2.4169
2014-02-01,-0.5729
2014-03-01,-1.177
2014-04-01,-0.7896
2014-05-01,-0.6987
2014-06-01,-0.5463
2014-07-01,-0.8582
2014-08-01,-0.8526
2014-09-01,-0.7112
2014-10-01,-0.7649
2014-11-01,-0.6312
2014-12-01,-0.3821
2015-01-01,-0.8566
2015-02-01,-0.146
2015-03-01,0.6714
2015-04-01,-0.1354
2015-05-01,-0.048
2015-06-01,0.1156
2015-07-01,-0.108
2015-08-01,-0.3261
