Date,Coffee、 Other Mild Arabicas、 International Coffee Organization New York cash price、 ex-dock New York、 US cents per pound
1980-01-01,168.67
1980-02-01,164.83
1980-03-01,184.38
1980-04-01,180.81
1980-05-01,190.54
1980-06-01,181.41
1980-07-01,155.67
1980-08-01,135.99
1980-09-01,125.88
1980-10-01,126.09
1980-11-01,114.86
1980-12-01,121.21
1981-01-01,127.98
1981-02-01,125.11
1981-03-01,125.93
1981-04-01,128.2
1981-05-01,125.93
1981-06-01,111.94
1981-07-01,120.01
1981-08-01,124.09
1981-09-01,126.02
1981-10-01,136.41
1981-11-01,143.79
1981-12-01,141.67
1982-01-01,143.9
1982-02-01,155
1982-03-01,144.83
1982-04-01,141.4
1982-05-01,137
1982-06-01,141.02
1982-07-01,131.11
1982-08-01,132.83
1982-09-01,136.73
1982-10-01,141.18
1982-11-01,137.86
1982-12-01,133.79
1983-01-01,128.53
1983-02-01,125.87
1983-03-01,124.27
1983-04-01,123.96
1983-05-01,128.15
1983-06-01,126.4
1983-07-01,127.86
1983-08-01,129.31
1983-09-01,132.56
1983-10-01,141.28
1983-11-01,145.55
1983-12-01,146.54
1984-01-01,143.14
1984-02-01,145.72
1984-03-01,148.21
1984-04-01,150.4
1984-05-01,149.94
1984-06-01,146.66
1984-07-01,143.37
1984-08-01,145.29
1984-09-01,140.24
1984-10-01,136.12
1984-11-01,140.25
1984-12-01,140.64
1985-01-01,145.58
1985-02-01,143.73
1985-03-01,141.27
1985-04-01,140.66
1985-05-01,141.94
1985-06-01,141.16
1985-07-01,134.31
1985-08-01,132.93
1985-09-01,133.07
1985-10-01,140.48
1985-11-01,154.85
1985-12-01,196.77
1986-01-01,235.3
1986-02-01,226.52
1986-03-01,237.62
1986-04-01,224.07
1986-05-01,208.74
1986-06-01,174.54
1986-07-01,170.63
1986-08-01,172.23
1986-09-01,198.36
1986-10-01,175.91
1986-11-01,154.63
1986-12-01,134.31
1987-01-01,121.75
1987-02-01,119.6
1987-03-01,102.04
1987-04-01,106.3
1987-05-01,116.38
1987-06-01,103.72
1987-07-01,98.56
1987-08-01,100.9
1987-09-01,110
1987-10-01,118.26
1987-11-01,124.77
1987-12-01,125.22
1988-01-01,126.38
1988-02-01,137.14
1988-03-01,134.74
1988-04-01,134.3
1988-05-01,136.39
1988-06-01,141.83
1988-07-01,139.24
1988-08-01,128.89
1988-09-01,134.83
1988-10-01,130.43
1988-11-01,132.09
1988-12-01,144.95
1989-01-01,149.5
1989-02-01,137.57
1989-03-01,139.38
1989-04-01,143.06
1989-05-01,138.65
1989-06-01,123.21
1989-07-01,85.91
1989-08-01,77.4
1989-09-01,77.84
1989-10-01,67.76
1989-11-01,70.72
1989-12-01,72.55
1990-01-01,75.83
1990-02-01,84.01
1990-03-01,93.96
1990-04-01,93.73
1990-05-01,92.02
1990-06-01,88.26
1990-07-01,86.48
1990-08-01,94.42
1990-09-01,94.92
1990-10-01,91.41
1990-11-01,84.84
1990-12-01,89.89
1991-01-01,86.32
1991-02-01,89.57
1991-03-01,93.72
1991-04-01,92.27
1991-05-01,87.59
1991-06-01,85.5
1991-07-01,82.81
1991-08-01,81.62
1991-09-01,87.45
1991-10-01,79.86
1991-11-01,78.52
1991-12-01,75.1
1992-01-01,72.99
1992-02-01,67.88
1992-03-01,70.14
1992-04-01,65.43
1992-05-01,60.26
1992-06-01,58.38
1992-07-01,57.68
1992-08-01,52.42
1992-09-01,52.73
1992-10-01,61.4
1992-11-01,67.13
1992-12-01,77.46
1993-01-01,68.66
1993-02-01,67.46
1993-03-01,62.77
1993-04-01,56.88
1993-05-01,61.48
1993-06-01,61.99
1993-07-01,71.56
1993-08-01,76.56
1993-09-01,79.82
1993-10-01,75.05
1993-11-01,77.07
1993-12-01,80
1994-01-01,77.21
1994-02-01,82.16
1994-03-01,85.57
1994-04-01,89.23
1994-05-01,121.98
1994-06-01,142.56
1994-07-01,217.67
1994-08-01,198.07
1994-09-01,220.1
1994-10-01,198.68
1994-11-01,181.64
1994-12-01,167.47
1995-01-01,172.33
1995-02-01,168.71
1995-03-01,178.22
1995-04-01,172.81
1995-05-01,168.83
1995-06-01,152.25
1995-07-01,143.83
1995-08-01,151.41
1995-09-01,131.87
