Date,All Commodity Price Index、 2005 = 100、 includes both Fuel and Non-Fuel Price Indices
1992-01-01,52.56
1992-02-01,52.69
1992-03-01,52.42
1992-04-01,53.97
1992-05-01,55.3
1992-06-01,56.34
1992-07-01,56.48
1992-08-01,56.55
1992-09-01,57.45
1992-10-01,56.07
1992-11-01,54.1
1992-12-01,53.02
1993-01-01,52.54
1993-02-01,53.44
1993-03-01,53.96
1993-04-01,54.37
1993-05-01,54.5
1993-06-01,53.14
1993-07-01,52.72
1993-08-01,52.28
1993-09-01,51.26
1993-10-01,51.52
1993-11-01,50.19
1993-12-01,49.01
1994-01-01,50.06
1994-02-01,50.41
1994-03-01,50.26
1994-04-01,52.32
1994-05-01,54.58
1994-06-01,56.32
1994-07-01,57.6
1994-08-01,56.31
1994-09-01,56.38
1994-10-01,56.62
1994-11-01,57.59
1994-12-01,57.14
1995-01-01,58.57
1995-02-01,59.03
1995-03-01,59.55
1995-04-01,61.07
1995-05-01,60.42
1995-06-01,59.76
1995-07-01,58.7
1995-08-01,58.54
1995-09-01,58.35
1995-10-01,57.66
1995-11-01,58.11
1995-12-01,58.96
1996-01-01,58.86
1996-02-01,59.53
1996-03-01,61.32
1996-04-01,63.89
1996-05-01,63.04
1996-06-01,60.96
1996-07-01,61.54
1996-08-01,62.17
1996-09-01,62.7
1996-10-01,63.53
1996-11-01,62.67
1996-12-01,64.01
1997-01-01,64.62
1997-02-01,61.91
1997-03-01,61.32
1997-04-01,59.48
1997-05-01,61.41
1997-06-01,58.43
1997-07-01,58.22
1997-08-01,58.54
1997-09-01,58.03
1997-10-01,58.86
1997-11-01,57.8
1997-12-01,54.45
1998-01-01,51
1998-02-01,50.5
1998-03-01,49.34
1998-04-01,49.72
1998-05-01,50.15
1998-06-01,47.96
1998-07-01,47.32
1998-08-01,45.99
1998-09-01,46.96
1998-10-01,45.89
1998-11-01,44.49
1998-12-01,42.24
1999-01-01,43.31
1999-02-01,41.91
1999-03-01,43.84
1999-04-01,46.76
1999-05-01,47.55
1999-06-01,47.31
1999-07-01,49.68
1999-08-01,52.17
1999-09-01,55.1
1999-10-01,55.16
1999-11-01,57.11
1999-12-01,58.22
2000-01-01,59.42
2000-02-01,61.68
2000-03-01,62.12
2000-04-01,58.28
2000-05-01,62.42
2000-06-01,64.53
2000-07-01,62.99
2000-08-01,63.89
2000-09-01,67.17
2000-10-01,66.17
2000-11-01,66.99
2000-12-01,61
2001-01-01,61.92
2001-02-01,62.54
2001-03-01,60.4
2001-04-01,61.2
2001-05-01,63.39
2001-06-01,62.4
2001-07-01,59.54
2001-08-01,59.79
2001-09-01,57.74
2001-10-01,52
2001-11-01,49.96
2001-12-01,49.39
2002-01-01,50.07
2002-02-01,51.26
2002-03-01,55.88
2002-04-01,57.56
2002-05-01,58.14
2002-06-01,57.61
2002-07-01,59.81
2002-08-01,60.38
2002-09-01,62.76
2002-10-01,62.49
2002-11-01,59.48
2002-12-01,62.59
2003-01-01,66.3
2003-02-01,69.19
2003-03-01,65.64
2003-04-01,60.6
2003-05-01,61.34
2003-06-01,62.91
2003-07-01,63.25
2003-08-01,64.86
2003-09-01,62.95
2003-10-01,66.33
2003-11-01,67.26
2003-12-01,69.08
2004-01-01,71.92
2004-02-01,72.96
2004-03-01,76.52
2004-04-01,77.04
2004-05-01,81.03
2004-06-01,79.08
2004-07-01,81.43
2004-08-01,84.59
2004-09-01,83.67
2004-10-01,89.29
2004-11-01,84.59
2004-12-01,81.68
2005-01-01,86.71
2005-02-01,88.96
2005-03-01,97.29
2005-04-01,96.61
2005-05-01,93.6
2005-06-01,99.94
2005-07-01,102.9
2005-08-01,109.09
2005-09-01,109.3
2005-10-01,106.77
2005-11-01,102.86
2005-12-01,105.97
2006-01-01,113.1
2006-02-01,111.74
2006-03-01,113.21
2006-04-01,123.14
2006-05-01,127.45
2006-06-01,125.81
2006-07-01,130.92
2006-08-01,130.35
2006-09-01,119.19
2006-10-01,116.03
2006-11-01,117.29
2006-12-01,120.91
2007-01-01,112.97
2007-02-01,118.47
2007-03-01,122.37
2007-04-01,128.91
2007-05-01,129.83
2007-06-01,132.85
2007-07-01,138.05
2007-08-01,132.92
2007-09-01,140.6
2007-10-01,147.67
2007-11-01,157.78
2007-12-01,156.8
2008-01-01,162.42
2008-02-01,171.14
2008-03-01,181.44
2008-04-01,189.51
2008-05-01,204.07
2008-06-01,215.69
2008-07-01,219.74
2008-08-01,195.66
2008-09-01,176.31
2008-10-01,139.22
2008-11-01,114.97
2008-12-01,98.3
2009-01-01,102.39
2009-02-01,98.16
2009-03-01,100.11
2009-04-01,104.14
2009-05-01,114.89
2009-06-01,128.22
2009-07-01,123.51
2009-08-01,132.91
2009-09-01,127.63
2009-10-01,134.88
2009-11-01,140.93
2009-12-01,140.91
2010-01-01,146.12
2010-02-01,142.43
2010-03-01,148.9
2010-04-01,158.01
2010-05-01,146.61
2010-06-01,143.49
2010-07-01,144.05
2010-08-01,148.45
2010-09-01,150.28
2010-10-01,159.55
2010-11-01,164.9
2010-12-01,174.9
2011-01-01,182.13
2011-02-01,190.04
2011-03-01,199.61
2011-04-01,210.09
2011-05-01,199.53
2011-06-01,196
2011-07-01,198.95
2011-08-01,190.51
2011-09-01,188.72
2011-10-01,182.87
2011-11-01,186.38
2011-12-01,184.04
2012-01-01,188.4
2012-02-01,195.87
2012-03-01,201.81
2012-04-01,197.53
2012-05-01,185.14
2012-06-01,169.95
2012-07-01,177.9
2012-08-01,185.46
2012-09-01,186.9
2012-10-01,183.11
2012-11-01,180.59
2012-12-01,182.48
2013-01-01,187.55
2013-02-01,190.65
2013-03-01,183.73
2013-04-01,179
2013-05-01,179.4
2013-06-01,179.16
2013-07-01,183.55
2013-08-01,185.66
2013-09-01,185.06
2013-10-01,182.36
2013-11-01,179.65
2013-12-01,184.27
2014-01-01,180.12
2014-02-01,183.26
2014-03-01,183.06
2014-04-01,184.65
2014-05-01,184.23
2014-06-01,185.15
2014-07-01,181.28
2014-08-01,175.15
2014-09-01,168.39
2014-10-01,157.48
2014-11-01,148.46
2014-12-01,130.83
2015-01-01,114.82
2015-02-01,120.89
2015-03-01,116.99
2015-04-01,119.5
2015-05-01,124.72
2015-06-01,122.61
2015-07-01,114.39
2015-08-01,103.58
2015-09-01,102.78
