Date,Soybeans、 U.S. soybeans、 Chicago Soybean futures contract (first contract forward) No. 2 yellow and par、 US＄ per metric ton
1980-01-01,238.77
1980-02-01,241.36
1980-03-01,227.08
1980-04-01,218.21
1980-05-01,225.9
1980-06-01,232.63
1980-07-01,273.72
1980-08-01,279.6
1980-09-01,303.3
1980-10-01,315.02
1980-11-01,334.91
1980-12-01,293.29
1981-01-01,283.48
1981-02-01,275.67
1981-03-01,272.48
1981-04-01,288.26
1981-05-01,278.22
1981-06-01,264.97
1981-07-01,268.12
1981-08-01,254.04
1981-09-01,242.81
1981-10-01,241.25
1981-11-01,236.54
1981-12-01,231
1982-01-01,233.97
1982-02-01,231.32
1982-03-01,227.14
1982-04-01,240.08
1982-05-01,241.68
1982-06-01,231.03
1982-07-01,226.39
1982-08-01,211.89
1982-09-01,200.07
1982-10-01,195.66
1982-11-01,207.85
1982-12-01,208.4
1983-01-01,214.44
1983-02-01,216.95
1983-03-01,219.08
1983-04-01,233.81
1983-05-01,228.38
1983-06-01,221.33
1983-07-01,242.28
1983-08-01,311.14
1983-09-01,329.05
1983-10-01,309.73
1983-11-01,299.93
1983-12-01,289.27
1984-01-01,276.04
1984-02-01,265.5
1984-03-01,286.61
1984-04-01,289.34
1984-05-01,312.24
1984-06-01,287.36
1984-07-01,245.17
1984-08-01,236.56
1984-09-01,222.96
1984-10-01,225.56
1984-11-01,225.67
1984-12-01,217.04
1985-01-01,215.75
1985-02-01,213.87
1985-03-01,216.24
1985-04-01,219.93
1985-05-01,211.76
1985-06-01,211.89
1985-07-01,203.63
1985-08-01,190.88
1985-09-01,188.95
1985-10-01,185.53
1985-11-01,185.62
1985-12-01,191.71
1986-01-01,196.92
1986-02-01,193.5
1986-03-01,196.46
1986-04-01,194.07
1986-05-01,196.07
1986-06-01,194.1
1986-07-01,193.64
1986-08-01,183.44
1986-09-01,177.77
1986-10-01,177.01
1986-11-01,183.67
1986-12-01,180.75
1987-01-01,182.22
1987-02-01,179.88
1987-03-01,179.95
1987-04-01,188.56
1987-05-01,203.21
1987-06-01,205.81
1987-07-01,198.6
1987-08-01,190.83
1987-09-01,192.76
1987-10-01,197.84
1987-11-01,207.46
1987-12-01,218.95
1988-01-01,227.47
1988-02-01,227.35
1988-03-01,230.8
1988-04-01,246.94
1988-05-01,269.86
1988-06-01,344.37
1988-07-01,322.14
1988-08-01,312.44
1988-09-01,311.82
1988-10-01,291.25
1988-11-01,281.53
1988-12-01,290.72
1989-01-01,292.76
1989-02-01,280.5
1989-03-01,286.01
1989-04-01,270.99
1989-05-01,264.12
1989-06-01,254.82
1989-07-01,251.01
1989-08-01,220.6
1989-09-01,213.55
1989-10-01,206.41
1989-11-01,211.62
1989-12-01,211.46
1990-01-01,209.83
1990-02-01,208.45
1990-03-01,218.28
1990-04-01,220.67
1990-05-01,228.32
1990-06-01,221.06
1990-07-01,222.46
1990-08-01,222.71
1990-09-01,226.92
1990-10-01,224.8
1990-11-01,211.85
1990-12-01,213.87
1991-01-01,207.51
1991-02-01,210.13
1991-03-01,213.32
1991-04-01,215.89
1991-05-01,210.65
1991-06-01,208.86
1991-07-01,199.1
1991-08-01,208.08
1991-09-01,216.24
1991-10-01,205.74
1991-11-01,205.67
1991-12-01,204.15
1992-01-01,208.61
1992-02-01,211.16
1992-03-01,216.14
1992-04-01,211.3
1992-05-01,220.37
1992-06-01,224.39
1992-07-01,208.1
1992-08-01,202.87
1992-09-01,202.89
1992-10-01,197.68
1992-11-01,205.21
1992-12-01,208.91
1993-01-01,212.33
1993-02-01,210.03
1993-03-01,214.12
1993-04-01,217.68
1993-05-01,221.49
1993-06-01,221.91
1993-07-01,258.84
1993-08-01,246.64
1993-09-01,236.06
1993-10-01,226.09
1993-11-01,243.93
1993-12-01,252.52
1994-01-01,255.6
1994-02-01,249.68
1994-03-01,250.55
1994-04-01,242.76
1994-05-01,250.23
1994-06-01,249.61
1994-07-01,223.24
1994-08-01,214.1
1994-09-01,207.88
1994-10-01,198.71
1994-11-01,205.39
