Date,Groundnuts (peanuts)、 40／50 (40 to 50 count per ounce)、 cif Argentina、 US＄ per metric ton
1980-01-01,980.08
1980-02-01,1000.38
1980-03-01,1009.4
1980-04-01,1015.04
1980-05-01,1035.34
1980-06-01,1043.23
1980-07-01,992.48
1980-08-01,1060.15
1980-09-01,1353.38
1980-10-01,1917.29
1980-11-01,2706.77
1980-12-01,2622.18
1981-01-01,2255.64
1981-02-01,1691.73
1981-03-01,1578.95
1981-04-01,1590.23
1981-05-01,1587.97
1981-06-01,1382.71
1981-07-01,1325.19
1981-08-01,1233.83
1981-09-01,1179.7
1981-10-01,1103.01
1981-11-01,1069.17
1981-12-01,1019.55
1982-01-01,1012.78
1982-02-01,978.95
1982-03-01,964.29
1982-04-01,945.11
1982-05-01,904.51
1982-06-01,868.42
1982-07-01,900
1982-08-01,868.42
1982-09-01,845.86
1982-10-01,959.77
1982-11-01,978.95
1982-12-01,972.18
1983-01-01,947.37
1983-02-01,924.81
1983-03-01,919.17
1983-04-01,942.86
1983-05-01,930.45
1983-06-01,937.22
1983-07-01,938.35
1983-08-01,1071.43
1983-09-01,1466.17
1983-10-01,1437.97
1983-11-01,1285.71
1983-12-01,1263.16
1984-01-01,1218.05
1984-02-01,1082.71
1984-03-01,1099.62
1984-04-01,1071.43
1984-05-01,1026.32
1984-06-01,1040.98
1984-07-01,947.37
1984-08-01,789.47
1984-09-01,710.53
1984-10-01,738.72
1984-11-01,812.03
1984-12-01,784.96
1985-01-01,769.17
1985-02-01,750
1985-03-01,766.92
1985-04-01,833.46
1985-05-01,866.17
1985-06-01,857.14
1985-07-01,750
1985-08-01,770
1985-09-01,770
1985-10-01,726.52
1985-11-01,720
1985-12-01,720
1986-01-01,665.22
1986-02-01,632
1986-03-01,616.19
1986-04-01,616.36
1986-05-01,722.73
1986-06-01,720.95
1986-07-01,841.74
1986-08-01,1119.29
1986-09-01,1108.64
1986-10-01,1299.13
1986-11-01,1066.25
1986-12-01,860
1987-01-01,780.45
1987-02-01,617.5
1987-03-01,566.14
1987-04-01,555.73
1987-05-01,565.71
1987-06-01,580
1987-07-01,580
1987-08-01,580
1987-09-01,580
1987-10-01,580
1987-11-01,580
1987-12-01,580
1988-01-01,614.29
1988-02-01,645.95
1988-03-01,645
1988-04-01,595
1988-05-01,595
1988-06-01,595
1988-07-01,744.76
1988-08-01,646.09
1988-09-01,650
1988-10-01,637.14
1988-11-01,636.82
1988-12-01,684.09
1989-01-01,752.95
1989-02-01,774.25
