Date,Soft Logs、 Average Export price from the U.S. for Douglas Fir、 US＄ per cubic meter
1980-01-01,84.39
1980-02-01,80.25
1980-03-01,80.25
1980-04-01,87.5
1980-05-01,87.5
1980-06-01,87.5
1980-07-01,93.71
1980-08-01,82.84
1980-09-01,73
1980-10-01,67.82
1980-11-01,71.97
1980-12-01,73
1981-01-01,70.41
1981-02-01,67.82
1981-03-01,69.38
1981-04-01,66.79
1981-05-01,68.34
1981-06-01,77.14
1981-07-01,73
1981-08-01,69.89
1981-09-01,69.38
1981-10-01,71.97
1981-11-01,80.77
1981-12-01,87.5
1982-01-01,96.82
1982-02-01,94.34
1982-03-01,95.55
1982-04-01,97.8
1982-05-01,91.92
1982-06-01,90.58
1982-07-01,88.32
1982-08-01,86.3
1982-09-01,85.26
1982-10-01,83.9
1982-11-01,81.21
1982-12-01,81.21
1983-01-01,78.52
1983-02-01,74.39
1983-03-01,73.37
1983-04-01,75.21
1983-05-01,84.86
1983-06-01,82.66
1983-07-01,79.58
1983-08-01,76.02
1983-09-01,78.17
1983-10-01,80.32
1983-11-01,78.6
1983-12-01,76.88
1984-01-01,77.52
1984-02-01,78.01
1984-03-01,74.62
1984-04-01,77.97
1984-05-01,77.46
1984-06-01,76.95
1984-07-01,74.97
1984-08-01,73.1
1984-09-01,72.91
1984-10-01,72.23
1984-11-01,55.87
1984-12-01,69.52
1985-01-01,71.14
1985-02-01,71.14
1985-03-01,71.14
1985-04-01,72.75
1985-05-01,72.75
1985-06-01,73.69
1985-07-01,72.14
1985-08-01,72.87
1985-09-01,71.13
1985-10-01,72.25
1985-11-01,75.29
1985-12-01,71.27
1986-01-01,70.26
1986-02-01,75
1986-03-01,74.63
1986-04-01,75.37
1986-05-01,74.18
1986-06-01,76.15
1986-07-01,75.18
1986-08-01,79.94
1986-09-01,75.17
1986-10-01,76.2
1986-11-01,74.94
1986-12-01,75.58
1987-01-01,78.23
1987-02-01,81.13
1987-03-01,77.23
1987-04-01,74.65
1987-05-01,78.28
1987-06-01,80.68
1987-07-01,84.73
1987-08-01,91.84
1987-09-01,101.33
1987-10-01,104.13
1987-11-01,109.29
1987-12-01,101.66
1988-01-01,100.39
1988-02-01,102.14
1988-03-01,105.87
1988-04-01,100.97
1988-05-01,107.09
1988-06-01,105.49
1988-07-01,100
1988-08-01,102.93
1988-09-01,101.15
1988-10-01,103.17
1988-11-01,108.58
1988-12-01,103.09
1989-01-01,104.35
1989-02-01,96.65
1989-03-01,108.2
1989-04-01,94.41
1989-05-01,104.73
1989-06-01,98.95
1989-07-01,104.89
1989-08-01,114.52
1989-09-01,110.22
1989-10-01,110.6
1989-11-01,107.32
1989-12-01,119.66
