Date,非労働力人口.男.季節調整値.万人
2013-02-01,1568
2013-03-01,1579
2013-04-01,1576
2013-05-01,1574
2013-06-01,1572
2013-07-01,1575
2013-08-01,1576
2013-09-01,1577
2013-10-01,1574
2013-11-01,1565
2013-12-01,1586
2014-01-01,1589
2014-02-01,1581
2014-03-01,1571
2014-04-01,1578
2014-05-01,1574
2014-06-01,1581
2014-07-01,1580
2014-08-01,1575
2014-09-01,1577
2014-10-01,1587
2014-11-01,1595
2014-12-01,1580
2015-01-01,1570
2015-02-01,1572
2015-03-01,1589
2015-04-01,1607
2015-05-01,1596
2015-06-01,1587
2015-07-01,1594
