Date,資金循環統計 - 負債・その他／家計／ストック(兆円)
1997-12-01,3.8877
1998-03-01,3.8554
1998-06-01,3.5609
1998-09-01,4.0284
1998-12-01,3.3984
1999-03-01,3.5293
1999-06-01,2.9504
1999-09-01,3.0812
1999-12-01,3.4347
2000-03-01,2.5441
2000-06-01,4.0241
2000-09-01,2.2872
2000-12-01,3.2196
2001-03-01,2.5304
2001-06-01,3.2566
2001-09-01,2.6315
2001-12-01,1.5855
2002-03-01,2.3895
2002-06-01,2.4996
2002-09-01,2.4896
2002-12-01,1.1945
2003-03-01,3.7336
2003-06-01,3.3007
2003-09-01,3.6221
2003-12-01,2.8955
2004-03-01,2.2476
2004-06-01,2.9931
2004-09-01,3.1425
2004-12-01,3.2822
2005-03-01,3.6648
2005-06-01,3.2366
2005-09-01,2.8448
2005-12-01,3.0858
2006-03-01,2.3628
2006-06-01,2.7098
2006-09-01,2.3517
2006-12-01,4.3039
2007-03-01,2.9357
2007-06-01,3.2998
2007-09-01,2.7177
2007-12-01,2.3946
2008-03-01,2.4536
2008-06-01,2.1443
2008-09-01,2.4882
2008-12-01,1.7049
2009-03-01,1.8782
2009-06-01,1.9476
2009-09-01,2.4669
2009-12-01,2.1259
2010-03-01,2.3829
2010-06-01,1.9867
2010-09-01,1.9482
2010-12-01,2.1553
2011-03-01,2.3729
2011-06-01,2.1086
2011-09-01,1.9621
2011-12-01,1.7845
2012-03-01,2.4653
2012-06-01,1.7018
2012-09-01,1.9623
2012-12-01,1.8609
2013-03-01,2.4884
2013-06-01,2.2625
2013-09-01,2.4801
2013-12-01,2.1221
2014-03-01,3.2949
2014-06-01,2.7687
2014-09-01,3.4237
2014-12-01,3.6824
2015-03-01,4.0565
2015-06-01,5.031
