Date,Palm oil、 Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA、 US＄ per metric ton
1980-01-01,547.05
1980-02-01,555.32
1980-03-01,518.13
1980-04-01,504.91
1980-05-01,482.6
1980-06-01,458.63
1980-07-01,450.37
1980-08-01,428.06
1980-09-01,420.62
1980-10-01,418.97
1980-11-01,483.42
1980-12-01,514
1981-01-01,516.48
1981-02-01,528.87
1981-03-01,512.35
1981-04-01,485.9
1981-05-01,494.99
1981-06-01,528.87
1981-07-01,495.82
1981-08-01,438.8
1981-09-01,420.62
1981-10-01,423.93
1981-11-01,413.18
1981-12-01,399.13
1982-01-01,414.84
1982-02-01,436.32
1982-03-01,418.97
1982-04-01,420.62
1982-05-01,422.27
1982-06-01,408.22
1982-07-01,347.9
1982-08-01,327.24
1982-09-01,314.02
1982-10-01,293.36
1982-11-01,299.14
1982-12-01,310.71
1983-01-01,307.41
1983-02-01,303.28
1983-03-01,311.54
1983-04-01,346.25
1983-05-01,356.99
1983-06-01,325.59
1983-07-01,351.21
1983-08-01,461.94
1983-09-01,533.01
1983-10-01,554.49
1983-11-01,546.23
1983-12-01,574.32
1984-01-01,723.07
1984-02-01,723.07
1984-03-01,698.28
1984-04-01,694.97
1984-05-01,785.87
1984-06-01,647.04
1984-07-01,479.29
1984-08-01,464.42
1984-09-01,504.91
1984-10-01,508.21
1984-11-01,509.04
1984-12-01,489.21
1985-01-01,481.77
1985-02-01,491.69
1985-03-01,537.14
1985-04-01,539.62
1985-05-01,504.08
1985-06-01,459.46
1985-07-01,402.44
1985-08-01,333.85
1985-09-01,301.62
1985-10-01,294.19
1985-11-01,299.14
1985-12-01,322.28
1986-01-01,282.62
1986-02-01,233.86
1986-03-01,200.81
1986-04-01,199.98
1986-05-01,196.67
1986-06-01,200.81
1986-07-01,182.63
1986-08-01,162.79
1986-09-01,171.06
1986-10-01,224.77
1986-11-01,250.39
1986-12-01,242.13
1987-01-01,289.23
1987-02-01,272.7
1987-03-01,258.65
1987-04-01,280.14
1987-05-01,281.79
1987-06-01,282.62
1987-07-01,247.08
1987-08-01,254.52
1987-09-01,276.83
1987-10-01,291.71
1987-11-01,304.1
1987-12-01,356.99
1988-01-01,401.61
1988-02-01,333.03
1988-03-01,314.85
1988-04-01,333.03
1988-05-01,348.73
1988-06-01,409.88
1988-07-01,427.23
1988-08-01,371.86
1988-09-01,353.68
1988-10-01,356.16
1988-11-01,345.42
1988-12-01,339.64
1989-01-01,316.5
1989-02-01,331.37
1989-03-01,329.72
1989-04-01,323.11
1989-05-01,335.5
1989-06-01,308.23
1989-07-01,273.53
1989-08-01,255.35
1989-09-01,266.92
1989-10-01,265.26
1989-11-01,248.74
1989-12-01,220.64
1990-01-01,230.56
1990-02-01,223.95
1990-03-01,236.34
1990-04-01,220.64
1990-05-01,232.21
1990-06-01,224.77
1990-07-01,230.56
1990-08-01,240.47
1990-09-01,234.69
1990-10-01,239.65
1990-11-01,274.35
1990-12-01,285.92
1991-01-01,288.4
1991-02-01,279.31
1991-03-01,287.58
1991-04-01,263.61
1991-05-01,262.78
1991-06-01,257
1991-07-01,281.79
1991-08-01,279.31
1991-09-01,266.92
1991-10-01,285.1
1991-11-01,299.14
1991-12-01,310.71
1992-01-01,316.5
1992-02-01,315.67
1992-03-01,327.24
1992-04-01,333.03
1992-05-01,323.94
1992-06-01,333.85
1992-07-01,315.67
1992-08-01,315.67
1992-09-01,323.32
1992-10-01,326.41
1992-11-01,341.29
1992-12-01,331.37
1993-01-01,338.81
1993-02-01,351.21
1993-03-01,337.16
1993-04-01,323.94
1993-05-01,305.76
1993-06-01,294.19
1993-07-01,299.14
1993-08-01,294.19
1993-09-01,290.88
1993-10-01,275.18
1993-11-01,297.7
1993-12-01,337.57
1994-01-01,334.68
1994-02-01,319.8
1994-03-01,326.41
1994-04-01,358.64
1994-05-01,403.27
1994-06-01,419.79
1994-07-01,419.79
1994-08-01,472.52
1994-09-01,507.39
1994-10-01,510.69
1994-11-01,584.24
1994-12-01,590.02
1995-01-01,541.27
1995-02-01,546.23
1995-03-01,567.71
1995-04-01,511.39
1995-05-01,491.14
1995-06-01,521.99
1995-07-01,563.41
1995-08-01,540.41
1995-09-01,524.82
1995-10-01,553.62
1995-11-01,549.55
1995-12-01,539.94
1996-01-01,482.3
1996-02-01,483.42
1996-03-01,462.98
1996-04-01,494.92
1996-05-01,503.07
1996-06-01,446.58
1996-07-01,418.14
1996-08-01,449.59
1996-09-01,468.69
1996-10-01,448.41
1996-11-01,466.77
1996-12-01,480.96
1997-01-01,522.67
1997-02-01,532.26
1997-03-01,508.01
1997-04-01,509.47
1997-05-01,508.57
1997-06-01,471.65
1997-07-01,445.03
1997-08-01,444.55
1997-09-01,460.63
1997-10-01,490.54
1997-11-01,493.09
1997-12-01,498.67
1998-01-01,548.63
1998-02-01,595.77
1998-03-01,599.87
1998-04-01,628.88
1998-05-01,643.72
1998-06-01,583.24
1998-07-01,583.59
1998-08-01,589.9
1998-09-01,626.84
1998-10-01,613.46
1998-11-01,616.53
1998-12-01,579.74
1999-01-01,560.56
1999-02-01,484.72
1999-03-01,428.77
1999-04-01,439.74
1999-05-01,398.46
1999-06-01,330.79
1999-07-01,279.58
1999-08-01,308.27
1999-09-01,342.4
1999-10-01,326.07
1999-11-01,315.97
1999-12-01,312
2000-01-01,301.79
2000-02-01,277.58
2000-03-01,294.39
2000-04-01,318.14
2000-05-01,283.17
2000-06-01,272.23
2000-07-01,266.54
2000-08-01,257.15
2000-09-01,239.79
2000-10-01,208.46
2000-11-01,215.31
2000-12-01,199.18
2001-01-01,191.79
2001-02-01,185.07
2001-03-01,210.9
2001-04-01,208.96
2001-05-01,194.01
2001-06-01,209.17
2001-07-01,279.63
2001-08-01,312.62
2001-09-01,259.56
2001-10-01,232.09
