Date,Soybean Meal、 Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein、 US＄ per metric ton
1980-01-01,201.76
1980-02-01,198.26
1980-03-01,186.1
1980-04-01,181.2
1980-05-01,187.39
1980-06-01,190.06
1980-07-01,222.68
1980-08-01,234.48
1980-09-01,263.76
1980-10-01,282.83
1980-11-01,302.67
1980-12-01,256.99
1981-01-01,247.5
1981-02-01,237.85
1981-03-01,231.44
1981-04-01,247.47
1981-05-01,242.25
1981-06-01,227.14
1981-07-01,227.5
1981-08-01,217.47
1981-09-01,207.34
1981-10-01,204.81
1981-11-01,206.33
1981-12-01,205.81
1982-01-01,210.05
1982-02-01,206.98
1982-03-01,201.39
1982-04-01,209.28
1982-05-01,209.44
1982-06-01,201.23
1982-07-01,197.39
1982-08-01,183.99
1982-09-01,172.74
1982-10-01,170.91
1982-11-01,190.02
1982-12-01,191.79
1983-01-01,197.52
1983-02-01,195.09
1983-03-01,195.72
1983-04-01,208
1983-05-01,200.04
1983-06-01,192.57
1983-07-01,208.92
1983-08-01,261.29
1983-09-01,260.96
1983-10-01,254.88
1983-11-01,255.7
1983-12-01,241.31
1984-01-01,222.17
1984-02-01,210
1984-03-01,222.01
1984-04-01,215.33
1984-05-01,213.44
1984-06-01,202.81
1984-07-01,181.09
1984-08-01,171.21
1984-09-01,162.89
1984-10-01,165.43
1984-11-01,167.97
1984-12-01,160.01
1985-01-01,155.56
1985-02-01,145.89
1985-03-01,145.84
1985-04-01,141.53
1985-05-01,133.49
1985-06-01,134.22
1985-07-01,137.34
1985-08-01,135.87
1985-09-01,142.61
1985-10-01,154.5
1985-11-01,158.31
1985-12-01,159.79
1986-01-01,168.55
1986-02-01,168.87
1986-03-01,175.93
1986-04-01,169.15
1986-05-01,165.23
1986-06-01,164.13
1986-07-01,167.45
1986-08-01,167.67
1986-09-01,168.41
1986-10-01,163.29
1986-11-01,165.29
1986-12-01,158.84
1987-01-01,159.03
1987-02-01,159
1987-03-01,155.27
1987-04-01,166.05
1987-05-01,184.11
1987-06-01,194.45
1987-07-01,186.47
1987-08-01,177.45
1987-09-01,189.72
1987-10-01,196.54
1987-11-01,218.22
1987-12-01,227.64
1988-01-01,206.32
1988-02-01,201.56
1988-03-01,208.33
1988-04-01,218.75
1988-05-01,245.04
1988-06-01,320.55
1988-07-01,292.11
1988-08-01,294.76
1988-09-01,295.28
1988-10-01,281.67
1988-11-01,277.51
1988-12-01,276.26
1989-01-01,280.23
1989-02-01,263.39
1989-03-01,264.55
1989-04-01,247.61
1989-05-01,238.93
1989-06-01,233.79
1989-07-01,236.36
1989-08-01,216.78
1989-09-01,216.57
1989-10-01,206.34
1989-11-01,203.73
1989-12-01,200.26
1990-01-01,191.31
1990-02-01,182.27
1990-03-01,184.33
1990-04-01,191.06
1990-05-01,199.97
1990-06-01,192.49
1990-07-01,193.97
1990-08-01,192.7
1990-09-01,198.24
1990-10-01,200.76
1990-11-01,192.01
1990-12-01,189.54
1991-01-01,180.4
1991-02-01,183.51
1991-03-01,184.07
1991-04-01,190.37
1991-05-01,189.32
1991-06-01,190.08
1991-07-01,184.68
1991-08-01,199.19
1991-09-01,212.96
1991-10-01,203.19
1991-11-01,198.68
1991-12-01,191.53
1992-01-01,193.36
1992-02-01,192.56
1992-03-01,194.94
1992-04-01,192.28
1992-05-01,199.53
1992-06-01,201.3
1992-07-01,192.64
1992-08-01,190.18
1992-09-01,194.99
1992-10-01,199.87
1992-11-01,199.12
1992-12-01,204.84
1993-01-01,203.32
1993-02-01,195.97
1993-03-01,199.39
1993-04-01,204.27
1993-05-01,211.56
1993-06-01,210.53
1993-07-01,250.73
1993-08-01,239.49
1993-09-01,219.99
1993-10-01,211.49
1993-11-01,227.76
1993-12-01,223.82
1994-01-01,217.13
1994-02-01,215.25
1994-03-01,213.48
1994-04-01,207.52
1994-05-01,210.81
1994-06-01,216.99
1994-07-01,199.92
1994-08-01,192.5
1994-09-01,186.32
1994-10-01,179.34
1994-11-01,175.45
1994-12-01,173.45
1995-01-01,172.51
1995-02-01,170.29
1995-03-01,177.2
1995-04-01,184.07
1995-05-01,185.63
1995-06-01,189.85
1995-07-01,199.36
1995-08-01,194.64
1995-09-01,209.81
1995-10-01,219.23
1995-11-01,230.54
1995-12-01,249.43
1996-01-01,258.36
1996-02-01,253.71
1996-03-01,251.4
1996-04-01,274.4
1996-05-01,271.62
1996-06-01,264.25
1996-07-01,272.55
1996-08-01,281.53
1996-09-01,294.05
1996-10-01,260.9
1996-11-01,255.55
1996-12-01,258.24
1997-01-01,260.66
1997-02-01,273.45
1997-03-01,301.17
1997-04-01,309.33
1997-05-01,324.99
1997-06-01,300.66
1997-07-01,284.33
1997-08-01,279.81
1997-09-01,277.95
1997-10-01,245.04
1997-11-01,259.68
1997-12-01,241.42
1998-01-01,217.84
1998-02-01,207.11
1998-03-01,188.89
1998-04-01,176.48
1998-05-01,171.4
1998-06-01,178.42
1998-07-01,188.04
1998-08-01,152.85
1998-09-01,143.22
1998-10-01,151.25
1998-11-01,160.32
1998-12-01,160.9
1999-01-01,150.15
1999-02-01,143.06
1999-03-01,144.45
1999-04-01,146.51
1999-05-01,145.24
1999-06-01,150.37
1999-07-01,143.26
1999-08-01,154.13
1999-09-01,161.68
1999-10-01,166.01
1999-11-01,164.45
1999-12-01,161.5
2000-01-01,172.43
2000-02-01,180.47
2000-03-01,185.63
2000-04-01,187.86
2000-05-01,200.98
2000-06-01,191.49
2000-07-01,175.93
2000-08-01,171.07
2000-09-01,188.03
2000-10-01,186
2000-11-01,194.33
2000-12-01,211.81
2001-01-01,197.59
2001-02-01,178.71
2001-03-01,169.52
2001-04-01,169.02
2001-05-01,178.07
2001-06-01,185.04
2001-07-01,194.23
2001-08-01,189.1
2001-09-01,183.94
2001-10-01,177.63
2001-11-01,177.99
2001-12-01,166.5
2002-01-01,169.58
2002-02-01,165.45
2002-03-01,174.29
2002-04-01,175.93
2002-05-01,179.9
2002-06-01,185.83
2002-07-01,204.24
2002-08-01,201.12
2002-09-01,200.25
2002-10-01,185.35
2002-11-01,183.88
2002-12-01,181.98
2003-01-01,184.87
2003-02-01,192.42
2003-03-01,191.36
2003-04-01,200.26
2003-05-01,214.18
2003-06-01,210.61
2003-07-01,200.44
2003-08-01,199.3
2003-09-01,218.14
2003-10-01,245.71
2003-11-01,262.96
2003-12-01,255.64
2004-01-01,278.48
2004-02-01,286.39
2004-03-01,331.41
2004-04-01,343.71
2004-05-01,331.65
2004-06-01,311.68
2004-07-01,291.01
2004-08-01,212.15
2004-09-01,182.69
2004-10-01,171.44
2004-11-01,170.13
2004-12-01,175.72
2005-01-01,175.18
2005-02-01,178.55
2005-03-01,207.64
2005-04-01,210.27
2005-05-01,218.01
2005-06-01,241.22
2005-07-01,238.8
2005-08-01,217.6
2005-09-01,193.57
2005-10-01,186.58
2005-11-01,192.15
2005-12-01,209.58
2006-01-01,201.96
2006-02-01,198.43
2006-03-01,192.43
2006-04-01,190.55
2006-05-01,193.25
2006-06-01,196.26
2006-07-01,187.27
2006-08-01,175.91
2006-09-01,177.59
2006-10-01,194.12
2006-11-01,214.23
2006-12-01,205.69
2007-01-01,221.79
2007-02-01,244.1
2007-03-01,239.53
2007-04-01,221.75
2007-05-01,227.67
2007-06-01,249.16
2007-07-01,252.57
2007-08-01,251.83
2007-09-01,288.78
2007-10-01,300.43
2007-11-01,315.25
2007-12-01,351.22
2008-01-01,376.33
2008-02-01,396.71
2008-03-01,379.7
2008-04-01,375.32
2008-05-01,369.37
2008-06-01,436.91
2008-07-01,452.19
2008-08-01,388.4
2008-09-01,363.78
2008-10-01,290.84
2008-11-01,292.76
2008-12-01,292.94
2009-01-01,338.5
2009-02-01,320.89
2009-03-01,315.37
2009-04-01,349.57
2009-05-01,408.05
2009-06-01,441.78
2009-07-01,385.85
2009-08-01,397.3
2009-09-01,342.18
2009-10-01,328.54
2009-11-01,337.63
2009-12-01,345.58
2010-01-01,325.85
2010-02-01,303.66
2010-03-01,292.6
2010-04-01,308.05
2010-05-01,305.74
2010-06-01,314.32
2010-07-01,335.09
2010-08-01,339.14
2010-09-01,334.06
2010-10-01,353.75
2010-11-01,376.04
2010-12-01,387.51
2011-01-01,412.07
2011-02-01,410.16
2011-03-01,393.93
2011-04-01,388.22
2011-05-01,388.26
2011-06-01,391.54
2011-07-01,389.29
2011-08-01,393.8
2011-09-01,381.85
2011-10-01,347.45
2011-11-01,329.09
2011-12-01,320.68
2012-01-01,347.6
2012-02-01,364.49
2012-03-01,405.23
2012-04-01,440.62
2012-05-01,459.42
2012-06-01,464.02
2012-07-01,552.54
2012-08-01,585.75
2012-09-01,559.56
2012-10-01,519.91
2012-11-01,490.6
2012-12-01,489.69
2013-01-01,456.81
2013-02-01,469.16
2013-03-01,467.95
2013-04-01,446.36
2013-05-01,476.74
2013-06-01,503.56
2013-07-01,528.34
2013-08-01,470.99
2013-09-01,490.19
2013-10-01,460.83
2013-11-01,461.65
2013-12-01,495
2014-01-01,473.75
2014-02-01,499.36
2014-03-01,506.69
2014-04-01,533.63
2014-05-01,542.78
2014-06-01,519.27
2014-07-01,451.02
2014-08-01,447.82
2014-09-01,409.1
2014-10-01,378.82
2014-11-01,423.25
2014-12-01,418.09
2015-01-01,379.04
2015-02-01,374.25
2015-03-01,364.86
2015-04-01,349.71
2015-05-01,340.47
2015-06-01,353.9
2015-07-01,394.64
2015-08-01,370.41
2015-09-01,342.96
