Date,Food Price Index、 2005 = 100、 includes Cereal、 Vegetable Oils、 Meat、 Seafood、 Sugar、 Bananas、 and Oranges Price Indices
1991-01-01,104.99
1991-02-01,106.22
1991-03-01,104.89
1991-04-01,101.9
1991-05-01,98.06
1991-06-01,95.52
1991-07-01,92.77
1991-08-01,93.47
1991-09-01,95.55
1991-10-01,94.21
1991-11-01,95.5
1991-12-01,95.81
1992-01-01,96.07
1992-02-01,96.22
1992-03-01,95.55
1992-04-01,93.66
1992-05-01,95.61
1992-06-01,94.4
1992-07-01,96.66
1992-08-01,101.47
1992-09-01,103.26
1992-10-01,98.13
1992-11-01,95.06
1992-12-01,92.98
1993-01-01,94.5
1993-02-01,93.74
1993-03-01,95.2
1993-04-01,97.09
1993-05-01,98.58
1993-06-01,96.55
1993-07-01,98.43
1993-08-01,96.41
1993-09-01,95.12
1993-10-01,93.82
1993-11-01,94.86
1993-12-01,97.57
1994-01-01,99.09
1994-02-01,100.25
1994-03-01,99.42
1994-04-01,99.91
1994-05-01,100.51
1994-06-01,99.82
1994-07-01,97.51
1994-08-01,97.39
1994-09-01,99.36
1994-10-01,98.57
1994-11-01,96.81
1994-12-01,99.28
1995-01-01,98.66
1995-02-01,99.76
1995-03-01,100.7
1995-04-01,99.68
1995-05-01,100.27
1995-06-01,104.3
1995-07-01,107.91
1995-08-01,106.09
1995-09-01,106.57
1995-10-01,108.45
1995-11-01,106.12
1995-12-01,107.04
1996-01-01,109.25
1996-02-01,111.47
1996-03-01,111.94
1996-04-01,118.97
1996-05-01,121.68
1996-06-01,117.09
1996-07-01,115.91
1996-08-01,114.22
1996-09-01,106.21
1996-10-01,102.65
1996-11-01,103.17
1996-12-01,104
1997-01-01,106.5
1997-02-01,105.87
1997-03-01,107.07
1997-04-01,107.35
1997-05-01,106.51
1997-06-01,102.32
1997-07-01,100.55
1997-08-01,99.75
1997-09-01,98.58
1997-10-01,98.45
1997-11-01,99.06
1997-12-01,96.35
1998-01-01,94.49
1998-02-01,94.47
1998-03-01,93.95
1998-04-01,95.91
1998-05-01,96.89
1998-06-01,95.63
1998-07-01,92.94
1998-08-01,87.68
1998-09-01,86.08
1998-10-01,87.29
1998-11-01,87.4
1998-12-01,84.34
1999-01-01,85.81
1999-02-01,81.66
1999-03-01,79.83
1999-04-01,79.94
1999-05-01,80.22
1999-06-01,78.57
1999-07-01,75.65
1999-08-01,79.36
1999-09-01,79.82
1999-10-01,78.63
1999-11-01,78.11
1999-12-01,78.95
2000-01-01,81.06
2000-02-01,81.94
2000-03-01,81.85
2000-04-01,84.28
2000-05-01,84.83
2000-06-01,83.6
2000-07-01,81.14
2000-08-01,79.58
2000-09-01,78.31
2000-10-01,77.54
2000-11-01,77.53
2000-12-01,80.13
2001-01-01,80.05
2001-02-01,79.7
2001-03-01,81.25
2001-04-01,80.08
2001-05-01,82.26
2001-06-01,82.6
2001-07-01,85.82
2001-08-01,85.6
2001-09-01,81.95
2001-10-01,77.92
2001-11-01,77.68
2001-12-01,76.87
2002-01-01,77.5
2002-02-01,76.95
2002-03-01,78.64
2002-04-01,77.23
2002-05-01,79.25
2002-06-01,81.67
2002-07-01,85.48
2002-08-01,85.6
2002-09-01,87.16
2002-10-01,87.14
2002-11-01,85.99
2002-12-01,86.94
2003-01-01,87.45
2003-02-01,87.39
2003-03-01,86.25
2003-04-01,86.06
2003-05-01,88.21
2003-06-01,86.18
2003-07-01,83.12
2003-08-01,84.16
2003-09-01,87.83
2003-10-01,92.48
2003-11-01,94.61
2003-12-01,95.08
2004-01-01,98.41
2004-02-01,101.48
2004-03-01,107.17
2004-04-01,108.88
2004-05-01,109.1
2004-06-01,105.07
2004-07-01,102.25
2004-08-01,97.41
2004-09-01,95.78
2004-10-01,92.99
2004-11-01,93.56
2004-12-01,95.11
2005-01-01,95.53
2005-02-01,98.01
2005-03-01,102.44
2005-04-01,100.16
2005-05-01,100.97
2005-06-01,101.13
2005-07-01,101.47
2005-08-01,100.31
2005-09-01,100.03
2005-10-01,100.32
2005-11-01,98.46
2005-12-01,101.16
2006-01-01,101.61
2006-02-01,104.46
2006-03-01,105.34
2006-04-01,107.87
2006-05-01,114.95
2006-06-01,115.78
2006-07-01,114.56
2006-08-01,112.57
2006-09-01,108.14
2006-10-01,109.73
2006-11-01,113.23
2006-12-01,113.89
2007-01-01,114.2
2007-02-01,118.04
2007-03-01,117.65
2007-04-01,117.67
2007-05-01,119.35
2007-06-01,123.82
2007-07-01,125.51
2007-08-01,127.7
2007-09-01,133.78
2007-10-01,135.21
2007-11-01,138.34
2007-12-01,146.17
2008-01-01,153.28
2008-02-01,165.91
2008-03-01,172.77
2008-04-01,172.32
2008-05-01,173.77
2008-06-01,179.82
2008-07-01,178.97
2008-08-01,165.67
2008-09-01,154.45
2008-10-01,130.05
2008-11-01,122.5
2008-12-01,119.26
2009-01-01,127.28
2009-02-01,124.03
2009-03-01,125.55
2009-04-01,131.74
2009-05-01,141.99
2009-06-01,143.63
2009-07-01,137.75
2009-08-01,136.17
2009-09-01,131.89
2009-10-01,132.87
2009-11-01,137.31
2009-12-01,139.48
2010-01-01,138.79
2010-02-01,138.28
2010-03-01,139.61
2010-04-01,143.42
2010-05-01,141.55
2010-06-01,137.35
2010-07-01,144.62
2010-08-01,152.05
2010-09-01,156.8
2010-10-01,164.32
2010-11-01,166.38
2010-12-01,177.92
2011-01-01,184.63
2011-02-01,190.78
2011-03-01,185.77
2011-04-01,192.35
2011-05-01,188.42
2011-06-01,182.95
2011-07-01,181.35
2011-08-01,182.9
2011-09-01,176.13
2011-10-01,166.2
2011-11-01,164.97
2011-12-01,162.28
2012-01-01,164.28
2012-02-01,169.75
2012-03-01,174.15
2012-04-01,174.37
2012-05-01,170
2012-06-01,168.74
2012-07-01,184.33
2012-08-01,185.57
2012-09-01,181.73
2012-10-01,178.34
2012-11-01,177.14
2012-12-01,178.99
2013-01-01,180.89
2013-02-01,181.72
2013-03-01,180.56
2013-04-01,180.09
2013-05-01,184.72
2013-06-01,185.37
2013-07-01,183.58
2013-08-01,175
2013-09-01,168.3
2013-10-01,169.65
2013-11-01,168.12
2013-12-01,172.72
2014-01-01,171.04
2014-02-01,175.45
2014-03-01,182.96
2014-04-01,185.07
2014-05-01,182.27
2014-06-01,175.92
2014-07-01,172.61
2014-08-01,166.68
2014-09-01,158.02
2014-10-01,156.12
2014-11-01,158.38
2014-12-01,157.95
2015-01-01,153.35
2015-02-01,147.71
2015-03-01,143.93
2015-04-01,142.83
2015-05-01,141.78
2015-06-01,141.53
2015-07-01,143.87
2015-08-01,139.29
2015-09-01,133.32
