Date,資金循環統計 - 資産・貸出／家計／ストック(兆円)
1997-12-01,0.4992
1998-03-01,0.5055
1998-06-01,0.4839
1998-09-01,0.4908
1998-12-01,0.4556
1999-03-01,0.4527
1999-06-01,0.4436
1999-09-01,0.4089
1999-12-01,0.3844
2000-03-01,0.3804
2000-06-01,0.3806
2000-09-01,0.3601
2000-12-01,0.3319
2001-03-01,0.3262
2001-06-01,0.2919
2001-09-01,0.2792
2001-12-01,0.2214
2002-03-01,0.2194
2002-06-01,0.1828
2002-09-01,0.1746
2002-12-01,0.1297
2003-03-01,0.1494
2003-06-01,0.107
2003-09-01,0.0969
2003-12-01,0.0915
2004-03-01,0.08
2004-06-01,0.0758
2004-09-01,0.0714
2004-12-01,0.0692
2005-03-01,0.0383
2005-06-01,0.0343
2005-09-01,0.0316
2005-12-01,0.0295
2006-03-01,0.0314
2006-06-01,0.0315
2006-09-01,0.0278
2006-12-01,0.0261
2007-03-01,0.0287
2007-06-01,0.0241
2007-09-01,0.0271
2007-12-01,0.0244
2008-03-01,0.0246
2008-06-01,0.023
2008-09-01,0.0223
2008-12-01,0.0169
2009-03-01,0.0114
2009-06-01,0.01
2009-09-01,0.0094
2009-12-01,0.0083
2010-03-01,0.0075
2010-06-01,0.005
2010-09-01,0.0047
2010-12-01,0.0045
2011-03-01,0.0042
2011-06-01,0.004
2011-09-01,0.0037
2011-12-01,0.0036
2012-03-01,0.0033
2012-06-01,0.003
2012-09-01,0.0028
2012-12-01,0.0026
2013-03-01,0.0023
2013-06-01,0.0022
2013-09-01,0.0018
2013-12-01,0.0017
2014-03-01,0.0014
2014-06-01,0.0012
2014-09-01,0.001
2014-12-01,8e-04
2015-03-01,5e-04
2015-06-01,5e-04
