Date,全産業（除く金融保険業）
2008-03-01,16864821
2008-06-01,10867962
2008-09-01,12104159
2008-12-01,10769227
2009-03-01,12592244
2009-06-01,8511570
2009-09-01,9099857
2009-12-01,8900946
2010-03-01,11142921
2010-06-01,8364759
2010-09-01,9555010
2010-12-01,9241178
2011-03-01,11472346
2011-06-01,7714525
2011-09-01,8618326
2011-12-01,9944185
2012-03-01,11854506
2012-06-01,8309224
2012-09-01,8806228
2012-12-01,9076672
2013-03-01,11392844
2013-06-01,8310594
2013-09-01,8942404
2013-12-01,9439320
2014-03-01,12230655
2014-06-01,8561655
2014-09-01,9438274
2014-12-01,9707992
2015-03-01,13129381
2015-06-01,9038518
