Date,DCOILWTICO,MaxDate,Max,MinDate,Min
2005-06-01,7.27,2005-06-27,59.78,2005-06-08,52.51
2005-07-01,-4.51,2005-07-06,61.24,2005-07-20,56.73
2005-08-01,9.15,2005-08-30,69.91,2005-08-03,60.76
2005-09-01,-6.59,2005-09-01,69.5,2005-09-16,62.91
2005-10-01,-5.56,2005-10-03,65.36,2005-10-31,59.8
2005-11-01,-5.5,2005-11-03,61.7,2005-11-17,56.2
2005-12-01,-4.05,2005-12-12,61.36,2005-12-19,57.31
2006-01-01,5.55,2006-01-30,68.36,2006-01-05,62.81
2006-02-01,-9,2006-02-01,66.61,2006-02-15,57.61
2006-03-01,6.79,2006-03-30,66.7,2006-03-10,59.91
2006-04-01,7.98,2006-04-21,73.73,2006-04-04,65.75
2006-05-01,-6.18,2006-05-02,74.62,2006-05-19,68.44
2006-06-01,5.46,2006-06-30,73.94,2006-06-13,68.48
2006-07-01,-4.01,2006-07-14,76.8,2006-07-19,72.79
2006-08-01,-7.31,2006-08-07,77.05,2006-08-29,69.74
2006-09-01,-9.45,2006-09-01,69.24,2006-09-22,59.79
2006-10-01,-4.22,2006-10-02,60.96,2006-10-23,56.74
2006-11-01,7.07,2006-11-30,62.97,2006-11-17,55.9
2006-12-01,-3.12,2006-12-01,63.43,2006-12-27,60.31
2007-01-01,-10.26,2007-01-02,60.77,2007-01-18,50.51
2007-02-01,4.43,2007-02-28,61.78,2007-02-01,57.35
2007-03-01,9.69,2007-03-29,66.1,2007-03-20,56.41
2007-04-01,4.94,2007-04-27,66.45,2007-04-09,61.51
2007-05-01,4.77,2007-05-21,66.25,2007-05-07,61.48
2007-06-01,5.69,2007-06-29,70.47,2007-06-08,64.78
2007-07-01,7.09,2007-07-31,78.2,2007-07-02,71.11
2007-08-01,-7.54,2007-08-02,76.84,2007-08-22,69.3
2007-09-01,8.78,2007-09-20,83.85,2007-09-04,75.07
2007-10-01,15.19,2007-10-31,94.16,2007-10-08,78.97
2007-11-01,-10.56,2007-11-20,99.16,2007-11-30,88.6
2007-12-01,9.18,2007-12-27,96.63,2007-12-05,87.45
2008-01-01,-11.99,2008-01-02,99.64,2008-01-23,87.65
2008-02-01,15.44,2008-02-28,102.6,2008-02-06,87.16
2008-03-01,10.49,2008-03-13,110.21,2008-03-04,99.72
2008-04-01,18.72,2008-04-25,119.64,2008-04-01,100.92
2008-05-01,20.39,2008-05-21,132.99,2008-05-01,112.6
2008-06-01,17.66,2008-06-30,139.96,2008-06-04,122.3
2008-07-01,-23.1,2008-07-03,145.31,2008-07-29,122.21
2008-08-01,-12.11,2008-08-01,125.03,2008-08-18,112.92
2008-09-01,31.12,2008-09-22,122.61,2008-09-16,91.49
2008-10-01,-36.31,2008-10-01,98.23,2008-10-27,61.92
2008-11-01,-21.55,2008-11-04,70.41,2008-11-20,48.86
2008-12-01,-19.06,2008-12-01,49.34,2008-12-23,30.28
2009-01-01,-13.23,2009-01-05,48.61,2009-01-16,35.38
2009-02-01,10.12,2009-02-27,44.15,2009-02-12,34.03
2009-03-01,13.8,2009-03-26,53.87,2009-03-02,40.07
2009-04-01,-6.79,2009-04-02,52.61,2009-04-20,45.82
2009-05-01,14.13,2009-05-29,66.31,2009-05-01,52.18
2009-06-01,6.55,2009-06-11,72.69,2009-06-03,66.14
2009-07-01,-9.7,2009-07-01,69.32,2009-07-14,59.62
2009-08-01,6.96,2009-08-24,73.68,2009-08-17,66.72
2009-09-01,-6.76,2009-09-16,72.5,2009-09-24,65.74
2009-10-01,11.43,2009-10-21,81.03,2009-10-07,69.6
2009-11-01,-5.42,2009-11-04,80.3,2009-11-24,74.88
2009-12-01,9.91,2009-12-31,79.39,2009-12-14,69.48
2010-01-01,-10.27,2010-01-06,83.12,2010-01-29,72.85
2010-02-01,8.89,2010-02-22,80.04,2010-02-05,71.15
2010-03-01,4.74,2010-03-31,83.45,2010-03-01,78.71
2010-04-01,-5.02,2010-04-06,86.54,2010-04-19,81.52
2010-05-01,-21.41,2010-05-03,86.19,2010-05-25,64.78
2010-06-01,7.02,2010-06-25,78.45,2010-06-04,71.43
2010-07-01,7.05,2010-07-22,79.01,2010-07-06,71.96
2010-08-01,-11.28,2010-08-03,82.52,2010-08-24,71.24
2010-09-01,6.99,2010-09-30,79.95,2010-09-21,72.96
2010-10-01,-3.64,2010-10-06,83.21,2010-10-19,79.57
2010-11-01,-7.34,2010-11-10,87.77,2010-11-17,80.43
2010-12-01,4.73,2010-12-28,91.48,2010-12-01,86.75
2011-01-01,-7.4,2011-01-12,91.85,2011-01-27,84.45
2011-02-01,13.97,2011-02-28,97.1,2011-02-15,83.13
2011-03-01,8.96,2011-03-31,106.19,2011-03-15,97.23
2011-04-01,7.64,2011-04-29,113.39,2011-04-12,105.75
2011-05-01,-16.63,2011-05-02,113.03,2011-05-17,96.4
2011-06-01,-11.3,2011-06-09,101.95,2011-06-27,90.65
2011-07-01,4.8,2011-07-26,99.61,2011-07-01,94.81
2011-08-01,-15.66,2011-08-01,94.98,2011-08-09,79.32
2011-09-01,-11.28,2011-09-13,90.21,2011-09-30,78.93
2011-10-01,18.56,2011-10-27,93.96,2011-10-04,75.4
2011-11-01,10.4,2011-11-16,102.59,2011-11-01,92.19
2011-12-01,7.74,2011-12-27,101.29,2011-12-16,93.55
2012-01-01,-5.07,2012-01-04,103.22,2012-01-20,98.15
2012-02-01,13.03,2012-02-24,109.39,2012-02-02,96.36
2012-03-01,-5.97,2012-03-01,108.76,2012-03-29,102.79
2012-04-01,-4.13,2012-04-02,105.25,2012-04-10,101.12
2012-05-01,-19.65,2012-05-01,106.17,2012-05-31,86.52
2012-06-01,-7.33,2012-06-06,85.05,2012-06-28,77.72
2012-07-01,9.06,2012-07-19,92.78,2012-07-02,83.72
2012-08-01,9.67,2012-08-22,96.89,2012-08-02,87.22
2012-09-01,-9.02,2012-09-14,98.94,2012-09-26,89.92
2012-10-01,-7.05,2012-10-01,92.44,2012-10-24,85.39
2012-11-01,4.55,2012-11-19,89.05,2012-11-07,84.5
2012-12-01,6.69,2012-12-31,91.83,2012-12-10,85.14
2013-01-01,5.01,2013-01-30,97.98,2013-01-03,92.97
2013-02-01,-5.45,2013-02-12,97.48,2013-02-28,92.03
