date,HSI.Close.correlation
2015-02-27,0.574655331732144
2015-03-02,0.581088015332669
2015-03-03,0.522819191681026
2015-03-04,0.364832392438573
2015-03-05,0.0538616079078823
2015-03-06,-0.176862279694124
2015-03-09,-0.328424437616914
2015-03-10,-0.398305357903991
2015-03-11,-0.451866864026958
2015-03-12,-0.502695823477082
2015-03-13,-0.534707615012502
2015-03-16,-0.584753418569298
2015-03-17,-0.643808901307197
2015-03-18,-0.681296703982602
2015-03-19,-0.660790341493032
2015-03-20,-0.636701309523423
2015-03-23,-0.580935176768334
2015-03-24,-0.546928389914783
2015-03-25,-0.51107227700639
2015-03-26,-0.479430972802309
2015-03-27,-0.484296489219577
2015-03-30,-0.406283591385999
2015-03-31,-0.289381823402785
2015-04-01,-0.142826818168766
2015-04-02,0.024714283018746
2015-04-07,0.177780964268007
2015-04-08,0.36800886562692
2015-04-09,0.501245558914454
2015-04-10,0.601634199616925
2015-04-13,0.682980919221207
