Date,CHINA.Exports Quantum Index,CHINA.Imports Quantum Index,CHINA.Exports Quantum Index Percent Change,CHINA.Imports Quantum Index Percent Change
2009-01-01,49.9,93.8,-37.7,-7.4
2009-02-01,59.3,51.4,-34.6,-36
2009-03-01,76.3,81.8,-29.6,-15.9
2009-04-01,74.9,83.7,-26,-19.2
2009-05-01,75.4,71,-26.4,-25.7
2009-06-01,81.9,79.5,-18.1,-16.1
2009-07-01,87.2,88,-17.1,-12.3
2009-08-01,83.2,82.6,-14.9,-7
2009-09-01,88,93.5,-7.7,-7.6
2009-10-01,92.5,95,-6.7,-11.2
2009-11-01,86,96.8,10.3,1.2
2009-12-01,102.1,98.7,38,5
2010-01-01,84.2,93.6,68.7,-0.2
2010-02-01,83.3,83.1,40.5,61.6
2010-03-01,107.6,90.5,41,10.7
2010-04-01,102.5,102.8,36.8,22.8
2010-05-01,90.6,94,20.1,32.4
2010-06-01,100.3,100,22.5,25.9
2010-07-01,105.4,101.4,20.9,15.2
2010-08-01,96.7,101,16.2,22.2
2010-09-01,99.4,107.9,12.9,15.3
2010-10-01,108.8,102,17.6,7.3
2010-11-01,102.6,116.3,19.3,20.1
2010-12-01,118.9,108,16.4,9.5
2011-01-01,84.8,109.7,0.6,17.2
2011-02-01,107.3,80,28.9,-3.8
2011-03-01,107.6,111.8,0,23.5
2011-04-01,94.6,101.5,-7.7,-1.3
2011-05-01,83.2,101.2,-8.2,7.6
2011-06-01,98.7,105.9,-1.6,5.9
2011-07-01,102.2,104.6,-3.1,3.2
2011-08-01,97.8,113.8,1.1,12.8
2011-09-01,101.1,110.4,1.7,2.3
2011-10-01,97.3,113.5,-10.5,11.3
2011-11-01,91.4,115.4,-10.9,-0.8
2011-12-01,97.4,109.5,-18,1.4
2012-01-01,64.3,112,-24.1,2.1
2012-02-01,88.1,75.7,-17.9,-5.3
2012-03-01,98.6,108.4,-8.4,-3
2012-04-01,84,102.2,-11.3,0.7
2012-05-01,82.2,106.2,-1.2,5
2012-06-01,89.1,96.6,-9.6,-8.7
2012-07-01,84.9,104.3,-16.9,-0.3
2012-08-01,82.9,101.4,-15.2,-11
2012-09-01,80.5,106.6,-20.4,-3.4
2012-10-01,80.1,112.4,-17.6,-1
2012-11-01,71.8,114,-21.5,-1.2
2012-12-01,73.3,104,-24.8,-5
2013-01-01,59.9,108.2,-6.8,-3.4
2013-02-01,65.3,82.4,-25.8,8.8
2013-03-01,85.4,96.9,-13.4,-10.6
2013-04-01,75.9,104.2,-9.5,1.9
2013-05-01,79.8,103.7,-2.9,-2.3
2013-06-01,79.9,91.9,-10.4,-4.9
2013-07-01,83.9,104.8,-1.2,0.5
2013-08-01,82.4,100.5,-0.7,-0.8
2013-09-01,77.6,114.8,-3.6,7.6
2013-10-01,86,115.6,7.3,2.8
2013-11-01,86.1,116.7,20,2.4
2013-12-01,89.5,110,22.1,5.7
2014-01-01,62.8,126.2,4.9,16.6
2014-02-01,79.9,77.2,22.2,-6.3
2014-03-01,85.3,111.7,-0.1,15.3
2014-04-01,81.4,104.7,7.2,0.4
2014-05-01,76.9,97.2,-3.6,-6.3
2014-06-01,81.1,100.1,1.5,8.9
2014-07-01,83.1,99.3,-1,-5.3
2014-08-01,81.2,91.7,-1.4,-8.8
2014-09-01,80.5,114,3.7,-0.6
2014-10-01,84.6,114.4,-1.5,-1
2014-11-01,77.7,105.7,-9.8,-9.5
2014-12-01,83.6,101.3,-6.6,-7.8
2015-01-01,70.5,103.6,12.3,-17.9
2015-02-01,61.7,96.6,-22.7,25.1
2015-03-01,84.6,79.6,-0.8,-28.7
2015-04-01,78.9,93.8,-3,-10.4
2015-05-01,73.4,86.1,-4.6,-11.4
2015-06-01,79,93.4,-2.5,-6.6
2015-07-01,82,96.2,-1.3,-3.2
2015-08-01,73.7,90.5,-9.3,-1.3
2015-09-01,75.7,107.6,-6,-5.7
2015-10-01,83.7,102.3,-1.2,-10.6
2015-11-01,74.8,98.6,-3.7,-6.7
2015-12-01,81.5,93.7,-2.5,-7.5
2016-01-01,62,99.9,-12,-3.5
2016-02-01,71.3,81.4,15.6,-15.8
2016-03-01,85.2,95.3,0.7,19.6
