Date,Rice、 5 percent broken milled white rice、 Thailand nominal price quote、 US＄ per metric ton
1980-01-01,395
1980-02-01,399
1980-03-01,415
1980-04-01,419
1980-05-01,433
1980-06-01,442
1980-07-01,442
1980-08-01,442
1980-09-01,442
1980-10-01,442
1980-11-01,463
1980-12-01,470
1981-01-01,470
1981-02-01,480
1981-03-01,505
1981-04-01,515
1981-05-01,519
1981-06-01,535
1981-07-01,523
1981-08-01,498
1981-09-01,487
1981-10-01,455
1981-11-01,428
1981-12-01,379
1982-01-01,343
1982-02-01,324
1982-03-01,325
1982-04-01,312.5
1982-05-01,299
1982-06-01,292
1982-07-01,290
1982-08-01,287
1982-09-01,270
1982-10-01,254
1982-11-01,258
1982-12-01,266
1983-01-01,260
1983-02-01,270
1983-03-01,282
1983-04-01,282
1983-05-01,280
1983-06-01,269
1983-07-01,260
1983-08-01,275
1983-09-01,298
1983-10-01,290
1983-11-01,283
1983-12-01,273
1984-01-01,257
1984-02-01,253
1984-03-01,253
1984-04-01,256
1984-05-01,253
1984-06-01,256
1984-07-01,273
1984-08-01,272
1984-09-01,252
1984-10-01,250
1984-11-01,228
1984-12-01,224
1985-01-01,225
1985-02-01,220
1985-03-01,221
1985-04-01,222
1985-05-01,223
1985-06-01,223
1985-07-01,210
1985-08-01,210
1985-09-01,210
1985-10-01,210
1985-11-01,210
1985-12-01,225
1986-01-01,240
1986-02-01,230
1986-03-01,216
1986-04-01,202
1986-05-01,200
1986-06-01,204
1986-07-01,181
1986-08-01,186
1986-09-01,173
1986-10-01,175
1986-11-01,174
1986-12-01,167
1987-01-01,173
1987-02-01,187
1987-03-01,198
1987-04-01,199
1987-05-01,198
1987-06-01,196
1987-07-01,191
1987-08-01,204
1987-09-01,250
1987-10-01,267
1987-11-01,254
1987-12-01,256
1988-01-01,292
1988-02-01,306
1988-03-01,294
1988-04-01,288
1988-05-01,257
1988-06-01,269
1988-07-01,274
1988-08-01,269
1988-09-01,273
1988-10-01,273
1988-11-01,272
1988-12-01,260
1989-01-01,264
1989-02-01,271
1989-03-01,277
1989-04-01,293
1989-05-01,311
1989-06-01,331
1989-07-01,351
1989-08-01,332
1989-09-01,321
1989-10-01,304
1989-11-01,270
1989-12-01,272
1990-01-01,276
1990-02-01,300
1990-03-01,289
1990-04-01,276
1990-05-01,260
1990-06-01,255
1990-07-01,256
1990-08-01,260
1990-09-01,259
1990-10-01,281
1990-11-01,272
1990-12-01,264
1991-01-01,305
1991-02-01,326
1991-03-01,311
1991-04-01,286
1991-05-01,288
1991-06-01,293
1991-07-01,306
1991-08-01,298
1991-09-01,290
1991-10-01,277
1991-11-01,274
1991-12-01,270
1992-01-01,276
1992-02-01,278
1992-03-01,277
1992-04-01,279
1992-05-01,274
1992-06-01,266
1992-07-01,279
1992-08-01,269
1992-09-01,256
1992-10-01,250
1992-11-01,252
1992-12-01,256
1993-01-01,262
1993-02-01,254
1993-03-01,230
1993-04-01,206
1993-05-01,185
1993-06-01,189
1993-07-01,210
1993-08-01,210
1993-09-01,206
1993-10-01,257
1993-11-01,323
1993-12-01,315
1994-01-01,354
1994-02-01,363
1994-03-01,274
1994-04-01,269
1994-05-01,235
1994-06-01,216
1994-07-01,226
1994-08-01,250
1994-09-01,259.75
1994-10-01,261.75
1994-11-01,264.5
1994-12-01,260.5
1995-01-01,274.75
1995-02-01,286.25
1995-03-01,283
1995-04-01,281.5
1995-05-01,287.75
1995-06-01,326
1995-07-01,345.6
1995-08-01,340.67
1995-09-01,359.75
1995-10-01,382.6
1995-11-01,340.5
1995-12-01,341.25
1996-01-01,364.4
1996-02-01,367
1996-03-01,362.5
1996-04-01,325.8
1996-05-01,332.25
1996-06-01,341.5
1996-07-01,358
1996-08-01,335.5
1996-09-01,328.4
1996-10-01,312.75
1996-11-01,315
1996-12-01,313.67
1997-01-01,356
1997-02-01,347
1997-03-01,323.4
1997-04-01,299.33
1997-05-01,324.5
1997-06-01,323.2
1997-07-01,320
1997-08-01,285
1997-09-01,270.2
1997-10-01,265.75
1997-11-01,251.75
1997-12-01,263.5
1998-01-01,293.5
1998-02-01,297
1998-03-01,295
1998-04-01,311
1998-05-01,318.5
1998-06-01,331
1998-07-01,323
1998-08-01,323
1998-09-01,322
1998-10-01,298.25
1998-11-01,270.33
1998-12-01,282.5
1999-01-01,301.67
1999-02-01,280
1999-03-01,256.2
1999-04-01,235.5
1999-05-01,244.25
1999-06-01,254.75
1999-07-01,255.75
1999-08-01,251
1999-09-01,233
1999-10-01,217
1999-11-01,227.5
1999-12-01,231
2000-01-01,247.5
2000-02-01,243
2000-03-01,228.8
2000-04-01,217
2000-05-01,198.78
2000-06-01,197.86
2000-07-01,191
2000-08-01,187.09
2000-09-01,178.14
2000-10-01,186.73
2000-11-01,184.86
2000-12-01,183.57
2001-01-01,184.43
2001-02-01,185.1
2001-03-01,177.09
2001-04-01,162.1
2001-05-01,164.26
2001-06-01,167.76
2001-07-01,169.73
2001-08-01,168.74
2001-09-01,173
2001-10-01,170.87
2001-11-01,170
2001-12-01,179.38
2002-01-01,191.13
2002-02-01,194.35
2002-03-01,189.29
2002-04-01,189.5
2002-05-01,198.3
2002-06-01,202
2002-07-01,199.61
2002-08-01,191.32
2002-09-01,188.48
2002-10-01,185.48
2002-11-01,187.19
2002-12-01,185.27
2003-01-01,199.74
2003-02-01,198.75
2003-03-01,196.95
2003-04-01,195.18
2003-05-01,197.73
2003-06-01,203.67
2003-07-01,199.48
2003-08-01,196.43
2003-09-01,202.86
2003-10-01,204
2003-11-01,201.75
2003-12-01,197
2004-01-01,207.45
2004-02-01,213.25
2004-03-01,240.35
2004-04-01,253.41
2004-05-01,251.57
2004-06-01,244.23
2004-07-01,240.32
2004-08-01,252.55
2004-09-01,252
2004-10-01,253.52
2004-11-01,262.32
2004-12-01,278.43
2005-01-01,288.38
2005-02-01,292.35
2005-03-01,295
2005-04-01,299.14
2005-05-01,295.27
2005-06-01,287.05
2005-07-01,278.71
2005-08-01,283.48
2005-09-01,287.41
2005-10-01,290.71
2005-11-01,278.95
2005-12-01,277.27
2006-01-01,284.45
2006-02-01,296.4
2006-03-01,297.74
2006-04-01,298.5
2006-05-01,301.26
2006-06-01,305.59
2006-07-01,312.43
2006-08-01,313.39
2006-09-01,312.9
2006-10-01,309.64
2006-11-01,300.59
2006-12-01,309.29
2007-01-01,313.48
2007-02-01,316.05
2007-03-01,326.18
2007-04-01,322.29
2007-05-01,320.61
2007-06-01,326.29
2007-07-01,332.55
2007-08-01,331.48
2007-09-01,330
2007-10-01,335.3
2007-11-01,356.5
2007-12-01,378
2008-01-01,393.48
2008-02-01,481.14
2008-03-01,672.64
2008-04-01,1015.21
2008-05-01,1009.32
2008-06-01,834.6
2008-07-01,799
2008-08-01,737
2008-09-01,722
2008-10-01,624
2008-11-01,563.25
2008-12-01,550.75
2009-01-01,615.25
2009-02-01,634
2009-03-01,625.25
2009-04-01,577.25
2009-05-01,540.75
2009-06-01,548.6
2009-07-01,623
2009-08-01,576.25
2009-09-01,593.67
2009-10-01,566.25
2009-11-01,566.25
2009-12-01,606
2010-01-01,598
2010-02-01,584.75
2010-03-01,540.13
2010-04-01,502.23
2010-05-01,472.48
2010-06-01,458.55
2010-07-01,470.68
2010-08-01,486.86
2010-09-01,519.95
2010-10-01,533.13
2010-11-01,543.14
2010-12-01,536.78
2011-01-01,528.38
2011-02-01,532.8
2011-03-01,508.96
2011-04-01,500.57
2011-05-01,500.55
2011-06-01,518.09
2011-07-01,546.19
2011-08-01,577.3
2011-09-01,615.55
2011-10-01,602.14
2011-11-01,609.09
2011-12-01,580.91
2012-01-01,541.06
2012-02-01,547.48
2012-03-01,577.05
2012-04-01,585.95
2012-05-01,612.43
2012-06-01,606.14
2012-07-01,578.36
2012-08-01,582.87
2012-09-01,590.5
2012-10-01,584.74
2012-11-01,590.73
2012-12-01,565.52
2013-01-01,573.39
2013-02-01,574.07
2013-03-01,564.52
2013-04-01,553.73
2013-05-01,552.09
2013-06-01,546.25
2013-07-01,538.26
2013-08-01,503.82
2013-09-01,470
2013-10-01,453.26
2013-11-01,448.81
2013-12-01,447.55
2014-01-01,441.04
2014-02-01,447
2014-03-01,434.14
2014-04-01,409.94
2014-05-01,403.59
2014-06-01,414.67
2014-07-01,428
2014-08-01,440.38
2014-09-01,436.5
2014-10-01,432.7
2014-11-01,419
2014-12-01,410.74
2015-01-01,409.68
2015-02-01,409.5
2015-03-01,400.73
2015-04-01,392.41
2015-05-01,382.43
2015-06-01,370.55
2015-07-01,387.74
2015-08-01,375.57
2015-09-01,358.77
