Date,資金循環統計 - 負債・金融派生商品／家計／ストック(兆円)
1997-12-01,0.0118
1998-03-01,0.0202
1998-06-01,0.0145
1998-09-01,0.0349
1998-12-01,0.0736
1999-03-01,0.0165
1999-06-01,0.0136
1999-09-01,0.005
1999-12-01,0.0046
2000-03-01,0.0082
2000-06-01,0.0115
2000-09-01,0.0087
2000-12-01,0.0166
2001-03-01,0.021
2001-06-01,0.0125
2001-09-01,0.0283
2001-12-01,0.0289
2002-03-01,0.0267
2002-06-01,0.0254
2002-09-01,0.041
2002-12-01,0.0359
2003-03-01,0.0599
2003-06-01,0.0316
2003-09-01,0.0381
2003-12-01,0.0449
2004-03-01,0.0552
2004-06-01,0.0432
2004-09-01,0.0464
2004-12-01,0.0532
2005-03-01,0.0263
2005-06-01,0.047
2005-09-01,0.0987
2005-12-01,0.1607
2006-03-01,0.2186
2006-06-01,0.131
2006-09-01,0.0941
2006-12-01,0.15
2007-03-01,0.1746
2007-06-01,0.2424
2007-09-01,0.1937
2007-12-01,0.2805
2008-03-01,0.4477
2008-06-01,0.4714
2008-09-01,0.5656
2008-12-01,0.6092
2009-03-01,0.436
2009-06-01,0.3517
2009-09-01,0.4904
2009-12-01,0.6205
2010-03-01,0.4533
2010-06-01,0.5293
2010-09-01,0.6725
2010-12-01,0.6419
2011-03-01,0.5837
2011-06-01,0.4714
2011-09-01,0.5908
2011-12-01,0.5199
2012-03-01,0.4716
2012-06-01,0.4994
2012-09-01,0.8061
2012-12-01,0.8206
2013-03-01,0.7053
2013-06-01,0.8183
2013-09-01,0.6176
2013-12-01,0.2862
2014-03-01,0.3992
2014-06-01,0.3517
2014-09-01,0.4838
2014-12-01,0.6897
2015-03-01,0.7409
2015-06-01,0.7891
