Date,Non-Fuel Price Index、 2005 = 100、 includes Food and Beverages and Industrial Inputs Price Indices
1991-01-01,91.3
1991-02-01,91.33
1991-03-01,90.43
1991-04-01,89.79
1991-05-01,87.19
1991-06-01,85.54
1991-07-01,83.69
1991-08-01,83.09
1991-09-01,83.85
1991-10-01,82.7
1991-11-01,83.22
1991-12-01,82.6
1992-01-01,82.46
1992-02-01,82.8
1992-03-01,82.85
1992-04-01,83.52
1992-05-01,84.54
1992-06-01,83.63
1992-07-01,85.66
1992-08-01,87.25
1992-09-01,88.01
1992-10-01,84.91
1992-11-01,82.99
1992-12-01,82.79
1993-01-01,83.18
1993-02-01,83.45
1993-03-01,83.93
1993-04-01,85.08
1993-05-01,86.31
1993-06-01,84.9
1993-07-01,86.51
1993-08-01,85.11
1993-09-01,84.2
1993-10-01,83.4
1993-11-01,83.29
1993-12-01,84.98
1994-01-01,86
1994-02-01,87.83
1994-03-01,88.12
1994-04-01,89.79
1994-05-01,92.28
1994-06-01,94.38
1994-07-01,95.47
1994-08-01,94.93
1994-09-01,97.44
1994-10-01,97.07
1994-11-01,97.8
1994-12-01,99.07
1995-01-01,100.51
1995-02-01,100
1995-03-01,101.4
1995-04-01,101.59
1995-05-01,100.62
1995-06-01,101.5
1995-07-01,102.21
1995-08-01,100.82
1995-09-01,99.46
1995-10-01,98.98
1995-11-01,98.69
1995-12-01,97.57
1996-01-01,97.47
1996-02-01,98.98
1996-03-01,99.67
1996-04-01,103.41
1996-05-01,105.68
1996-06-01,101.38
1996-07-01,100.22
1996-08-01,100.42
1996-09-01,96.71
1996-10-01,94.67
1996-11-01,95.02
1996-12-01,94.92
1997-01-01,97.46
1997-02-01,98.37
1997-03-01,100.4
1997-04-01,99.5
1997-05-01,100.48
1997-06-01,96.53
1997-07-01,95.13
1997-08-01,94.75
1997-09-01,93.26
1997-10-01,91.85
1997-11-01,91.97
1997-12-01,88.72
1998-01-01,85.61
1998-02-01,86.77
1998-03-01,86.49
1998-04-01,87.37
1998-05-01,87.08
1998-06-01,85.21
1998-07-01,83.12
1998-08-01,80.73
1998-09-01,79.59
1998-10-01,78.53
1998-11-01,78.53
1998-12-01,76.69
1999-01-01,77.25
1999-02-01,75.15
1999-03-01,74.64
1999-04-01,74.65
1999-05-01,75.41
1999-06-01,74.25
1999-07-01,73.76
1999-08-01,76.07
1999-09-01,78.01
1999-10-01,77.98
1999-11-01,77.89
1999-12-01,78.68
2000-01-01,79.87
2000-02-01,80.56
2000-03-01,80.47
2000-04-01,80.45
2000-05-01,81.33
2000-06-01,79.76
2000-07-01,79.02
2000-08-01,77.73
2000-09-01,78.75
2000-10-01,77.02
2000-11-01,76.66
2000-12-01,77.29
2001-01-01,78.34
2001-02-01,78.13
2001-03-01,78.27
2001-04-01,78.58
2001-05-01,79.83
2001-06-01,78.79
2001-07-01,78.07
2001-08-01,76.34
2001-09-01,73.52
2001-10-01,70.38
2001-11-01,71.35
2001-12-01,70.71
2002-01-01,71.42
2002-02-01,72.29
2002-03-01,74.39
2002-04-01,74.02
2002-05-01,74.67
2002-06-01,76.81
2002-07-01,78.93
2002-08-01,78.71
2002-09-01,80.58
2002-10-01,80.77
2002-11-01,80.13
2002-12-01,79.79
2003-01-01,80.88
2003-02-01,81.43
2003-03-01,79.8
2003-04-01,79.43
2003-05-01,79.79
2003-06-01,78.98
2003-07-01,78.3
2003-08-01,79.55
2003-09-01,81.72
2003-10-01,85.02
2003-11-01,86.79
2003-12-01,88.07
2004-01-01,91.69
2004-02-01,94.52
2004-03-01,96.9
2004-04-01,96.97
2004-05-01,96.47
2004-06-01,95.65
2004-07-01,95.15
2004-08-01,92.89
2004-09-01,92.29
2004-10-01,91.76
2004-11-01,92.11
2004-12-01,92.65
2005-01-01,95.32
2005-02-01,97.65
2005-03-01,101.91
2005-04-01,99.27
2005-05-01,98.97
2005-06-01,99.64
2005-07-01,99.39
2005-08-01,100.35
2005-09-01,100.03
2005-10-01,101.03
2005-11-01,101.4
2005-12-01,105.05
2006-01-01,108.6
2006-02-01,111.77
2006-03-01,112.47
2006-04-01,118.91
2006-05-01,128.94
2006-06-01,125.44
2006-07-01,127.64
2006-08-01,127.5
2006-09-01,125.22
2006-10-01,128.11
2006-11-01,130.1
2006-12-01,132.23
2007-01-01,131.11
2007-02-01,134.29
2007-03-01,136.52
2007-04-01,142.26
2007-05-01,144.07
2007-06-01,143.28
2007-07-01,142.99
2007-08-01,137.9
2007-09-01,140.84
2007-10-01,142.79
2007-11-01,142.56
2007-12-01,143.29
2008-01-01,151.9
2008-02-01,162.38
2008-03-01,168.77
2008-04-01,167.66
2008-05-01,166.17
2008-06-01,168.34
2008-07-01,169.06
2008-08-01,158.41
2008-09-01,149.47
2008-10-01,126.48
2008-11-01,117.13
2008-12-01,109.86
2009-01-01,115.11
2009-02-01,112.63
2009-03-01,111.16
2009-04-01,116.25
2009-05-01,123.61
2009-06-01,128.7
2009-07-01,129.81
2009-08-01,137.13
2009-09-01,132.58
2009-10-01,135
2009-11-01,141.13
2009-12-01,146.14
2010-01-01,150.19
2010-02-01,147.78
2010-03-01,153.38
2010-04-01,162.77
2010-05-01,155.15
2010-06-01,149.23
2010-07-01,151.4
2010-08-01,160.6
2010-09-01,164.5
2010-10-01,173.6
2010-11-01,178.2
2010-12-01,188.19
2011-01-01,197.22
2011-02-01,204.58
2011-03-01,201.1
2011-04-01,205.84
2011-05-01,198.81
2011-06-01,194.9
2011-07-01,195.58
2011-08-01,191.98
2011-09-01,185.77
2011-10-01,172.02
2011-11-01,167.85
2011-12-01,164.82
