Date,Beverage Price Index、 2005 = 100、 includes Coffee、 Tea、 and Cocoa
1980-01-01,189.31
1980-02-01,190.39
1980-03-01,194.06
1980-04-01,186.14
1980-05-01,185.07
1980-06-01,179.38
1980-07-01,164.08
1980-08-01,150.41
1980-09-01,146.06
1980-10-01,143.91
1980-11-01,136.32
1980-12-01,136.6
1981-01-01,139.2
1981-02-01,135.44
1981-03-01,136.86
1981-04-01,136.57
1981-05-01,129.67
1981-06-01,111.3
1981-07-01,122.76
1981-08-01,128.47
1981-09-01,130.98
1981-10-01,133.78
1981-11-01,136.07
1981-12-01,136.14
1982-01-01,139.28
1982-02-01,143.2
1982-03-01,135.4
1982-04-01,127.01
1982-05-01,123.97
1982-06-01,121.28
1982-07-01,117.23
1982-08-01,118.78
1982-09-01,126.47
1982-10-01,129.26
1982-11-01,127.39
1982-12-01,131.63
1983-01-01,132.72
1983-02-01,134.15
1983-03-01,130.49
1983-04-01,131.41
1983-05-01,137.51
1983-06-01,141
1983-07-01,142.12
1983-08-01,142.95
1983-09-01,141.25
1983-10-01,148.5
1983-11-01,159.05
1983-12-01,169.24
1984-01-01,175.37
1984-02-01,169.76
1984-03-01,171.53
1984-04-01,170.69
1984-05-01,176.93
1984-06-01,167.84
1984-07-01,156.58
1984-08-01,158
1984-09-01,163.22
1984-10-01,160.05
1984-11-01,159.84
1984-12-01,153.84
1985-01-01,155.86
1985-02-01,153.01
1985-03-01,148.49
1985-04-01,146.53
1985-05-01,139.65
1985-06-01,138.16
1985-07-01,134.35
1985-08-01,135.58
1985-09-01,136.9
1985-10-01,142.57
1985-11-01,150.08
1985-12-01,170.29
1986-01-01,186.14
1986-02-01,179.07
1986-03-01,182.31
1986-04-01,171.95
1986-05-01,160.18
1986-06-01,144.88
1986-07-01,146.93
1986-08-01,152.35
1986-09-01,172.65
1986-10-01,159.02
1986-11-01,152.28
1986-12-01,137.64
1987-01-01,130.63
1987-02-01,127.7
1987-03-01,120.23
1987-04-01,121.28
1987-05-01,124.87
1987-06-01,116.71
1987-07-01,118.04
1987-08-01,117.25
1987-09-01,120.45
1987-10-01,124.01
1987-11-01,127.48
1987-12-01,127.1
1988-01-01,129.36
1988-02-01,126.89
1988-03-01,121.99
1988-04-01,119.42
1988-05-01,119.6
1988-06-01,118.65
1988-07-01,113.31
1988-08-01,105.64
1988-09-01,106.1
1988-10-01,109.46
1988-11-01,114.42
1988-12-01,121.32
1989-01-01,120.88
1989-02-01,116.09
1989-03-01,114.28
1989-04-01,110.55
1989-05-01,107.26
1989-06-01,102.53
1989-07-01,90.38
