Date,Zinc、 high grade 98% pure、 US＄ per metric ton
1980-01-01,773.82
1980-02-01,868.62
1980-03-01,740.75
1980-04-01,707.68
1980-05-01,701.07
1980-06-01,676.82
1980-07-01,712.09
1980-08-01,767.21
1980-09-01,795.87
1980-10-01,804.69
1980-11-01,800.28
1980-12-01,782.64
1981-01-01,776.03
1981-02-01,731.93
1981-03-01,756.18
1981-04-01,824.53
1981-05-01,850.98
1981-06-01,839.96
1981-07-01,864.21
1981-08-01,954.6
1981-09-01,936.96
1981-10-01,890.67
1981-11-01,875.23
1981-12-01,848.78
1982-01-01,820.12
1982-02-01,824.53
1982-03-01,791.46
1982-04-01,740.75
1982-05-01,749.57
1982-06-01,692.25
1982-07-01,723.12
1982-08-01,714.3
1982-09-01,749.57
1982-10-01,751.78
1982-11-01,709.89
1982-12-01,670.2
1983-01-01,698.86
1983-02-01,681.23
1983-03-01,679.02
1983-04-01,696.66
1983-05-01,736.34
1983-06-01,718.71
1983-07-01,740.75
1983-08-01,809.1
1983-09-01,837.76
1983-10-01,857.6
1983-11-01,859.8
1983-12-01,857.6
1984-01-01,956.81
1984-02-01,998.69
1984-03-01,1040.58
1984-04-01,1003.1
1984-05-01,1000.9
1984-06-01,941.37
1984-07-01,853.19
1984-08-01,833.35
1984-09-01,873.03
1984-10-01,844.37
1984-11-01,857.6
1984-12-01,859.8
1985-01-01,866.42
1985-02-01,886.26
1985-03-01,921.53
1985-04-01,930.35
1985-05-01,879.64
1985-06-01,809.1
1985-07-01,767.21
1985-08-01,734.14
1985-09-01,690.05
1985-10-01,632.73
1985-11-01,597.45
1985-12-01,685.64
1986-01-01,643.75
1986-02-01,608.48
1986-03-01,626.11
1986-04-01,659.18
1986-05-01,707.68
1986-06-01,804.69
1986-07-01,806.89
1986-08-01,815.71
1986-09-01,870.82
1986-10-01,886.26
1986-11-01,820.12
1986-12-01,798.07
1987-01-01,758.39
1987-02-01,740.75
1987-03-01,731.93
1987-04-01,760.59
1987-05-01,837.76
1987-06-01,877.44
1987-07-01,828.94
1987-08-01,802.48
1987-09-01,756.18
1987-10-01,769.41
1987-11-01,846.57
1987-12-01,866.42
1988-01-01,877.44
1988-02-01,875.23
1988-03-01,981.06
1988-04-01,1069.24
1988-05-01,1175.06
1988-06-01,1364.66
1988-07-01,1236.79
1988-08-01,1307.34
1988-09-01,1329.39
1988-10-01,1518.98
1988-11-01,1556.46
1988-12-01,1591.74
1989-01-01,1732.83
1989-02-01,1929.5
1989-03-01,1959.91
1989-04-01,1654.4
1989-05-01,1627
1989-06-01,1537
1989-07-01,1614
