Date,Hard Logs、 Best quality Malaysian meranti、 import price Japan、 US＄ per cubic meter
1980-01-01,146.08
1980-02-01,159.57
1980-03-01,155.28
1980-04-01,152.79
1980-05-01,162.74
1980-06-01,164.43
1980-07-01,141.14
1980-08-01,134.52
1980-09-01,159.13
1980-10-01,105.06
1980-11-01,107.98
1980-12-01,109.44
1981-01-01,112.35
1981-02-01,109.12
1981-03-01,106.78
1981-04-01,102.29
1981-05-01,104.56
1981-06-01,102.43
1981-07-01,91.62
1981-08-01,88.84
1981-09-01,88.2
1981-10-01,92.25
1981-11-01,102.43
1981-12-01,118.31
1982-01-01,120.11
1982-02-01,109.64
1982-03-01,107.8
1982-04-01,105.16
1982-05-01,107.5
1982-06-01,96.34
1982-07-01,96.1
1982-08-01,95.17
1982-09-01,95.63
1982-10-01,91.88
1982-11-01,95.18
1982-12-01,102.77
1983-01-01,100.25
1983-02-01,80.01
1983-03-01,77.38
1983-04-01,80.4
1983-05-01,85.17
1983-06-01,82.27
1983-07-01,81.71
1983-08-01,88.87
1983-09-01,92.42
1983-10-01,106.42
1983-11-01,108.11
1983-12-01,111.87
1984-01-01,111.87
1984-02-01,111.87
1984-03-01,126.49
1984-04-01,137.66
1984-05-01,140.47
1984-06-01,131.55
1984-07-01,110.17
1984-08-01,106.39
1984-09-01,101.49
1984-10-01,97.32
1984-11-01,95.38
1984-12-01,89.47
1985-01-01,79.71
1985-02-01,76.63
1985-03-01,77.13
1985-04-01,80.77
1985-05-01,80.77
1985-06-01,78.07
1985-07-01,81.89
1985-08-01,79.45
1985-09-01,76.41
1985-10-01,84.74
1985-11-01,93.99
1985-12-01,97.37
1986-01-01,99.64
1986-02-01,105.3
1986-03-01,93.57
1986-04-01,96.09
1986-05-01,104.18
1986-06-01,94.68
1986-07-01,95.18
1986-08-01,93.01
1986-09-01,85.41
1986-10-01,84.31
1986-11-01,97.37
1986-12-01,118.73
1987-01-01,127.46
1987-02-01,123.95
1987-03-01,121.49
1987-04-01,132
1987-05-01,126.28
1987-06-01,128.82
1987-07-01,133.81
1987-08-01,161.54
1987-09-01,228.72
1987-10-01,233.92
1987-11-01,251.57
1987-12-01,240
1988-01-01,204.25
