Date,Rubber、 Singapore Commodity Exchange、 No. 3 Rubber Smoked Sheets、 1st contract、 US cents per pound
1980-01-01,68.82
1980-02-01,75.31
1980-03-01,66.35
1980-04-01,60.55
1980-05-01,60.39
1980-06-01,61.87
1980-07-01,61.06
1980-08-01,63.55
1980-09-01,66.09
1980-10-01,64.53
1980-11-01,64.22
1980-12-01,62.66
1981-01-01,62.18
1981-02-01,59.81
1981-03-01,57.28
1981-04-01,52.12
1981-05-01,52.84
1981-06-01,51.64
1981-07-01,46.87
1981-08-01,48.44
1981-09-01,48.11
1981-10-01,46.22
1981-11-01,44.79
1981-12-01,40.88
1982-01-01,41.21
1982-02-01,39.89
1982-03-01,39.78
1982-04-01,40.22
1982-05-01,40.69
1982-06-01,38.24
1982-07-01,37.66
1982-08-01,38.25
1982-09-01,38.7
1982-10-01,38.6
1982-11-01,37.5
1982-12-01,36.1
1983-01-01,37.2
1983-02-01,42.81
1983-03-01,48.05
1983-04-01,51.45
1983-05-01,47.74
1983-06-01,49
1983-07-01,51.4
1983-08-01,51.33
1983-09-01,49.31
1983-10-01,49.53
1983-11-01,50.27
1983-12-01,51.15
1984-01-01,51.5
1984-02-01,51.65
1984-03-01,50.95
1984-04-01,48.68
1984-05-01,44.33
1984-06-01,39.89
1984-07-01,40.35
1984-08-01,41.06
1984-09-01,41.85
1984-10-01,38.69
1984-11-01,36.52
1984-12-01,35.79
1985-01-01,34.65
1985-02-01,33.37
1985-03-01,33.64
1985-04-01,35.7
1985-05-01,35.14
1985-06-01,36.75
1985-07-01,35.4
1985-08-01,34.35
1985-09-01,33.24
1985-10-01,34.01
1985-11-01,33.4
1985-12-01,33.33
1986-01-01,33.71
1986-02-01,35.91
1986-03-01,35.21
1986-04-01,33.8
1986-05-01,34.81
1986-06-01,35.53
1986-07-01,36.61
1986-08-01,38.26
1986-09-01,38.99
1986-10-01,39.98
1986-11-01,38.18
1986-12-01,38.02
1987-01-01,40.03
1987-02-01,40.85
1987-03-01,40.65
1987-04-01,42
1987-05-01,42.94
1987-06-01,44.48
1987-07-01,46.3
1987-08-01,46.69
1987-09-01,47.9
1987-10-01,47.51
1987-11-01,47.31
1987-12-01,49.3
1988-01-01,49.95
1988-02-01,49.39
1988-03-01,50.65
1988-04-01,53.91
1988-05-01,59
1988-06-01,66.32
1988-07-01,60.02
1988-08-01,58.55
1988-09-01,53.86
1988-10-01,48.1
1988-11-01,46.64
1988-12-01,48.6
1989-01-01,50.66
1989-02-01,51.01
1989-03-01,49.4
1989-04-01,49.88
1989-05-01,46.26
1989-06-01,42.9
1989-07-01,42.87
1989-08-01,41
1989-09-01,39.5
1989-10-01,38.65
1989-11-01,37.9
1989-12-01,37.89
1990-01-01,37.73
1990-02-01,38.68
1990-03-01,37.58
1990-04-01,38.01
1990-05-01,38.75
1990-06-01,38.67
1990-07-01,39.01
1990-08-01,40.08
1990-09-01,40.62
1990-10-01,40.65
1990-11-01,40.74
1990-12-01,40.14
1991-01-01,39.38
1991-02-01,38.49
1991-03-01,37.76
1991-04-01,37.33
1991-05-01,37.23
1991-06-01,37.94
1991-07-01,37.31
1991-08-01,37.05
1991-09-01,36.79
1991-10-01,37.51
1991-11-01,36.96
1991-12-01,35.72
1992-01-01,36.35
1992-02-01,36.8
1992-03-01,37.51
1992-04-01,38.93
1992-05-01,39.3
1992-06-01,39.87
1992-07-01,40.12
1992-08-01,39.85
1992-09-01,39.65
1992-10-01,40.37
1992-11-01,40.14
1992-12-01,40.08
1993-01-01,41.09
1993-02-01,40.57
1993-03-01,38.47
1993-04-01,37.39
1993-05-01,36.94
1993-06-01,36.78
1993-07-01,36.68
1993-08-01,37.34
1993-09-01,37.33
1993-10-01,36.2
1993-11-01,36.7
1993-12-01,36.98
1994-01-01,36.7
1994-02-01,38.72
1994-03-01,41.4
1994-04-01,43.03
1994-05-01,44.42
1994-06-01,47.65
1994-07-01,56.75
1994-08-01,57.2
1994-09-01,57.45
1994-10-01,62.05
1994-11-01,60.95
1994-12-01,66.47
