Date,対個人サービス業（調査９業種）総合 ボウリング場
2005-01-01,-3.02
2005-02-01,-5.47
2005-03-01,-1.91
2005-04-01,-2.4
2005-05-01,-5.27
2005-06-01,-8.3
2005-07-01,-5.14
2005-08-01,-4.97
2005-09-01,-8.91
2005-10-01,-5.09
2005-11-01,-8.26
2005-12-01,-8.38
2006-01-01,-5.65
2006-02-01,-4.61
2006-03-01,-6.04
2006-04-01,-5.22
2006-05-01,-5.07
2006-06-01,-6.06
2006-07-01,-5.12
2006-08-01,-6.53
2006-09-01,-4.79
2006-10-01,-7.09
2006-11-01,-5.49
2006-12-01,-5.09
2007-01-01,-4.95
2007-02-01,-5.34
2007-03-01,-5.39
2007-04-01,-4.47
2007-05-01,-3.66
2007-06-01,-4.44
2007-07-01,-5.29
2007-08-01,-3.66
2007-09-01,-1.2
2007-10-01,-3.92
2007-11-01,-2.85
2007-12-01,-5.59
2008-01-01,-7.82
2008-02-01,-8.47
2008-03-01,-7.46
2008-04-01,-9.02
2008-05-01,-10.65
2008-06-01,-8.75
2008-07-01,-8.15
2008-08-01,-8.26
2008-09-01,-9.96
2008-10-01,-7.71
2008-11-01,-8.79
2008-12-01,-5.68
2009-01-01,-5.89
2009-02-01,-7.35
2009-03-01,-7.7
2009-04-01,-8.84
2009-05-01,-6.2
2009-06-01,-6.43
2009-07-01,-6.44
2009-08-01,-5.96
2009-09-01,-6.88
2009-10-01,-7.62
2009-11-01,-6.3
2009-12-01,-7.38
2010-01-01,-8.26
2010-02-01,-1.92
2010-03-01,-2.18
2010-04-01,-2.49
2010-05-01,-3.76
2010-06-01,-3.37
2010-07-01,-4.29
2010-08-01,-7.24
2010-09-01,-2.24
2010-10-01,-1.73
2010-11-01,-2.77
2010-12-01,-1.06
2011-01-01,-9.55
2011-02-01,-10.44
2011-03-01,-8.66
2011-04-01,-4.44
2011-05-01,-0.94
2011-06-01,-9.8
2011-07-01,-8.82
2011-08-01,2.93
2011-09-01,-2.56
2011-10-01,-5.55
2011-11-01,-8.82
2011-12-01,-12.48
2012-01-01,2.11
2012-02-01,0
2012-03-01,-0.72
2012-04-01,-1.69
2012-05-01,-4.76
2012-06-01,2.08
2012-07-01,1.49
2012-08-01,-6.78
2012-09-01,-4.57
2012-10-01,-2.72
2012-11-01,-0.15
2012-12-01,1.69
2013-01-01,-5.17
2013-02-01,-10.35
2013-03-01,-9.84
2013-04-01,-10.44
2013-05-01,-11.57
2013-06-01,-9.77
2013-07-01,-10.56
2013-08-01,-9.59
2013-09-01,-9.72
2013-10-01,-8.84
2013-11-01,-7.3
2013-12-01,-7.69
2014-01-01,-4.21
2014-02-01,-2.11
2014-03-01,9.47
2014-04-01,-7.03
2014-05-01,-11.63
2014-06-01,-7.92
2014-07-01,-8.36
2014-08-01,-0.96
2014-09-01,-15.76
2014-10-01,-11.95
2014-11-01,-7.07
2014-12-01,-2.94
2015-01-01,-14.8
2015-02-01,-7.64
2015-03-01,-2.2
2015-04-01,-11.68
2015-05-01,-3.84
2015-06-01,-11.75
2015-07-01,-3.94
2015-08-01,-11.2
