Date,Cocoa beans、 International Cocoa Organization cash price、 CIF US and European ports、 US＄ per metric ton
1980-01-01,3167.16
1980-02-01,3236.82
1980-03-01,3091.1
1980-04-01,2910.1
1980-05-01,2585.8
1980-06-01,2498.05
1980-07-01,2464.77
1980-08-01,2312.21
1980-09-01,2386.06
1980-10-01,2305.37
1980-11-01,2173.76
1980-12-01,2109.82
1981-01-01,2093.07
1981-02-01,2040.82
1981-03-01,2115.77
1981-04-01,2109.6
1981-05-01,1933.01
1981-06-01,1660.3
1981-07-01,2048.31
1981-08-01,2246.95
1981-09-01,2337.12
1981-10-01,2172.65
1981-11-01,2056.47
1981-12-01,2104.53
1982-01-01,2188.09
1982-02-01,2087.11
1982-03-01,1947.78
1982-04-01,1745.4
1982-05-01,1714.97
1982-06-01,1571.67
1982-07-01,1578.29
1982-08-01,1559.55
1982-09-01,1686.09
1982-10-01,1638.03
1982-11-01,1541.25
1982-12-01,1643.54
1983-01-01,1784.2
1983-02-01,1942.27
1983-03-01,1859.38
1983-04-01,1877.23
1983-05-01,2065.07
1983-06-01,2297.66
1983-07-01,2302.73
1983-08-01,2302.95
1983-09-01,2138.04
1983-10-01,2094.39
1983-11-01,2219.61
1983-12-01,2540.82
1984-01-01,2621.95
1984-02-01,2497.39
1984-03-01,2536.19
1984-04-01,2536.42
1984-05-01,2677.51
1984-06-01,2485.05
1984-07-01,2216.52
1984-08-01,2213.66
1984-09-01,2311.1
1984-10-01,2257.31
1984-11-01,2255.11
1984-12-01,2140.47
1985-01-01,2219.61
1985-02-01,2273.4
1985-03-01,2232.4
1985-04-01,2240.78
1985-05-01,2129
1985-06-01,2091.74
1985-07-01,2209.91
1985-08-01,2275.39
1985-09-01,2342.19
1985-10-01,2363.13
1985-11-01,2297.66
1985-12-01,2379.45
1986-01-01,2323.67
1986-02-01,2218.51
1986-03-01,2107.18
1986-04-01,1989.67
1986-05-01,1905.67
1986-06-01,1905.67
1986-07-01,2022.3
1986-08-01,2068
1986-09-01,2206
1986-10-01,2073
1986-11-01,2024
1986-12-01,1976
1987-01-01,1976
1987-02-01,1965
1987-03-01,2011
1987-04-01,2072
1987-05-01,2068
1987-06-01,1997
1987-07-01,2127.1
1987-08-01,2022
1987-09-01,1988
1987-10-01,1913
1987-11-01,1938
1987-12-01,1896
1988-01-01,1973
1988-02-01,1799
1988-03-01,1685
1988-04-01,1649
1988-05-01,1698
1988-06-01,1624
1988-07-01,1610
1988-08-01,1448
1988-09-01,1239
1988-10-01,1304
1988-11-01,1473
1988-12-01,1503
1989-01-01,1435
1989-02-01,1483.89
1989-03-01,1413
1989-04-01,1290
1989-05-01,1205
1989-06-01,1252
1989-07-01,1351.49
1989-08-01,1292
1989-09-01,1140
1989-10-01,1064
1989-11-01,1010
1989-12-01,970
1990-01-01,995
1990-02-01,1022
1990-03-01,1131
1990-04-01,1336
1990-05-01,1443
1990-06-01,1330
1990-07-01,1346
1990-08-01,1284
