Date,Fishmeal、 Peru Fish meal／pellets 65% protein、 CIF、 US＄ per metric ton
1980-01-01,986.56
1980-02-01,1040.81
1980-03-01,960.43
1980-04-01,944.36
1980-05-01,1014.68
1980-06-01,972.49
1980-07-01,962.44
1980-08-01,984.55
1980-09-01,1006.65
1980-10-01,1028.75
1980-11-01,1141.27
1980-12-01,1119.17
1981-01-01,1087.02
1981-02-01,1040.81
1981-03-01,1018.7
1981-04-01,1006.65
1981-05-01,1012.68
1981-06-01,974.5
1981-07-01,944.36
1981-08-01,882.07
1981-09-01,872.03
1981-10-01,813.76
1981-11-01,817.78
1981-12-01,801.7
1982-01-01,783.62
1982-02-01,741.42
1982-03-01,717.31
1982-04-01,717.31
1982-05-01,727.36
1982-06-01,699.23
1982-07-01,673.11
1982-08-01,642.97
1982-09-01,640.96
1982-10-01,655.02
1982-11-01,729.37
1982-12-01,801.7
1983-01-01,882.07
1983-02-01,849.92
1983-03-01,807.73
1983-04-01,884.08
1983-05-01,878.05
1983-06-01,863.99
1983-07-01,870.02
1983-08-01,908.19
1983-09-01,1010.67
1983-10-01,1024.73
1983-11-01,962.44
1983-12-01,968.47
1984-01-01,964.45
1984-02-01,936.32
1984-03-01,859.97
1984-04-01,807.73
1984-05-01,767.54
1984-06-01,747.45
1984-07-01,685.16
1984-08-01,669.09
1984-09-01,638.95
1984-10-01,640.96
1984-11-01,649
1984-12-01,630.91
1985-01-01,616.85
1985-02-01,586.71
1985-03-01,562.6
1985-04-01,544.51
1985-05-01,554.56
1985-06-01,514.37
1985-07-01,510.36
1985-08-01,520.4
1985-09-01,513.42
1985-10-01,539.12
1985-11-01,558.36
1985-12-01,558.79
1986-01-01,551.79
1986-02-01,553.06
1986-03-01,568.49
1986-04-01,591.92
1986-05-01,600.36
1986-06-01,595.86
1986-07-01,595.95
1986-08-01,587.02
1986-09-01,580.9
1986-10-01,563.56
1986-11-01,562.78
1986-12-01,568.84
1987-01-01,594.42
1987-02-01,603.4
1987-03-01,628.98
1987-04-01,644.36
1987-05-01,658.44
1987-06-01,643.39
1987-07-01,635.54
1987-08-01,631.84
1987-09-01,649.78
1987-10-01,656.27
1987-11-01,701.81
1987-12-01,722.42
1988-01-01,712.49
1988-02-01,694.14
1988-03-01,724.08
1988-04-01,741.9
1988-05-01,738.19
1988-06-01,701.83
1988-07-01,673.44
1988-08-01,670.13
1988-09-01,665.15
1988-10-01,686.04
1988-11-01,714.64
1988-12-01,720.81
1989-01-01,701.81
1989-02-01,692.78
1989-03-01,677.02
1989-04-01,672.25
1989-05-01,643.74
1989-06-01,614.32
1989-07-01,642.39
1989-08-01,629.51
1989-09-01,621.45
1989-10-01,627
1989-11-01,621.54
1989-12-01,631.76
1990-01-01,652.06
1990-02-01,670.17
1990-03-01,641.98
1990-04-01,647.4
1990-05-01,663.07
1990-06-01,676.15
1990-07-01,715.45
1990-08-01,751.04
1990-09-01,743.24
1990-10-01,584.5
1990-11-01,554.05
1990-12-01,517.15
1991-01-01,526.29
1991-02-01,611.24
1991-03-01,507.13
1991-04-01,510.41
1991-05-01,510.05
1991-06-01,500.39
1991-07-01,501.56
1991-08-01,488.04
1991-09-01,505.34
1991-10-01,517.7
1991-11-01,556.15
1991-12-01,570.41
1992-01-01,541.01
1992-02-01,537.85
1992-03-01,527.96
1992-04-01,544.83
1992-05-01,555.75
1992-06-01,533.52
1992-07-01,533.75
1992-08-01,533.15
1992-09-01,490.82
1992-10-01,438.86
1992-11-01,463.42
1992-12-01,511.72
1993-01-01,503.41
1993-02-01,424.4
1993-03-01,422.92
1993-04-01,424.58
1993-05-01,395.28
1993-06-01,376.43
1993-07-01,375.25
1993-08-01,388.36
1993-09-01,389.89
1993-10-01,387.33
1993-11-01,373.16
1993-12-01,393.21
1994-01-01,395.87
1994-02-01,398.37
1994-03-01,393.37
1994-04-01,378.37
1994-05-01,389.78
1994-06-01,396.97
1994-07-01,401.81
1994-08-01,409.34
1994-09-01,418.1
1994-10-01,430.6
1994-11-01,412.67
1994-12-01,412.64
1995-01-01,445.36
1995-02-01,467.28
1995-03-01,480.2
1995-04-01,482.68
1995-05-01,476.59
1995-06-01,478.94
1995-07-01,539.09
1995-08-01,532.67
1995-09-01,542.87
1995-10-01,552.42
1995-11-01,614.51
1995-12-01,645.04
1996-01-01,694.66
1996-02-01,705.54
1996-03-01,664.02
1996-04-01,637.9
1996-05-01,603.71
1996-06-01,597.14
1996-07-01,577.42
1996-08-01,565.35
1996-09-01,605.67
1996-10-01,626.68
1996-11-01,643.81
1996-12-01,629.31
1997-01-01,608.18
1997-02-01,602.29
1997-03-01,592.71
1997-04-01,584.81
1997-05-01,589.35
1997-06-01,610.62
1997-07-01,627.37
1997-08-01,656.29
1997-09-01,679.52
1997-10-01,696.66
1997-11-01,742.33
1997-12-01,761.33
1998-01-01,755.77
1998-02-01,754.4
1998-03-01,741.7
1998-04-01,743.83
1998-05-01,732.55
1998-06-01,727.63
1998-07-01,706.68
1998-08-01,708.88
1998-09-01,726.89
1998-10-01,707.25
1998-11-01,653.71
1998-12-01,548.67
1999-01-01,528.17
