Date,Beef、 Australian and New Zealand 85% lean fores、 CIF U.S. import price、 US cents per pound
1980-01-01,136.36
1980-02-01,134.55
1980-03-01,118
1980-04-01,114.51
1980-05-01,110.5
1980-06-01,113.89
1980-07-01,124.96
1980-08-01,132.51
1980-09-01,129.15
1980-10-01,129.83
1980-11-01,133.25
1980-12-01,124.77
1981-01-01,121.73
1981-02-01,116.75
1981-03-01,113.3
1981-04-01,114.8
1981-05-01,112.95
1981-06-01,110.48
1981-07-01,109.5
1981-08-01,109.5
1981-09-01,111.5
1981-10-01,110.38
1981-11-01,107.53
1981-12-01,107.04
1982-01-01,108
1982-02-01,108
1982-03-01,108
1982-04-01,109
1982-05-01,109.5
1982-06-01,108
1982-07-01,101
1982-08-01,101.7
1982-09-01,110
1982-10-01,112.5
1982-11-01,112.5
1982-12-01,112.5
1983-01-01,103.6
1983-02-01,108
1983-03-01,113.1
1983-04-01,115.4
1983-05-01,115.1
1983-06-01,111.9
1983-07-01,111.5
1983-08-01,112.5
1983-09-01,111.83
1983-10-01,111.22
1983-11-01,109.17
1983-12-01,104.74
1984-01-01,102.6
1984-02-01,106.1
1984-03-01,108
1984-04-01,112
1984-05-01,108.64
1984-06-01,105.83
1984-07-01,101.32
1984-08-01,102.26
1984-09-01,99.09
1984-10-01,95.48
1984-11-01,95.32
1984-12-01,100.67
1985-01-01,102.93
1985-02-01,105
1985-03-01,102.07
1985-04-01,96.68
1985-05-01,94.88
1985-06-01,94.98
1985-07-01,93.05
1985-08-01,93.72
1985-09-01,93.72
1985-10-01,97
1985-11-01,97
1985-12-01,101
1986-01-01,99
1986-02-01,98
1986-03-01,99.4
1986-04-01,93.62
1986-05-01,93.68
1986-06-01,91.54
1986-07-01,87.44
1986-08-01,90.64
1986-09-01,94.88
1986-10-01,95.6
1986-11-01,97
1986-12-01,99
1987-01-01,99
1987-02-01,103.29
1987-03-01,105.56
1987-04-01,108.68
1987-05-01,109
1987-06-01,105.1
1987-07-01,105.76
1987-08-01,104
1987-09-01,113.7
1987-10-01,114
1987-11-01,116.04
1987-12-01,113.97
1988-01-01,113
1988-02-01,118.57
1988-03-01,117.5
1988-04-01,113
1988-05-01,110
1988-06-01,109.9
1988-07-01,110.8
1988-08-01,113.9
1988-09-01,113.9
1988-10-01,116.5
1988-11-01,116.5
1988-12-01,116.5
1989-01-01,110.51
1989-02-01,112.91
1989-03-01,110.66
1989-04-01,110.94
1989-05-01,110.22
1989-06-01,110.48
1989-07-01,113.07
1989-08-01,115.58
1989-09-01,120.09
1989-10-01,124.5
1989-11-01,128.1
1989-12-01,130.5
1990-01-01,126.31
1990-02-01,111.46
1990-03-01,112.67
1990-04-01,112.13
1990-05-01,112.49
1990-06-01,113.58
1990-07-01,116.07
1990-08-01,120.39
1990-09-01,122.33
1990-10-01,117.26
