Date,Wool、 coarse、 23 micron、 Australian Wool Exchange spot quote、 US cents per kilogram
1980-01-01,553.12
1980-02-01,568.15
1980-03-01,552.75
1980-04-01,510.65
1980-05-01,524.93
1980-06-01,532.95
1980-07-01,540.84
1980-08-01,540.22
1980-09-01,553.75
1980-10-01,529.69
1980-11-01,525.93
1980-12-01,528.19
1981-01-01,527.31
1981-02-01,512.03
1981-03-01,502.76
1981-04-01,496.62
1981-05-01,492.23
1981-06-01,495.12
1981-07-01,469.93
1981-08-01,492.36
1981-09-01,497.87
1981-10-01,480.21
1981-11-01,462.29
1981-12-01,456.03
1982-01-01,456.22
1982-02-01,460.41
1982-03-01,466.59
1982-04-01,441.37
1982-05-01,455.31
1982-06-01,426.96
1982-07-01,419.7
1982-08-01,419.7
1982-09-01,416.44
1982-10-01,404.04
1982-11-01,388.63
1982-12-01,397.65
1983-01-01,390.38
1983-02-01,378.1
1983-03-01,384.87
1983-04-01,419.19
1983-05-01,427.96
1983-06-01,413.81
1983-07-01,408.04
1983-08-01,410.3
1983-09-01,405.66
1983-10-01,400.9
1983-11-01,387
1983-12-01,388.25
1984-01-01,390
1984-02-01,416.44
1984-03-01,436.11
1984-04-01,428.79
1984-05-01,424.16
1984-06-01,409.12
1984-07-01,392.01
1984-08-01,388.37
1984-09-01,373.97
1984-10-01,358.93
1984-11-01,371.96
1984-12-01,353.92
1985-01-01,364.95
1985-02-01,340.52
1985-03-01,353.67
1985-04-01,361.19
1985-05-01,364.7
1985-06-01,359.43
1985-07-01,371.21
1985-08-01,385.24
1985-09-01,389.63
1985-10-01,433.23
1985-11-01,407.79
1985-12-01,400.9
1986-01-01,385.87
1986-02-01,406.67
1986-03-01,406.04
1986-04-01,418.19
1986-05-01,429.22
1986-06-01,420.95
1986-07-01,402.78
1986-08-01,391.01
1986-09-01,416.94
1986-10-01,397.14
1986-11-01,406.67
1986-12-01,419.44
1987-01-01,422.2
1987-02-01,435.98
1987-03-01,470.81
1987-04-01,504.51
1987-05-01,497.25
1987-06-01,508.52
1987-07-01,522.43
1987-08-01,551.62
1987-09-01,537.59
1987-10-01,559.76
1987-11-01,558.26
1987-12-01,563.27
1988-01-01,558.01
1988-02-01,563.27
1988-03-01,564.15
1988-04-01,582.81
1988-05-01,592.96
1988-06-01,602.73
1988-07-01,581.06
1988-08-01,595.47
1988-09-01,605.36
1988-10-01,615.39
1988-11-01,602.48
1988-12-01,565.65
1989-01-01,565.65
1989-02-01,566.9
1989-03-01,558.63
1989-04-01,547.48
1989-05-01,543.72
1989-06-01,517.42
1989-07-01,526.31
1989-08-01,512.4
1989-09-01,496.12
1989-10-01,503.63
1989-11-01,501.13
1989-12-01,499.88
1990-01-01,501.13
1990-02-01,494.86
1990-03-01,488.6
1990-04-01,482.34
1990-05-01,447.26
1990-06-01,440.99
